source_id,relative_path,file_type,source_stage,simulation_method,fidelity_level,row_count,size_bytes,sha256,git_commit,included_in_database,exclusion_reason,notes
SRC_00057,outputs/mdc_native_m1_shortlist_refine/summary.json,json,refine,TMM,refined,,188,550f57a27c1c649882dbde9bd3f5de564198ed5a8b520d727407984526baaf8b,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00058,outputs/mdc_native_m1_topology_coarse_scan/blue_448_453_all.csv,csv,coarse_scan,TMM,coarse,29568,8719622,64743d99c736e5a3d387b84662bed44ff0024745206c2b34248c3c51e9b6d914,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00059,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,csv,coarse_scan,TMM,coarse,2688,1247060,126629b884273a3892ebe82b0a5a9f2aa902140063a94f2e7304e4c87f1d5051,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00060,outputs/mdc_native_m1_topology_coarse_scan/manifest.json,json,coarse_scan,TMM,coarse,,3039523,9a7406be8fa15130c0b4757cac73ecb4a2b63dafdfedc3ffdbb64dc62cecdc26,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00061,outputs/mdc_native_m1_topology_coarse_scan/metrics_all.csv,csv,coarse_scan,TMM,coarse,2688,2324002,b38902ec2863159c0a2b90f9a68052a31bbd6fd7e16684af0b0e98965d72fc5e,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00062,outputs/mdc_native_m1_topology_coarse_scan/scan_summary.json,json,coarse_scan,TMM,coarse,,431,b64c42626e1db5f9c18ee44732f770b666604fdd3106ac86f903290b76906f4f,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00063,outputs/mdc_native_m1_topology_coarse_scan/shortlist_fab.csv,csv,coarse_scan,TMM,coarse,30,26317,182ddf98bca1db3c75018fc0d3368a662a592811b83f5eabb89209c2a6f35fdd,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00064,outputs/mdc_native_m1_topology_coarse_scan/shortlist_global.csv,csv,coarse_scan,TMM,coarse,40,35457,93c344ae0dc52f5a0871a501832cd643e5c8afa9b6ac5fd92fc3b6a002838070,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00065,outputs/mdc_native_m1_topology_coarse_scan/shortlist_perf.csv,csv,coarse_scan,TMM,coarse,30,29247,e8c7aa97b65e4f79dc42ce6a400103b0cfb7574b4b2e1cb9dfca576179b30ddb,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00066,outputs/mdc_native_m1_topology_coarse_scan/unique_physical_sequences.csv,csv,coarse_scan,TMM,coarse,2688,1247060,126629b884273a3892ebe82b0a5a9f2aa902140063a94f2e7304e4c87f1d5051,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
