record_id,geometry_id,parent_group_id,split,simulation_method,source_stage,usable_for_training
TMM_GEO_5e7c68405ae07293,GEO_5e7c68405ae07293,GEO_5e7c68405ae07293,train,TMM,coarse,true
TMM_GEO_ea3e60d50ddf8bf1,GEO_ea3e60d50ddf8bf1,GEO_ea3e60d50ddf8bf1,train,TMM,coarse,true
TMM_GEO_c68f5b6b1a701797,GEO_c68f5b6b1a701797,GEO_c68f5b6b1a701797,test,TMM,coarse,true
TMM_GEO_ae086a390272efd8,GEO_ae086a390272efd8,GEO_ae086a390272efd8,train,TMM,coarse,true
TMM_GEO_6f9ca4849ca5473b,GEO_6f9ca4849ca5473b,GEO_6f9ca4849ca5473b,train,TMM,coarse,true
TMM_GEO_279d2f7f71bd6fda,GEO_279d2f7f71bd6fda,GEO_279d2f7f71bd6fda,test,TMM,coarse,true
TMM_GEO_efbc2583590606d5,GEO_efbc2583590606d5,GEO_efbc2583590606d5,train,TMM,coarse,true
TMM_GEO_32dbb865d87d0223,GEO_32dbb865d87d0223,GEO_32dbb865d87d0223,train,TMM,coarse,true
TMM_GEO_1564d9758e39d76b,GEO_1564d9758e39d76b,GEO_1564d9758e39d76b,validation,TMM,coarse,true
TMM_GEO_e0db41ede2ec9be8,GEO_e0db41ede2ec9be8,GEO_e0db41ede2ec9be8,test,TMM,coarse,true
TMM_GEO_9bf4ca129558038e,GEO_9bf4ca129558038e,GEO_9bf4ca129558038e,train,TMM,coarse,true
TMM_GEO_3475ccd85d210ae2,GEO_3475ccd85d210ae2,GEO_3475ccd85d210ae2,train,TMM,coarse,true
TMM_GEO_a7caf466f0eab788,GEO_a7caf466f0eab788,GEO_a7caf466f0eab788,train,TMM,coarse,true
TMM_GEO_d0faef5c8174d5f5,GEO_d0faef5c8174d5f5,GEO_d0faef5c8174d5f5,train,TMM,coarse,true
TMM_GEO_e02cbb40700422b8,GEO_e02cbb40700422b8,GEO_e02cbb40700422b8,train,TMM,coarse,true
TMM_GEO_430c534fa8681d81,GEO_430c534fa8681d81,GEO_430c534fa8681d81,train,TMM,coarse,true
TMM_GEO_2e03c0387ae40d32,GEO_2e03c0387ae40d32,GEO_2e03c0387ae40d32,train,TMM,coarse,true
TMM_GEO_185f15de7d576106,GEO_185f15de7d576106,GEO_185f15de7d576106,validation,TMM,coarse,true
TMM_GEO_e5789e750ea00380,GEO_e5789e750ea00380,GEO_e5789e750ea00380,validation,TMM,coarse,true
TMM_GEO_13bdbb03b4a0c15a,GEO_13bdbb03b4a0c15a,GEO_13bdbb03b4a0c15a,train,TMM,coarse,true
TMM_GEO_9a24e3dcbc50e7c0,GEO_9a24e3dcbc50e7c0,GEO_9a24e3dcbc50e7c0,train,TMM,coarse,true
TMM_GEO_06d1ac1f287d979b,GEO_06d1ac1f287d979b,GEO_06d1ac1f287d979b,train,TMM,coarse,true
TMM_GEO_468599a0b34d8513,GEO_468599a0b34d8513,GEO_468599a0b34d8513,train,TMM,coarse,true
TMM_GEO_f5e00009a83e0a1f,GEO_f5e00009a83e0a1f,GEO_f5e00009a83e0a1f,train,TMM,coarse,true
TMM_GEO_d8fe1978e53021bb,GEO_d8fe1978e53021bb,GEO_d8fe1978e53021bb,train,TMM,coarse,true
TMM_GEO_f8632f167708ebfb,GEO_f8632f167708ebfb,GEO_f8632f167708ebfb,train,TMM,coarse,true
