relative_path,sha256,size_bytes
datasets/mdc_ml_database_v1/conflict_report.csv,ddd5deaa683a3720c2e8f5f09d64df5c7d37b3940e39c7d471f09a6555acabc6,65
datasets/mdc_ml_database_v1/database_manifest.json,5c17eb52c90971712d26773f92248eda5558184a4ddeb3ac9b241472e50824b7,566
datasets/mdc_ml_database_v1/dedup_report.json,648d919a885bfe0ff37c5f64eae709dab5801ed5e0b56dc5310abcf8f308d5e9,431
datasets/mdc_ml_database_v1/fdtd_validation.csv,11f440456c89fc6c75db8a0b0729124723bf54eb3ed41828728b7bf9e6c9f919,6148
datasets/mdc_ml_database_v1/geometry_master.csv,77121fdb8cf271f031c9bb73d257ee7f10de7fc5fc9298f47f277947c95efe03,6815605
datasets/mdc_ml_database_v1/label_dictionary.csv,48e8dadfc79a2dc6c2942571c8ff1cf2290d0aeafd34ebee1d89d0f5acc36f9a,2052
datasets/mdc_ml_database_v1/provenance_links.csv,8b8d4e9d824840b1f10126170e3fef7160bf66a4a9c287ec26c5e9b998287628,3639917
datasets/mdc_ml_database_v1/quality_audit.json,9c5b5909af6e4b9dd4b1c1664417d88ad8167ad51dbd82b31f94f8101c4206e4,309
datasets/mdc_ml_database_v1/README.md,d5b2dcfb8e84f5d5947cfccba75a7ce26b4a8dc941386157e66bfd622efd7747,875
datasets/mdc_ml_database_v1/schema.json,05f9fa91a6b6dcd56c5da5351b2d9dc9ffd2599252375d30a0c072b67ea4daf0,43678
datasets/mdc_ml_database_v1/source_inventory.csv,4f7ee84813b5ea7550186a7bb00013f2175179c9fc6c7cf624c165b9acc63f8a,67239
datasets/mdc_ml_database_v1/split_assignments.csv,2559005462b6f18c9626e99eb6977e13dde9c3d86ea48dc33d1c4910a5fd2c00,1365817
datasets/mdc_ml_database_v1/split_audit.json,9381addaf9b1b7b12694ba104dee112aac8e5db205406e2f21645272a1beec0a,476
datasets/mdc_ml_database_v1/tmm_nominal_metrics.csv,7a57065ba9242e0450a75c8281b3e2c920684f55a78a4c8fbb81097ab9fe8af5,1115860
datasets/mdc_ml_database_v1/tolerance_samples.csv,9e28bae487bb597b16ddf0e2473104a59e16e73b7ab0deea8add4dc6902085e3,5166231
