geometry_id,geometry_hash,candidate_id_primary,candidate_aliases,topology_family,N,M,H_nm,L_nm,C_nm,added_defect_thickness_nm,effective_central_L_thickness_nm,compiled_sequence,compiled_sequence_json,layer_material_sequence,physical_layer_count,total_thickness_nm,substrate_material,superstrate_material,propagation_direction,material_model,tio2_material_id,sio2_material_id,is_nominal_geometry,parent_nominal_geometry_id,provenance_count,quality_status
GEO_5e7c68405ae07293,5e7c68405ae07293973e3eefcb01c30473d969b82ae6280db820da971fe813c0,EX_N2_L76_H42_C152,EX_N2_L76_H42_C152,Explicit,2,,42,76,152,,,L76 H42 L76 H42 L152 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",152],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,624,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_ea3e60d50ddf8bf1,ea3e60d50ddf8bf1f62e34e92a123821778933b73b3a4789bfd0fc510612dc4d,EX_N2_L76_H42_C153,EX_N2_L76_H42_C153,Explicit,2,,42,76,153,,,L76 H42 L76 H42 L153 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",153],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,625,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_c68f5b6b1a701797,c68f5b6b1a7017975266bcaa858dfea370938ccdde10e8818b736f62c030200b,EX_N2_L76_H42_C154,EX_N2_L76_H42_C154,Explicit,2,,42,76,154,,,L76 H42 L76 H42 L154 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",154],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,626,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_ae086a390272efd8,ae086a390272efd82968f9ade477f2b587c2902e0f9749b9157599b620c7f3d7,EX_N2_L76_H42_C155,EX_N2_L76_H42_C155,Explicit,2,,42,76,155,,,L76 H42 L76 H42 L155 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",155],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,627,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_6f9ca4849ca5473b,6f9ca4849ca5473bf6056cd3767b8265c170883ec07ac37a66b5778907bcaaf0,EX_N2_L76_H42_C156,EX_N2_L76_H42_C156,Explicit,2,,42,76,156,,,L76 H42 L76 H42 L156 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",156],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,628,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_279d2f7f71bd6fda,279d2f7f71bd6fdabbaac3bcfefd8815a054edb92dd56cb118c7b8dabaa33f2d,EX_N2_L76_H42_C157,EX_N2_L76_H42_C157,Explicit,2,,42,76,157,,,L76 H42 L76 H42 L157 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",157],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,629,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_efbc2583590606d5,efbc2583590606d5d381d871206e6f05b2935ac5e935ceb6a88b22b279f0e213,EX_N2_L76_H42_C158,EX_N2_L76_H42_C158,Explicit,2,,42,76,158,,,L76 H42 L76 H42 L158 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",158],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,630,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_32dbb865d87d0223,32dbb865d87d022381a15c920a8720f054fbd76d651c5ba243fcbd88f75d674a,EX_N2_L76_H42_C159,EX_N2_L76_H42_C159,Explicit,2,,42,76,159,,,L76 H42 L76 H42 L159 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",159],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,631,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_1564d9758e39d76b,1564d9758e39d76bad5e0c3f9aa480f717674e1024b0c79a825ecc8a9eaf7c58,EX_N2_L76_H42_C160,EX_N2_L76_H42_C160,Explicit,2,,42,76,160,,,L76 H42 L76 H42 L160 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",160],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,632,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
GEO_e0db41ede2ec9be8,e0db41ede2ec9be82e3b92e1fe9653ed31e069885c392c1ec85d18a24f6350ca,EX_N2_L76_H42_C161,EX_N2_L76_H42_C161,Explicit,2,,42,76,161,,,L76 H42 L76 H42 L161 H42 L76 H42 L76,"[[""L"",76],[""H"",42],[""L"",76],[""H"",42],[""L"",161],[""H"",42],[""L"",76],[""H"",42],[""L"",76]]","[""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1"",""APCD_TIO2_NATIVE_M1"",""APCD_SIO2_NATIVE_M1""]",9,633,GaN,Air,GaN -> reverse(stack) -> Air,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,False,,2,accepted
