wavelength_nm,top_W,bottom_W,xminus_W,xplus_W,yminus_W,yplus_W,net_outward_W,sourcepower_W,net_over_sourcepower,max_T_times_sourcepower_vs_power_abs_error_W
400.00000000000006,2.422667459669731e-17,-2.968375011565088e-16,-1.6036460363675962e-17,1.6141517061596286e-17,-1.0831578575056124e-17,1.0776565503901425e-17,-2.7256078293304583e-16,3.691946938625089e-15,-0.07382575845863854,4.930380657631324e-32
401.0000000000001,2.6217737618345472e-17,-2.9816547384232567e-16,-1.606379845793596e-17,1.6217384858909827e-17,-1.1501345275198515e-17,1.1419168909374818e-17,-2.7187632618883e-16,3.655257067216554e-15,-0.07437953642911946,3.0814879110195774e-33
402.0000000000001,2.821854787835652e-17,-3.0134443473926217e-16,-1.6840815995844332e-17,1.703146921581541e-17,-1.1961906041635508e-17,1.1938983238898903e-17,-2.729581564436712e-16,3.619021836839957e-15,-0.07542318580813309,3.0814879110195774e-33
403.0000000000001,2.6963597364483977e-17,-3.0176405455384646e-16,-1.665113368645959e-17,1.7004792193516465e-17,-1.1804341456070068e-17,1.1745287129735217e-17,-2.7450585300864046e-16,3.5832345038196555e-15,-0.07660839744538706,4.930380657631324e-32
404.00000000000006,2.6284238897571384e-17,-3.0180285833635854e-16,-1.638896040932798e-17,1.6628434535716395e-17,-1.1374930001054247e-17,1.1082172903012834e-17,-2.7557190241044014e-16,3.5478884408922163e-15,-0.07767208777881975,4.930380657631324e-32
405.00000000000017,2.5387410274376872e-17,-3.0228475700955944e-16,-1.636767671282873e-17,1.6457356535666932e-17,-1.0625495984296414e-17,1.008357726963655e-17,-2.773495856270042e-16,3.5129771349154225e-15,-0.07895001162132004,3.0814879110195774e-33
406.00000000000006,2.478663488501009e-17,-3.0336914103323946e-16,-1.612807947948253e-17,1.6146339086616804e-17,-1.0624537405721739e-17,1.0032173217230335e-17,-2.791566107295865e-16,3.4784941846279072e-15,-0.08025214242508436,1.5407439555097887e-33
407.0000000000001,2.4246918355171668e-17,-3.046709290898089e-16,-1.641818875078149e-17,1.6481328346524523e-17,-1.0795232385293959e-17,1.0566333692934071e-17,-2.805897698312541e-16,3.4444332984580984e-15,-0.08146180968487914,1.5407439555097887e-33
408.00000000000006,2.3732221620706093e-17,-3.0533401289936176e-16,-1.6726075748765322e-17,1.684029338305904e-17,-1.0880544672873939e-17,1.0562238031691671e-17,-2.818058802855442e-16,3.4107882923813796e-15,-0.08262192083718865,0.0
409.0,2.3087155379352902e-17,-3.0778856758821223e-16,-1.7215280266200723e-17,1.712919957605791e-17,-1.1030667910331794e-17,1.0754820707786307e-17,-2.8506334010154763e-16,3.3775530878241718e-15,-0.08439936625398423,0.0
410.00000000000017,2.2812888627708193e-17,-3.118291686872909e-16,-1.747300209742182e-17,1.727433107141387e-17,-1.1275887271814176e-17,1.1507107207299954e-17,-2.8898373115010485e-16,3.3447217096138784e-15,-0.08639993286122023,4.930380657631324e-32
411.0,2.27236209871326e-17,-3.160388196974051e-16,-1.748474730882106e-17,1.7312748786824202e-17,-1.1536164718337453e-17,1.2113124011882422e-17,-2.9291023793872437e-16,3.3122882839735953e-15,-0.08843138423547296,0.0
412.0000000000001,2.2450362006062302e-17,-3.1892572542048137e-16,-1.8047268526713143e-17,1.8022330386097938e-17,-1.1855221978972275e-17,1.2362176656444516e-17,-2.95993346877562e-16,3.280247036560372e-15,-0.09023507790069894,0.0
413.0000000000001,2.2004195048897746e-17,-3.200635541519074e-16,-1.8937574932493485e-17,1.868331814452374e-17,-1.2560932150104198e-17,1.2691706816796317e-17,-2.9818284122428725e-16,3.248592290546181e-15,-0.09178832385092997,4.930380657631324e-32
414.00000000000006,2.203539692847489e-17,-3.1962579080414513e-16,-1.9340358183403897e-17,1.8942451661597608e-17,-1.245601203472289e-17,1.2442653701723344e-17,-2.98001658730476e-16,3.217318464740372e-15,-0.09262423412427835,4.930380657631324e-32
415.0000000000001,2.258662302972439e-17,-3.1974564497925716e-16,-1.9305283725724533e-17,1.90793316764473e-17,-1.2809590187873411e-17,1.2604881802019971e-17,-2.975896823846635e-16,3.186420071752719e-15,-0.09339311066446164,3.0814879110195774e-33
416.0,2.2595775345432745e-17,-3.202906834017023e-16,-1.8939834334343263e-17,1.8819012314056048e-17,-1.2889139414782486e-17,1.2593788643610484e-17,-2.9811108084772874e-16,3.1558917161960944e-15,-0.09446175840502295,3.0814879110195774e-33
417.00000000000006,2.2934775124619726e-17,-3.219641128167065e-16,-1.8591649614271197e-17,1.841480567666353e-17,-1.2459770715241239e-17,1.251720542388589e-17,-2.9914874692104977e-16,3.1257280929277357e-15,-0.09570530066191713,1.5407439555097887e-33
418.00000000000006,2.3686677642354727e-17,-3.2370164077324645e-16,-1.8478638997028522e-17,1.8200892148034054e-17,-1.2282142463211429e-17,1.2527099583258698e-17,-3.0004775285983893e-16,3.0959239853283118e-15,-0.09691702841599967,3.0814879110195774e-33
419.0000000000001,2.3703744172611026e-17,-3.253774393605955e-16,-1.8450118580260016e-17,1.8119047812853996e-17,-1.2494112350611837e-17,1.2834932882802379e-17,-3.016639454231999e-16,3.06647426361777e-15,-0.09837484990573582,4.930380657631324e-32
420.00000000000017,2.2806254853391995e-17,-3.2794336011395026e-16,-1.8585282392073603e-17,1.835626576790898e-17,-1.258604406216891e-17,1.3208698524101591e-17,-3.047434674227902e-16,3.037373883207172e-15,-0.10033123321025289,4.930380657631324e-32
