candidate_id,role,d_nm,theta_deg,psi_deg,J1_center_nm,J1_rotation_deg,J2_center_nm,J2_rotation_deg,wavelengths_nm,source_positions,dipole_axes,q_nm_documented_not_used,source_z_nm,array_nx,array_ny,period_x_nm,period_y_nm,gan_x_span_nm,gan_y_span_nm,fdtd_x_span_nm,fdtd_y_span_nm,monitor_z_nm,monitor_x_span_nm,monitor_y_span_nm,included_dbr_rcled_mqw,created_fsp_count
BW2_J1J2_D194_T90_PSI99_H525,primary robust CP candidate; all-band BW2 repair,194.0,90.0,99.0,"(0, 97)",-9.0,"(0, -97)",36.0,453.0,"center:x=0,y=0 only",x;y,107.9769465,-200.0,7,3,431.907786,432.0,3000.0,1200.0,20000.0,20000.0,1000.0,22000.0,22000.0,false,0
BW2_J1J2_D194_T90_PSI97_H525,baseline B4INT notch reference,194.0,90.0,97.0,"(0, 97)",-7.0,"(0, -97)",38.0,453.0,"center:x=0,y=0 only",x;y,107.9769465,-200.0,7,3,431.907786,432.0,3000.0,1200.0,20000.0,20000.0,1000.0,22000.0,22000.0,false,0
