selection,rank,geometry_id,polarization,wavelength_nm,diffraction_order_m,fdt_absolute_order_efficiency,predicted_raw_order_efficiency,absolute_prediction_error,spectral_provider
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,449,1,0.0032334335717909544,-0.027906947135939397,0.031140380707730352,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,449,2,0.06514862243126003,0.06807525100685222,0.0029266285755921856,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,449,3,0.002024979005531206,0.019098800321244593,0.017073821315713385,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,450,-3,0.0031103863305485357,0.01733719819339988,0.014226811862851345,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,450,-2,0.03882555334405937,0.028551004587923756,0.010274548756135614,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,450,-1,0.07980337959005537,0.04426065770789839,0.035542721882156986,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,450,0,0.29546519283385053,0.5069434082421697,0.21147821540831913,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,450,1,0.03313127564214439,-0.028322089969992092,0.061453365612136476,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,450,2,0.04808439250899119,0.06662816258067544,0.01854377007168425,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,450,3,0.0019893331159291975,0.01723947525834029,0.015250142142411093,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,451,-3,0.004980474625706263,0.018031112066859433,0.01305063744115317,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,451,-2,0.01898246706265636,0.03140528876759648,0.012422821704940124,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,451,-1,0.08505983431785008,0.0422829469687355,0.04277688734911458,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,451,0,0.31702208293966405,0.4969344754758114,0.17991239253614733,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,451,1,0.025387206498470382,-0.025796033275488472,0.051183239773958854,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,451,2,0.04709158723663629,0.0682776870315279,0.021186099794891604,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,451,3,0.0007766844729389234,0.017325520819516937,0.016548836346578014,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,452,-3,0.015754691593241252,0.01928656157277547,0.0035318699795342176,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,452,-2,0.002372763835964014,0.03356958338902973,0.03119681955306572,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,452,-1,0.06195838991188885,0.04445054529898354,0.01750784461290531,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,452,0,0.4127413058306042,0.4706036319332696,0.057862326102665396,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,452,1,0.008371759123151617,-0.017442541420076785,0.0258143005432284,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,452,2,0.03151873692833795,0.072963300319124,0.04144456339078605,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,452,3,0.02128276317460755,0.01976757108951746,0.0015151920850900898,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,453,-3,0.010461240703104484,0.020709562185536077,0.010248321482431592,LF_ridge_residual/ensemble_raw
