geometry_id,polarization,wavelength_nm,output,hf,lf,delta_hf_minus_lf
K6X_D200_D205_D215_D220_D225_D230,p,445,eta_m-3,0.00297559282572,0.05699853599071503,-0.05402294316499503
K6X_D200_D205_D215_D220_D225_D230,p,445,eta_m-2,0.033969203154,0.016768399626016617,0.01720080352798338
K6X_D200_D205_D215_D220_D225_D230,p,445,eta_m-1,0.00610470733105,0.09304876625537872,-0.08694405892432873
K6X_D200_D205_D215_D220_D225_D230,p,445,eta_m+0,0.656621541537,0.586542546749115,0.07007899478788504
K6X_D200_D205_D215_D220_D225_D230,p,445,eta_m+1,0.00827887801933,0.03473886847496033,-0.026459990455630328
K6X_D200_D205_D215_D220_D225_D230,p,445,eta_m+2,0.0892191782592,0.1549042910337448,-0.06568511277454481
K6X_D200_D205_D215_D220_D225_D230,p,445,eta_m+3,0.00555218841484,0.05699853599071503,-0.051446347575875025
K6X_D200_D205_D215_D220_D225_D230,p,445,T_proxy,0.8027212895412202,0.7143301963806152,0.088391093160605
K6X_D200_D205_D215_D220_D225_D230,p,446,eta_m-3,0.00518832912136,0.0700925812125206,-0.0649042520911606
K6X_D200_D205_D215_D220_D225_D230,p,446,eta_m-2,0.0207397230097,0.01686960458755493,0.0038701184221450677
K6X_D200_D205_D215_D220_D225_D230,p,446,eta_m-1,0.00531930168463,0.07257375121116638,-0.06725444952653638
K6X_D200_D205_D215_D220_D225_D230,p,446,eta_m+0,0.689438138734,0.5264216065406799,0.16301653219332002
K6X_D200_D205_D215_D220_D225_D230,p,446,eta_m+1,5.2286813669e-05,0.038024190813302994,-0.037971903999633995
K6X_D200_D205_D215_D220_D225_D230,p,446,eta_m+2,0.0685964811384,0.20592571794986725,-0.13732923681146725
K6X_D200_D205_D215_D220_D225_D230,p,446,eta_m+3,0.00445517161795,0.0700925812125206,-0.0656374095945706
K6X_D200_D205_D215_D220_D225_D230,p,446,T_proxy,0.7937894321193417,0.6370195150375366,0.1567699170818051
K6X_D200_D205_D215_D220_D225_D230,p,447,eta_m-3,0.00696213212706,0.08878478407859802,-0.08182265195153803
K6X_D200_D205_D215_D220_D225_D230,p,447,eta_m-2,0.0170019562038,0.009109044447541237,0.007892911756258763
