geometry_id,wavelength_nm,abs_delta_eta_plus1,abs_delta_eta_0,abs_delta_eta_minus1,abs_delta_R_total,abs_delta_T_total,full_order_profile_l1
K6X_D100_D105_D110_D115_D190_D230,445,0.036772253530208715,0.08646162968266469,0.0028942639922378355,0.016692107686328672,0.01802290757879077,0.16994187532319754
K6X_D100_D105_D110_D115_D190_D230,446,0.03895691890468957,0.17124813111682186,0.0028105496527170417,0.15645970041658971,0.15654687185129346,0.32644675090390873
K6X_D100_D105_D110_D115_D190_D230,447,0.0010451830637122975,0.036990921793260356,0.005967950211596932,0.04470887922833895,0.04630442169359139,0.12028626528011194
K6X_D100_D105_D110_D115_D190_D230,448,0.011737232210958036,0.04700415265347613,0.006301820413590007,0.04884900290630646,0.04973292674485308,0.14374123205180536
K6X_D100_D105_D110_D115_D190_D230,449,0.015028845854137753,0.04997697677982582,0.007422458723655716,0.04987849185765361,0.04966006500084574,0.14961401856049744
K6X_D100_D105_D110_D115_D190_D230,450,0.019137805748665214,0.04527566361004365,0.007803884539592,0.06103648233715757,0.061043287113194955,0.15159461433328222
K6X_D100_D105_D110_D115_D190_D230,451,0.021224270250189844,0.03618789121231436,0.008017514371835548,0.07429853128298233,0.07515072743820594,0.14752650986283466
K6X_D100_D105_D110_D115_D190_D230,452,0.01676169148173893,0.017220998205715432,0.008355796516778428,0.09524748909904075,0.09590626778987199,0.13145716415250464
K6X_D100_D105_D110_D115_D190_D230,453,0.004119974025575554,0.012714038755432644,0.009863382141397946,0.1036141932680725,0.10346701065557862,0.12889508816644385
K6X_D100_D105_D110_D115_D190_D230,454,0.005851691987293434,0.04324244614045625,0.010853076331228976,0.0823415231725014,0.08230083198936744,0.16878572427027996
K6X_D100_D105_D110_D115_D190_D230,455,0.013746897423208115,0.06454477116152557,0.010482151640701504,0.0674072729149295,0.06805690700159739,0.1971464493246483
K6X_D100_D105_D115_D120_D125_D130,445,0.001685097530148394,0.0003637125863141799,0.005082628817029672,0.010302598361360785,0.010867716562607321,0.03149390397987999
K6X_D100_D105_D115_D120_D125_D130,446,0.0018718825764738045,0.0007360140952208383,0.004624299017365559,0.0110012291354303,0.01115483074552126,0.0320513111175701
K6X_D100_D105_D115_D120_D125_D130,447,0.0020360951609130207,0.0010154596899375479,0.003995427994689826,0.011587815163881202,0.012245421477054874,0.03201175887080995
K6X_D100_D105_D115_D120_D125_D130,448,0.0019030725997578046,0.001040148032352528,0.003451476308448921,0.012196877474266406,0.012818763608373196,0.03128672890713001
K6X_D100_D105_D115_D120_D125_D130,449,0.0019115757889902052,0.0017206446599390413,0.0030034184016603307,0.012661956548791032,0.012715172809853348,0.03144569800423997
K6X_D100_D105_D115_D120_D125_D130,450,0.0020671192653206605,0.0019852624821034004,0.0024240083418295005,0.013032974784581576,0.0133391231405946,0.031053230747490012
K6X_D100_D105_D115_D120_D125_D130,451,0.0020005053969603392,0.0016450227923859861,0.0018451593203447705,0.013486047680531691,0.014109925547408753,0.029634933284139933
K6X_D100_D105_D115_D120_D125_D130,452,0.0019332358822404805,0.0018069068324588766,0.0013979286420191112,0.013966876450507225,0.014138376544100884,0.028852132684490016
K6X_D100_D105_D115_D120_D125_D130,453,0.0020856345287668943,0.002030801703221008,0.0008951329288103063,0.014389484781522074,0.014494360629511371,0.028263083551579946
K6X_D100_D105_D115_D120_D125_D130,454,0.0021538708499144466,0.0015651363222199954,0.0003335804782598345,0.014844098015840915,0.015429991840686497,0.026671048766129943
K6X_D100_D105_D115_D120_D125_D130,455,0.0020974817505459153,0.0012516359901140195,0.00010510672672527088,0.015368479448069117,0.015799016440393943,0.02539039801795
K6X_D100_D105_D115_D165_D225_D230,445,0.013902353639186436,0.05602263455870132,0.03568622810016574,0.11192257817001883,0.1113063011706078,0.22335157028801061
K6X_D100_D105_D115_D165_D225_D230,446,0.01623665580802882,0.03877176792927517,0.03421965961738812,0.11884005157556021,0.1186272190874964,0.1961707549460467
K6X_D100_D105_D115_D165_D225_D230,447,0.015286567564578812,0.022610186283681277,0.032243977494050606,0.1258760498142327,0.12537973129113633,0.170600103858499
K6X_D100_D105_D115_D165_D225_D230,448,0.01379250851269144,0.006970233983586538,0.029994579882204143,0.12936823751141574,0.12880574681461465,0.16306012149428678
K6X_D100_D105_D115_D165_D225_D230,449,0.012550140722593146,0.016732672194032072,0.02637583482378928,0.1303707359557954,0.13005051350579266,0.17528124083803315
K6X_D100_D105_D115_D165_D225_D230,450,0.008408168157859594,0.03273981445796115,0.019226277431725926,0.11986162177032708,0.11927068617874292,0.18607107601978995
K6X_D100_D105_D115_D165_D225_D230,451,0.00643173882503581,0.051897238661461675,0.011604403313686049,0.10500489605658614,0.1046830724642831,0.18889739158066676
K6X_D100_D105_D115_D165_D225_D230,452,0.006446962344770386,0.07222656248359427,0.0025297959503945353,0.08437946019856099,0.08376169926332655,0.18093085043213325
K6X_D100_D105_D115_D165_D225_D230,453,0.010106111465345916,0.09000018638400348,0.0076641478227503015,0.054118487785369096,0.05359586128448124,0.18956389261448697
K6X_D100_D105_D115_D165_D225_D230,454,0.019092332784071908,0.09341372249277374,0.017293117856543125,0.009007428293625552,0.008313425674182806,0.2278765276858637
K6X_D100_D105_D115_D165_D225_D230,455,0.051603690390830514,0.03233423564519394,0.022523462715087324,0.06800156965952145,0.0682728528140516,0.27877264702032006
K6X_D100_D110_D115_D220_D225_D230,445,0.031739401064588744,0.0076931718579625885,0.005685805385369415,0.01827046391168835,0.019062892232443396,0.09412662509859
K6X_D100_D110_D115_D220_D225_D230,446,0.027409733117316742,0.047041544689634285,0.004562188855289421,0.06736633593548985,0.06806797924352803,0.135628642728429
K6X_D100_D110_D115_D220_D225_D230,447,0.00812132483774585,0.09649939561198828,0.0010050395690310411,0.08000534401979573,0.08051088275133722,0.15221111744675003
K6X_D100_D110_D115_D220_D225_D230,448,0.017573153434746983,0.14118441190623288,0.0025625799853871726,0.07775460481321558,0.07825809760101532,0.20560461560919296
K6X_D100_D110_D115_D220_D225_D230,449,0.02416533060289452,0.15903042674443835,0.00028450547140549537,0.06774448792702756,0.06833245594765203,0.249728397541854
K6X_D100_D110_D115_D220_D225_D230,450,0.038488191230551125,0.1529318235617071,0.0012348941790908657,0.04963880893875286,0.05030730786652515,0.25555633925719007
K6X_D100_D110_D115_D220_D225_D230,451,0.04265260686737045,0.10127415576773269,0.0009506906980449089,0.014874772382909768,0.01582636623124689,0.20462021537318995
K6X_D100_D110_D115_D220_D225_D230,452,0.03296068337691935,0.038923571018666614,0.0001371363092377842,0.009206747678733862,0.00826538161470014,0.13052788399009702
K6X_D100_D110_D115_D220_D225_D230,453,0.022418782634276407,0.004381777480343407,0.00014330782386950784,0.01801064480093531,0.016929416814461806,0.08208759434067202
K6X_D100_D110_D115_D220_D225_D230,454,0.01679493185386533,0.023065089684543905,0.000948691701006853,0.015299939965174814,0.014390947888910155,0.08399954248973
K6X_D100_D110_D115_D220_D225_D230,455,0.01882922018277651,0.015257575755460273,0.0020338657347330914,0.0014934284069152426,0.0008445768197427039,0.07139674652568997
K6X_D100_D115_D130_D145_D155_D185,445,0.23267006901624088,0.02733026653958935,0.008223394799569538,0.13578459797419815,0.1360073461936584,0.3293327918385121
K6X_D100_D115_D130_D145_D155_D185,446,0.1912591039351288,0.01753256697893857,0.009499218080928837,0.10796705497872029,0.10907502970415317,0.27344317816599
K6X_D100_D115_D130_D145_D155_D185,447,0.1596224987254551,0.011311411054956116,0.01024736614744366,0.08737494622913897,0.08692605189194547,0.23231894555851432
K6X_D100_D115_D130_D145_D155_D185,448,0.12804053628377365,0.006212367811357156,0.010136262588958823,0.07006302685905583,0.07267440253278379,0.18340667003505404
K6X_D100_D115_D130_D145_D155_D185,449,0.2990310731428377,0.039239795741589006,0.0006940022425540164,0.2270980888417246,0.23189368407334832,0.36616846221157295
K6X_D100_D115_D130_D145_D155_D185,450,0.16352115437493464,0.014212075919234091,0.007571220811410956,0.09408448062245778,0.09241786738639823,0.23462444136352603
K6X_D100_D115_D130_D145_D155_D185,451,0.1177249387267113,0.008462257390783703,0.0075897718763648925,0.05863608752657466,0.060166578325068665,0.175283299127653
K6X_D100_D115_D130_D145_D155_D185,452,0.0767356570722425,0.005245395440924626,0.006819835163449573,0.030760607839619536,0.030585459053149466,0.1232647594934
K6X_D100_D115_D130_D145_D155_D185,453,0.03742880771528401,0.0033916603389800076,0.004667387934454704,0.004430868160280585,0.005585873346156678,0.07318648129951001
K6X_D100_D115_D130_D145_D155_D185,454,0.002666694656211499,0.0021589456259191054,0.0014442996574915764,0.020101837227565117,0.020281082241122794,0.027741951307590003
K6X_D100_D115_D130_D145_D155_D185,455,0.026821436490539363,0.0018900564462980992,0.002440803178694592,0.03421221908728733,0.033324389314877245,0.04759339206257002
K6X_D100_D130_D135_D155_D160_D225,445,0.011188844990199343,0.0010362852191027217,0.004373075593727379,0.01417348451833908,0.014217414267447714,0.11211050008693005
K6X_D100_D130_D135_D155_D160_D225,446,0.03014639113058748,0.0010480165894997083,0.0012710485919112963,0.0029780483095796784,0.0035871034072730845,0.11486285146880007
K6X_D100_D130_D135_D155_D160_D225,447,0.07706040698449979,0.006131577516103126,0.004781411310097185,0.036416582923622653,0.03663123450679473,0.1556862708164
K6X_D100_D130_D135_D155_D160_D225,448,0.23593937905247614,0.008249253612012536,0.009639278245186029,0.1317373290209447,0.13262171622488983,0.3743691322252001
K6X_D100_D130_D135_D155_D160_D225,449,0.07207590797614294,0.015593472836420253,0.006733732553983663,0.040966003627661396,0.04163956084646758,0.1919481666833879
K6X_D100_D130_D135_D155_D160_D225,450,0.03661935430933316,0.015225160261093882,0.006782171824400371,0.02683345322215594,0.027232914101445127,0.11728310069409
K6X_D100_D130_D135_D155_D160_D225,451,0.025981891554332393,0.01429982142251149,0.0059808746832448086,0.030712322189506508,0.031181686187409796,0.08723486537304001
K6X_D100_D130_D135_D155_D160_D225,452,0.018926647231962912,0.013620571400076168,0.0055554084223109704,0.04145319893490659,0.04172604899348631,0.0694619502772301
K6X_D100_D130_D135_D155_D160_D225,453,0.012677232390811755,0.012807582035370035,0.005481802127918548,0.054923826035752354,0.05523575781330192,0.06332216353358992
K6X_D100_D130_D135_D155_D160_D225,454,0.008914920594634945,0.01068585670637678,0.005954846350463243,0.0710009335687185,0.07135234939892698,0.07135234939974
K6X_D100_D130_D135_D155_D160_D225,455,0.008714737723912735,0.006374431597968067,0.006716495251326718,0.08926033033310467,0.08932551794026511,0.08932551794079
K6X_D100_D140_D145_D155_D225_D230,445,0.11482951317817094,0.0020183052311007394,0.05336004472297329,0.029498343447268816,0.028011808120700143,0.25977178186985
K6X_D100_D140_D145_D155_D225_D230,446,0.10607995602750309,0.0026912596082080296,0.04426581785113881,0.035978494331354305,0.03476942899399593,0.22150816164806
K6X_D100_D140_D145_D155_D225_D230,447,0.10139312259141492,0.0034848394696106984,0.03259378578271366,0.0431260977992082,0.04244363422050146,0.19896605515326
K6X_D100_D140_D145_D155_D225_D230,448,0.11406908356515394,0.004148743369371336,0.02309872229442475,0.05363261129870725,0.05349002441575679,0.21484166667764598
K6X_D100_D140_D145_D155_D225_D230,449,0.10454003501186682,0.0029005099161671776,0.012826405624979387,0.08782150679560899,0.08815038650921658,0.19935927128664405
