geometry_id,role,hf_broadband_eta_plus1,mean_abs_hf_minus_lf_eta_plus1,max_abs_hf_minus_lf_eta_plus1,mean_abs_hf_minus_lf_full_order,predicted_rank_by_model
K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,0.3831099643718595,0.3246837211510869,0.6557896290295082,0.07379924200714914,"{""calibrated_eta_plus1"": 7, ""cnn_eta_plus1"": 21, ""direct_model_eta_plus1"": 20, ""lf_eta_plus1"": 4, ""residual_mlp_eta_plus1"": 9, ""ridge_eta_plus1"": 9}"
K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.8128673652265515,0.17772398740961243,0.5458434645003447,0.033248571902529916,"{""calibrated_eta_plus1"": 1, ""cnn_eta_plus1"": 3, ""direct_model_eta_plus1"": 6, ""lf_eta_plus1"": 31, ""residual_mlp_eta_plus1"": 1, ""ridge_eta_plus1"": 1}"
K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.0508883379795317,0.01898920015273114,0.03872400085557659,0.05451606259363495,"{""calibrated_eta_plus1"": 30, ""cnn_eta_plus1"": 29, ""direct_model_eta_plus1"": 22, ""lf_eta_plus1"": 3, ""residual_mlp_eta_plus1"": 31, ""ridge_eta_plus1"": 31}"
K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.06336065325888736,0.029538206705342792,0.07459590951489244,0.029994526745244575,"{""calibrated_eta_plus1"": 31, ""cnn_eta_plus1"": 22, ""direct_model_eta_plus1"": 9, ""lf_eta_plus1"": 23, ""residual_mlp_eta_plus1"": 29, ""ridge_eta_plus1"": 29}"
