output,mean,median,p90,max,abs_mean,positive_bias
T_proxy,-0.01068663362739015,-0.02125417018861997,0.1876773860196389,0.40995244658015784,0.1227376540603096,-0.01068663362739015
eta_m+0,-0.03878629267139733,-0.010152405585068646,0.06147226015361107,0.21460651470986986,0.07159173249643226,-0.03878629267139733
eta_m+1,-0.0823918608197977,-0.05020737641827208,0.03368219185281962,0.294762772786846,0.10408609509222434,-0.0823918608197977
eta_m+2,-0.04187762999989373,-0.020659083482775745,0.02446710400434506,0.11090655417199813,0.05584207410441147,-0.04187762999989373
eta_m+3,-0.011640220145974413,-0.0022720006769574586,0.028501893951350263,0.09623030514112818,0.02826399488629954,-0.011640220145974413
eta_m-1,-0.003666481913427548,0.0009334439810841785,0.02162579754735517,0.1187774331046501,0.018263177660507796,-0.003666481913427548
eta_m-2,-0.00983283865772154,-0.003252131433383729,0.01844529788465809,0.054718465178036885,0.019446128325471244,-0.00983283865772154
eta_m-3,-0.021320895275192476,-0.004745463078256455,0.007142294862413377,0.04325878776773083,0.02617244521462755,-0.021320895275192476
