fold,held_out_geometry,test_rows,train_rows,seed_count,normalization_train_rows
0,K6X_D100_D105_D115_D120_D125_D130,22,264,3,264
1,K6X_D100_D110_D115_D220_D225_D230,22,264,3,264
2,K6X_D100_D115_D130_D145_D155_D185,22,264,3,264
3,K6X_D100_D130_D135_D155_D160_D225,22,264,3,264
4,K6X_D100_D140_D145_D155_D225_D230,22,264,3,264
5,K6X_D100_D200_D205_D210_D215_D220,22,264,3,264
6,K6X_D110_D125_D135_D150_D175_D190,22,264,3,264
7,K6X_D120_D125_D180_D185_D190_D195,22,264,3,264
8,K6X_D120_D145_D200_D215_D220_D230,22,264,3,264
9,K6X_D125_D135_D150_D175_D190_D210,22,264,3,264
10,K6X_D130_D145_D155_D180_D195_D230,22,264,3,264
11,K6X_D140_D160_D165_D170_D180_D190,22,264,3,264
12,K6X_D200_D205_D215_D220_D225_D230,22,264,3,264
