model,spearman,top3_hit_rate,top5_hit_rate,true_champion_geometry,true_champion_predicted_rank,near_champion_top5_count
lf_only,0.8296703296703297,0.6666666666666666,1.0,K6X_D100_D110_D115_D220_D225_D230,1,2
direct_mlp,0.15384615384615383,0.3333333333333333,0.6,K6X_D100_D110_D115_D220_D225_D230,13,1
resmlp,0.38461538461538464,0.3333333333333333,0.6,K6X_D100_D110_D115_D220_D225_D230,13,1
residual_mlp,-0.7417582417582418,0.0,0.2,K6X_D100_D110_D115_D220_D225_D230,12,0
circular_cnn,0.4725274725274725,0.0,0.6,K6X_D100_D110_D115_D220_D225_D230,11,1
