model,geometry_id,wavelength_nm,true_eta_plus1_delta,pred_eta_plus1_delta,delta_abs_error,true_order_profile_delta_l2,pred_order_profile_delta_l2
lf_only,K6X_D100_D105_D115_D120_D125_D130,445,-0.0016850975300000126,0.0,0.0016850975300000126,0.01743783351604168,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,446,-0.0018718825769999947,0.0,0.0018718825769999947,0.017522477194298374,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,447,-0.0020360951610000066,0.0,0.0020360951610000066,0.01737768734460122,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,448,-0.0019030725999999998,0.0,0.0019030725999999998,0.017061535313925506,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,449,-0.0019115757889999752,0.0,0.0019115757889999752,0.01687359880126684,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,450,-0.0020671192649999726,0.0,0.0020671192649999726,0.01659893603925836,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,451,-0.002000505396999974,0.0,0.002000505396999974,0.016104120138451482,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,452,-0.0019332358820000062,0.0,0.0019332358820000062,0.01570872455076297,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,453,-0.0020856345289999856,0.0,0.0020856345289999856,0.015383671641019463,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,454,-0.0021538708499999892,0.0,0.0021538708499999892,0.014873662530567806,0.0
lf_only,K6X_D100_D105_D115_D120_D125_D130,455,-0.0020974817509999966,0.0,0.0020974817509999966,0.014347301820641947,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,445,-0.03173940106459,0.0,0.03173940106459,0.04355158566943379,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,446,-0.02740973311727,0.0,0.02740973311727,0.06271806474285324,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,447,-0.0081213248378,0.0,0.0081213248378,0.10074501528243397,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,448,0.017573153434700003,0.0,0.017573153434700003,0.14497242293556498,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,449,0.024165330602899996,0.0,0.024165330602899996,0.16576215031971703,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,450,0.0384881912305,0.0,0.0384881912305,0.16205236735782624,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,451,0.04265260686740001,0.0,0.04265260686740001,0.11511770279756764,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,452,0.0329606833769,0.0,0.0329606833769,0.05979497380216933,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,453,0.0224187826343,0.0,0.0224187826343,0.03622156312041724,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,454,0.0167949318539,0.0,0.0167949318539,0.03823147330415171,0.0
lf_only,K6X_D100_D110_D115_D220_D225_D230,455,0.018829220182799998,0.0,0.018829220182799998,0.03409588418944524,0.0
lf_only,K6X_D100_D115_D130_D145_D155_D185,445,-0.23267006901600007,0.0,0.23267006901600007,0.23805637133584473,0.0
lf_only,K6X_D100_D115_D130_D145_D155_D185,446,-0.191259103935,0.0,0.191259103935,0.19578195944738155,0.0
lf_only,K6X_D100_D115_D130_D145_D155_D185,447,-0.159622498725,0.0,0.159622498725,0.16388514917316585,0.0
lf_only,K6X_D100_D115_D130_D145_D155_D185,448,-0.12804053628400003,0.0,0.12804053628400003,0.1312579652293214,0.0
