model,output,disagreement_error_spearman,high_disagreement_mae,low_disagreement_mae
direct_mlp,R,0.385821880301983,0.10534702186410703,0.05821978436017825
direct_mlp,eta_m-3,-0.37205798053038097,0.010746564105103223,0.013335676381337203
direct_mlp,eta_m-2,-0.15899094487027735,0.01869135832492913,0.03304104212169349
direct_mlp,eta_m-1,-0.006063512867107218,0.03684451794038741,0.04071201630877221
direct_mlp,eta_m+0,0.14881626717313493,0.1821539806320871,0.21713565775790697
direct_mlp,eta_m+1,0.5729836274123822,0.3845421095115041,0.1182795013761868
direct_mlp,eta_m+2,-0.024973999043318682,0.04786855652134264,0.04264584460398054
direct_mlp,eta_m+3,-0.16271251213484847,0.01876972037593794,0.021919548455635166
resmlp,R,0.3268892852975009,0.116424767404207,0.07266707481213952
resmlp,eta_m-3,0.07443980922799921,0.013077347680485704,0.008211949970714482
resmlp,eta_m-2,-0.27416511601363974,0.017266727731486742,0.03484497891055327
resmlp,eta_m-1,-0.015670850330670612,0.025897592097407565,0.057328066255657666
resmlp,eta_m+0,0.31655353632247085,0.2270743459784856,0.12797151932441195
resmlp,eta_m+1,0.16238729178395414,0.32550393863120064,0.20127983926337734
resmlp,eta_m+2,0.1911031202430432,0.057447444777269305,0.030173342345057176
resmlp,eta_m+3,0.10790724038477567,0.020378276042466777,0.01678891048355419
residual_mlp,R,0.3172429624290985,0.09922153804488106,0.061530720481007044
residual_mlp,eta_m-3,0.40339352560148445,0.050154550474625845,0.021964512675180323
residual_mlp,eta_m-2,0.3856920999411371,0.058563869061947674,0.02564015519631348
residual_mlp,eta_m-1,0.5414182736390696,0.11037269329961108,0.03383416319870107
residual_mlp,eta_m+0,0.481828569376708,0.5314277041488318,0.20040924196541848
residual_mlp,eta_m+1,-0.5413972420390906,0.29717565718004973,0.6978453494863651
residual_mlp,eta_m+2,0.5599671188888133,0.14292487138695972,0.04805728941533233
residual_mlp,eta_m+3,0.5823144762811001,0.0667577076828431,0.02127670743176832
circular_cnn,R,-0.009805598765804157,0.07683797549630975,0.08440232545392808
circular_cnn,eta_m-3,-0.04821596888349134,0.012530764606851598,0.011999960277295545
circular_cnn,eta_m-2,-0.23755833383561237,0.016219234280712883,0.02984529493397887
circular_cnn,eta_m-1,0.21344637390850485,0.03212123243882926,0.04187708775038864
circular_cnn,eta_m+0,0.5591243159920951,0.22269492678175495,0.11852236010869441
circular_cnn,eta_m+1,-0.06726803363517099,0.14335812063989525,0.1235582804685358
circular_cnn,eta_m+2,-0.030073392589438797,0.043936260122384496,0.027526918214347797
circular_cnn,eta_m+3,-0.14265041761832517,0.015937251473896685,0.023472395704427558
