output,mean_bias,mae,p90_abs,max_abs,heavy_tail_p99
eta_m-3,-0.018035999450287866,0.021823327616535857,0.08065998221930751,0.1587238429483574,0.14306073225434995
eta_m-2,-0.009364133805659607,0.01826561245985939,0.040083790271002076,0.1415730712432365,0.09142485188182252
eta_m-1,-0.005300785109380324,0.01444062577282774,0.03696747849013235,0.15831548816298682,0.1288703223679599
eta_m+0,-0.04386900203176319,0.06972417409311067,0.18177545898045327,0.6150347256758999,0.4982757096306992
eta_m+1,-0.08446309266514342,0.10621356384419711,0.22487547373561462,0.581893715610032,0.3481382969387574
eta_m+2,-0.028824417205736023,0.044875142580669006,0.11137297228976065,0.3407069235126369,0.30006094047244847
eta_m+3,-0.009635951932880816,0.02501849183799814,0.08186348924540816,0.17342007782309946,0.13858651778983047
T_proxy,-0.028333803169123976,0.11108357952863977,0.20691651285693302,0.5249473962135288,0.45020057449494466
