model,slice,value,rows,order_profile_mae,order_profile_rmse,eta_plus1_mae,R_mae,T_mae
lf_only,geometry,K6X_D100_D105_D115_D120_D125_D130,22,0.015052012145008207,0.018798574503900028,0.030651608710942056,,0.03519581286193529
lf_only,geometry,K6X_D100_D110_D115_D220_D225_D230,22,0.03336736359715757,0.05513230514690266,0.024815235989050798,,0.18445846930191437
lf_only,geometry,K6X_D100_D115_D130_D145_D155_D185,22,0.024895104720165234,0.060785874150306916,0.13659494277401588,,0.11329509346748443
lf_only,geometry,K6X_D100_D130_D135_D155_D160_D225,22,0.04075903513976094,0.07192520631941533,0.17330626524269246,,0.15843006876527374
lf_only,geometry,K6X_D100_D140_D145_D155_D225_D230,22,0.049747275038546514,0.07045544018770092,0.11846842618104457,,0.22391316077281997
lf_only,geometry,K6X_D100_D200_D205_D210_D215_D220,22,0.058014558236379035,0.11003833885442935,0.04436394353620144,,0.3297983669807993
lf_only,geometry,K6X_D110_D125_D135_D150_D175_D190,22,0.03373226178707473,0.08705760021034034,0.1846813675863565,,0.13864144922170046
lf_only,geometry,K6X_D120_D125_D180_D185_D190_D195,22,0.027297120878768746,0.053868889055870846,0.10253674943661538,,0.17416303949407264
lf_only,geometry,K6X_D120_D145_D200_D215_D220_D230,22,0.07451680346832967,0.10830227297420277,0.07368519840959226,,0.3455385577146475
lf_only,geometry,K6X_D125_D135_D150_D175_D190_D210,22,0.036332746429062764,0.08102017241166412,0.20635053389203473,,0.1649931647669533
lf_only,geometry,K6X_D130_D145_D155_D180_D195_D230,22,0.024847446200025276,0.06049113947392591,0.13723750567935633,,0.11635979460484384
lf_only,geometry,K6X_D140_D160_D165_D170_D180_D190,22,0.07859126194206577,0.10977604186248906,0.12114530250669762,,0.3033310769387344
lf_only,geometry,K6X_D200_D205_D215_D220_D225_D230,22,0.06066018137016598,0.10623754675398517,0.026939250029962666,,0.3052959137198872
lf_only,polarization,p,143,0.04691251278977277,0.09040984373754944,0.12208499274388125,,0.22720608694304295
lf_only,polarization,s,143,0.03890489812599806,0.07013593246504114,0.09034213494451301,,0.17178067745865955
lf_only,wavelength,445,26,0.04111279882660323,0.069870673930861,0.09669953083533821,,0.18864907720187096
lf_only,wavelength,446,26,0.04033197313567569,0.06795413811804224,0.0991656296335457,,0.1860107830304063
lf_only,wavelength,447,26,0.03905805092998407,0.06538441670898476,0.0962081430065843,,0.18907416994794246
lf_only,wavelength,448,26,0.04057224622746801,0.07667017731045954,0.10134910128921598,,0.19935674462795172
lf_only,wavelength,449,26,0.043149236680732984,0.08734100834357779,0.11301249875799418,,0.21407806740636218
lf_only,wavelength,450,26,0.042554031587408364,0.08048906563593156,0.1029575224652795,,0.2041243696825676
lf_only,wavelength,451,26,0.041207436701374486,0.07775360487836037,0.10405120002700524,,0.1961281947711906
lf_only,wavelength,452,26,0.04333031127234303,0.0890880150286027,0.1050635360726999,,0.21319552460638336
lf_only,wavelength,453,26,0.04436446519469943,0.09056602531202317,0.10526283814798905,,0.20732571633673702
lf_only,wavelength,454,26,0.045770362453788634,0.08797337681470939,0.11365879032500198,,0.19851774176800213
lf_only,wavelength,455,26,0.05054484702666167,0.09125549782228527,0.13092041172551439,,0.19796681482994943
direct_mlp,geometry,K6X_D100_D105_D115_D120_D125_D130,22,0.17694085019181427,0.29741610741600394,0.5460379407568383,0.012284258685804256,0.14651006982902315
direct_mlp,geometry,K6X_D100_D110_D115_D220_D225_D230,22,0.22127079724729926,0.39657241049004127,0.7684583825684286,0.0395200928801036,0.024303266499429498
direct_mlp,geometry,K6X_D100_D115_D130_D145_D155_D185,22,0.031063197830484102,0.06472350243829299,0.15080061941236977,0.027637749295728698,0.1644694328219543
direct_mlp,geometry,K6X_D100_D130_D135_D155_D160_D225,22,0.0877303211860878,0.15142675082230816,0.3703582283624884,0.059155590397468025,0.12660420842236195
direct_mlp,geometry,K6X_D100_D140_D145_D155_D225_D230,22,0.11769795836055177,0.17495524228032625,0.38145726835090593,0.10187630732118441,0.038589608492578246
direct_mlp,geometry,K6X_D100_D200_D205_D210_D215_D220,22,0.04851919046349801,0.10163324741306717,0.032119050846641156,0.16104853834990182,0.27812849119641125
direct_mlp,geometry,K6X_D110_D125_D135_D150_D175_D190,22,0.018646497847047167,0.04669715725333196,0.06640949680481702,0.048454912674516695,0.0655298562147172
direct_mlp,geometry,K6X_D120_D125_D180_D185_D190_D195,22,0.09410467533771909,0.13804542196449687,0.2878798573789942,0.0665462526175559,0.08097236847524326
direct_mlp,geometry,K6X_D120_D145_D200_D215_D220_D230,22,0.06988882801751078,0.09932554284537651,0.06759874711781386,0.12363468956950814,0.19277714551952466
direct_mlp,geometry,K6X_D125_D135_D150_D175_D190_D210,22,0.013928200719039812,0.020452212579826923,0.028700822491781564,0.036075847723207294,0.018021475223139568
direct_mlp,geometry,K6X_D130_D145_D155_D180_D195_D230,22,0.029234164325010387,0.07168789166222875,0.1578713111610756,0.06102218431713555,0.1747181890172698
direct_mlp,geometry,K6X_D140_D160_D165_D170_D180_D190,22,0.10332798654913708,0.18356109013248353,0.3608754861635243,0.135702117697148,0.0626656420401518
direct_mlp,geometry,K6X_D200_D205_D215_D220_D225_D230,22,0.08957013388326125,0.1918315769754937,0.04977325935431225,0.190225698928592,0.534570819648391
direct_mlp,polarization,p,143,0.08445841447773066,0.17579423567940852,0.2514319130260668,0.06633620529011122,0.1548777704381116
direct_mlp,polarization,s,143,0.08506817043895562,0.18400024193821451,0.2513896978616241,0.09723060093417407,0.13863924085422627
direct_mlp,wavelength,445,26,0.08822197225680835,0.1832542875778149,0.27516543712971564,0.05899323282312175,0.1557113715605086
direct_mlp,wavelength,446,26,0.08876328717550241,0.18580136249949503,0.2725828785931469,0.065989811329726,0.15671936083312785
direct_mlp,wavelength,447,26,0.08834093256719909,0.18666866671811377,0.26969688460247254,0.07135937757764338,0.15497594825960168
direct_mlp,wavelength,448,26,0.08907124824566237,0.18678578558738979,0.2753710689089774,0.09177625878322604,0.15664124034866697
direct_mlp,wavelength,449,26,0.08851576248149799,0.18485108992886015,0.26670239838248494,0.10666940924221534,0.14945593545187308
direct_mlp,wavelength,450,26,0.08562606918775467,0.18026606668855688,0.24838151796576297,0.09555629858061737,0.1381586330961912
direct_mlp,wavelength,451,26,0.08364236328831595,0.17841971758078154,0.2400410606002137,0.08852088655241154,0.139706398868267
direct_mlp,wavelength,452,26,0.07955621476381797,0.17051983792045186,0.23592987457397535,0.0798100846052449,0.12125769089984878
direct_mlp,wavelength,453,26,0.07950458438750446,0.1733505092180672,0.2294939647205449,0.08358581567636102,0.13067077960174095
direct_mlp,wavelength,454,26,0.07931544801162618,0.17353567923903873,0.22316909198587206,0.07920908736935282,0.1448035275058567
direct_mlp,wavelength,455,26,0.08183833467608505,0.17492438297827312,0.2289846824191334,0.07814717169364899,0.1662426756821753
resmlp,geometry,K6X_D100_D105_D115_D120_D125_D130,22,0.15970788439899186,0.2664275409231094,0.47483754648764653,0.04516910301412789,0.16828009781765027
resmlp,geometry,K6X_D100_D110_D115_D220_D225_D230,22,0.24085948201677934,0.43819199433326106,0.9121620609090513,0.14318904224933182,0.14024225254944495
resmlp,geometry,K6X_D100_D115_D130_D145_D155_D185,22,0.03536495320239454,0.06506358643360587,0.14523173126108535,0.02549146979417932,0.06168540412637651
resmlp,geometry,K6X_D100_D130_D135_D155_D160_D225,22,0.08571013700995597,0.14870469101212686,0.3626921435599763,0.05238257604213004,0.12590732211380506
resmlp,geometry,K6X_D100_D140_D145_D155_D225_D230,22,0.11118980104898765,0.18244943863953234,0.398135684718639,0.13190112425238157,0.0786284346790035
