source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,749481144999999.9,400.0,2.041946218697563,0.0,1.4289668361083692,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,748545463171036.1,400.5,2.0418520955209556,0.0,1.4289339017326714,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,747612114713217.0,401.0,2.0417582070654867,0.0,1.4289010487313272,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,746681090909090.9,401.5,2.041664552454241,0.0,1.4288682768030931,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,745752383084577.1,402.0,2.041571130814665,0.0,1.4288355856482107,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,744825982608695.6,402.5,2.0414779412785413,0.0,1.4288029749683968,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,743901880893300.1,403.0,2.0413849829819615,0.0,1.4287704444668365,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,742980069392812.9,403.5,2.0412922550652985,0.0,1.4287379938481717,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,742060539603960.4,404.0,2.041199756673182,0.0,1.4287056228184944,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,741143283065513.0,404.5,2.04110748695447,0.0,1.428673331085336,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,740228291358024.6,405.0,2.0410154450622238,0.0,1.4286411183576595,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,739315556103575.8,405.5,2.0409236301536824,0.0,1.4286089843458505,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,738405068965517.2,406.0,2.0408320413902357,0.0,1.4285769287617085,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,737496821648216.4,406.5,2.0407406779374004,0.0,1.4285449513184387,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,736590805896805.9,407.0,2.040651090641807,0.0,1.4285135948396874,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,735687013496932.5,407.5,2.0405617404294496,0.0,1.4284823206569446,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,734785436274509.8,408.0,2.0404726092127112,0.0,1.4284511224444159,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,733886066095471.1,408.5,2.0403836961874458,0.0,1.4284199999255982,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,732988894865525.6,409.0,2.0402950005534404,0.0,1.428388952825329,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,732093914529914.5,409.5,2.0402065215143894,0.0,1.4283579808697782,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,731201117073170.6,410.0,2.040118258277873,0.0,1.428327083786439,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,730310494518879.4,410.5,2.040030210055331,0.0,1.4282962613041215,0.0,400_500nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
