source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,761666669207313.1,393.60060000000004,2.04319179288676,0.0,1.4294026,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,773756597615283.0,387.45060000000007,2.04444928883776,0.0,1.4298424,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,785846588820985.5,381.4898,2.0457277677523598,0.0,1.4302894,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,797936433368635.4,375.7097,2.047025532049,0.0,1.430743,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,810026362995508.6,370.10209999999995,2.0483437446529598,0.0,1.4312036,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,822116358442974.4,364.6594,2.0496829975779596,0.0,1.4316714,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,834206261156537.1,359.3745,2.05104273817444,0.0,1.4321462,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,846296394681014.6,354.24050000000005,2.0524229863840002,0.0,1.432628,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,858386336253103.8,349.2512,2.0538249089358405,0.0,1.4331172,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,870476256567571.6,344.4005000000001,2.05524680721424,0.0,1.4336132,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,882566165424379.8,339.6827,2.0566892751024404,0.0,1.4341162,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,894656094856224.6,335.09240000000005,2.0581534814275604,0.0,1.4346266,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,906746045740711.8,330.62450000000007,2.0596365785635604,0.0,1.4351434,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,918835930024500.9,326.2742,2.06114203195684,0.0,1.4356678,0.0,native_sampled,none
