source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,669179593750000.0,448.0,2.0342562810186093,0.0,1.4262735645796039,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,668433574136008.9,448.5,2.034188827774426,0.0,1.4262499177123291,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,667689216035634.8,449.0,2.034121524760185,0.0,1.4262263231199266,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,666946513904338.1,449.5,2.034054371474563,0.0,1.4262027806292354,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,666205462222222.1,450.0,2.0339873674184643,0.0,1.4261792900678596,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,665466055493895.6,450.5,2.03392051209501,0.0,1.4261558512641632,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,664728288248337.0,451.0,2.0338541612873375,0.0,1.426132588957751,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,663992155038759.6,451.5,2.0337888006203895,0.0,1.4261096734194005,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,663257650442477.9,452.0,2.033723584556687,0.0,1.4260868082121392,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,662524769060773.5,452.5,2.033658512616882,0.0,1.4260639931703212,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,661793505518763.8,453.0,2.0335935843237434,0.0,1.426041228129027,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,669179593750000.0,448.0,6.457528178845213,0.0,2.541166696390698,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,668433574136008.9,448.5,6.452596817899806,0.0,2.5401962164171112,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,667689216035634.8,449.0,6.447676439940916,0.0,2.5392275281945325,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,666946513904338.1,449.5,6.442767008317862,0.0,2.5382606265547007,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,666205462222222.1,450.0,6.437868486542859,0.0,2.5372955063497944,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,665466055493895.6,450.5,6.432980838290111,0.0,2.5363321624523296,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,664728288248337.0,451.0,6.428208261282462,0.0,2.5353911456188496,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,663992155038759.6,451.5,6.423692939735823,0.0,2.5345005306244905,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,663257650442477.9,452.0,6.419187607838624,0.0,2.533611573986554,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,662524769060773.5,452.5,6.414692232476004,0.0,2.5327242709138327,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,tio22,661793505518763.8,453.0,6.410206780679306,0.0,2.5318386166340274,0.0,448_453nm_0p5nm,linear_complex_epsilon_vs_frequency_within_native_range
