source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,911223276595744.8,329.0,2.0601940911273693,0.0,1.4353376226962662,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,908461993939393.9,330.0,2.059850251414165,0.0,1.4352178411008432,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,905717395770392.6,331.0,2.059510392126618,0.0,1.4350994363202216,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,902989331325301.1,332.0,2.059175735302616,0.0,1.4349828344975475,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,900277651651651.6,333.0,2.058843088429509,0.0,1.4348669235958815,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,897582209580838.4,334.0,2.058512433453846,0.0,1.4347516974911882,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,894902859701492.5,335.0,2.0581837525377393,0.0,1.434637150131607,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,892239458333333.2,336.0,2.057860803583386,0.0,1.434524591487851,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,889591863501483.6,337.0,2.0575401544744722,0.0,1.4344128256797177,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,886959934911242.5,338.0,2.057221402697564,0.0,1.4343017125756923,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,884343533923303.9,339.0,2.056904531462113,0.0,1.4341912464738142,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,881742523529411.8,340.0,2.0565910049666654,0.0,1.4340819380239977,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,879156768328445.8,341.0,2.056282494051627,0.0,1.433974370081846,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,876586134502923.9,342.0,2.055975787293987,0.0,1.433867423192949,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,874030489795918.2,343.0,2.0556708689139422,0.0,1.4337610919933426,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,871489703488372.1,344.0,2.055367723315177,0.0,1.4336553711806674,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,868963646376811.5,345.0,2.055068908785616,0.0,1.4335511531806655,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,866452190751445.1,346.0,2.0547735359182107,0.0,1.4334481280877278,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,863955210374639.8,347.0,2.054479865488082,0.0,1.433345689458088,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,861472580459770.0,348.0,2.054187882819045,0.0,1.4332438322975771,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,859004177650429.8,349.0,2.0538975734031264,0.0,1.4331425516685792,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,856549879999999.9,350.0,2.0536119575810847,0.0,1.4330429015144956,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,854109566951566.9,351.0,2.0533289843445517,0.0,1.4329441665133194,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,851683119318181.8,352.0,2.053047618910499,0.0,1.4328459857606815,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,849270419263456.1,353.0,2.052767847614883,0.0,1.4327483546020505,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,846871350282485.9,354.0,2.052489656948056,0.0,1.432651268434875,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,844485797183098.5,355.0,2.0522162827979997,0.0,1.4325558567811587,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,842113646067415.8,356.0,2.051945470459691,0.0,1.4324613329719205,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,839754784313725.4,357.0,2.0516761752773394,0.0,1.4323673325224013,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,837409100558659.2,358.0,2.051408384537347,0.0,1.4322738510973896,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,835076484679665.6,359.0,2.051142085667773,0.0,1.4321808844094286,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,832756827777777.6,360.0,2.0508797216925307,0.0,1.4320892855169787,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,830450022160664.8,361.0,2.0506202773181554,0.0,1.4319987001803303,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,828155961325966.8,362.0,2.0503622663381136,0.0,1.4319086096319533,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,825874539944903.6,363.0,2.0501056769061714,0.0,1.4318190098284669,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,823605653846153.8,364.0,2.049850497306273,0.0,1.4317298967704324,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,821349200000000.0,365.0,2.049598016637052,0.0,1.431641720765727,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,819105076502732.2,366.0,2.0493494268860606,0.0,1.4315548983137394,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,816873182561307.8,367.0,2.049102191847608,0.0,1.4314685437855796,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
