frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,material_name
1100185282027738.6,272.4927,2.086207585641,0.0,1.444371,0.0,sio222
1112274911707711.5,269.5309,2.08804465204624,0.0,1.4450068,0.0,sio222
1124364933483402.4,266.6327,2.0899016094606404,0.0,1.4456492,0.0,sio222
1136454801092661.8,263.7962,2.0917790618425602,0.0,1.4462984,0.0,sio222
1148545176544416.5,261.0193,2.0936781932430404,0.0,1.4469548,0.0,sio222
1160634896422924.2,258.3004000000001,2.0955967158297604,0.0,1.4476176,0.0,sio222
1172724885824654.0,255.63750000000002,2.09753581368384,0.0,1.4482872,0.0,sio222
1184814618087254.8,253.029,2.09949493453956,0.0,1.4489634,0.0,sio222
1196904809338807.2,250.47310000000002,2.1014752648915596,0.0,1.4496466,0.0,sio222
1208994605764282.8,247.96840000000003,2.10347567316496,0.0,1.4503364,0.0,sio222
1221084886678190.5,245.51320000000004,2.10549560626276,0.0,1.4510326,0.0,sio222
1233174368578683.2,243.10630000000003,2.1075362523073595,0.0,1.4517356,0.0,sio222
1245264544374568.8,240.7460000000001,2.1095958970470403,0.0,1.4524448,0.0,sio222
1257354673949832.8,238.43110000000001,2.11167572939236,0.0,1.4531606,0.0,sio222
1269444233664916.0,236.16039999999998,2.1137763592422396,0.0,1.4538832,0.0,sio222
1281534571525791.2,233.9324,2.115896070544,0.0,1.454612,0.0,sio222
1293624050793497.5,231.7462,2.1180354725478403,0.0,1.4553472,0.0,sio222
1305714574414754.8,229.6003,2.1201940110499597,0.0,1.4560886,0.0,sio222
1317804380688888.5,227.49390000000005,2.12237229636496,0.0,1.4568364,0.0,sio222
1329894173603908.8,225.42579999999998,2.12456977417216,0.0,1.4575904,0.0,sio222
1341984342525276.8,223.39490000000004,2.12678588918016,0.0,1.4583504,0.0,sio222
1354074307939058.8,221.40030000000002,2.1290206687489603,0.0,1.4591164,0.0,sio222
1366164290173668.5,219.441,2.1312741404545603,0.0,1.4598884,0.0,sio222
1378254106247767.2,217.51610000000002,2.13354750062224,0.0,1.4606668,0.0,sio222
1390343768594228.8,215.6247,2.1358384408206397,0.0,1.4614508,0.0,sio222
1402434149896755.8,213.76580000000004,2.13814815718464,0.0,1.4622408,0.0,sio222
1414523711562017.0,211.9388,2.14047375208164,0.0,1.4630358,0.0,sio222
1426613715346761.8,210.14270000000002,2.14281934810384,0.0,1.4638372,0.0,sio222
1438703627275205.2,208.3768,2.145182046736,0.0,1.464644,0.0,sio222
1450793760945953.0,206.64029999999997,2.14756070175364,0.0,1.4654558,0.0,sio222
1462883915435570.2,204.9325,2.14995768354756,0.0,1.4662734,0.0,sio222
1474973323860729.0,203.2528,2.15237008637764,0.0,1.4670958,0.0,sio222
1487063550996699.8,201.6003,2.15480028260644,0.0,1.4679238,0.0,sio222
1499153432062587.8,199.97450000000003,2.1572459500435603,0.0,1.4687566,0.0,sio222
290158752189190.56,1033.2015000000001,5.33623305682944,0.0,2.3100288,0.0,tio22
302248681913570.56,991.8735000000001,5.350796160769441,0.0,2.3131788,0.0,tio22
314338602569337.06,953.7246000000001,5.36615093822116,0.0,2.3164954,0.0,tio22
326428572517419.94,918.4014000000001,5.382330400224999,0.0,2.319985,0.0,tio22
338518500535342.44,885.6013999999999,5.399363264409001,0.0,2.323653,0.0,tio22
350608455466577.06,855.0634000000001,5.41728324903364,0.0,2.3275058,0.0,tio22
362698396356083.94,826.5613,5.436126335120041,0.0,2.3315502,0.0,tio22
374788358015646.94,799.8980000000001,5.4559336104359994,0.0,2.335794,0.0,tio22
386878298807641.5,774.9012000000001,5.476746660024999,0.0,2.340245,0.0,tio22
398968269779602.44,751.4192999999999,5.49861322570884,0.0,2.3449122,0.0,tio22
411058235583428.7,729.3187000000001,5.521578838415999,0.0,2.349804,0.0,tio22
423148137614397.9,708.4811,5.54570378265124,0.0,2.3549318,0.0,tio22
435238065096005.2,688.8011,5.5710453577584405,0.0,2.3603062,0.0,tio22
447328047428112.3,670.1848000000001,5.597666405345439,0.0,2.3659388,0.0,tio22
