case_id,position_id,orientation,fdtd_status,result_fsp,notes,candidate_id,wavelength_nm,source_position_label,source_x_nm,source_y_nm,q_nm
BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_CENTER_XDIP,center,x,ok,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_position_run\_runtime_fsp_artifacts_not_for_git\results\center\BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,453.0,center,0.0,0.0,107.9769465
BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_CENTER_YDIP,center,y,ok,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_position_run\_runtime_fsp_artifacts_not_for_git\results\center\BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,453.0,center,0.0,0.0,107.9769465
BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_X_PLUS_Q_XDIP,x_plus_q,x,ok,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_position_run\_runtime_fsp_artifacts_not_for_git\results\x_plus_q\BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_X_PLUS_Q_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,453.0,x_plus_q,107.9769465,0.0,107.9769465
BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_X_PLUS_Q_YDIP,x_plus_q,y,ok,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_position_run\_runtime_fsp_artifacts_not_for_git\results\x_plus_q\BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_X_PLUS_Q_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,453.0,x_plus_q,107.9769465,0.0,107.9769465
BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_X_MINUS_Q_XDIP,x_minus_q,x,ok,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_position_run\_runtime_fsp_artifacts_not_for_git\results\x_minus_q\BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_X_MINUS_Q_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,453.0,x_minus_q,-107.9769465,0.0,107.9769465
BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_X_MINUS_Q_YDIP,x_minus_q,y,ok,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_position_run\_runtime_fsp_artifacts_not_for_git\results\x_minus_q\BW2A_POS_BW2_J1J2_D194_T90_PSI99_H525_453NM_X_MINUS_Q_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,453.0,x_minus_q,-107.9769465,0.0,107.9769465
