candidate_id,wavelength_nm,q_nm,source_position_label,x_nm,y_nm
BW2_J1J2_D194_T90_PSI99_H525,453.0,107.9769465,center,0.0,0.0
BW2_J1J2_D194_T90_PSI99_H525,453.0,107.9769465,x_plus_q,107.9769465,0.0
BW2_J1J2_D194_T90_PSI99_H525,453.0,107.9769465,x_minus_q,-107.9769465,0.0
