case_id,polarization,wavelength_nm,T_total,R_total,closure,residual,eta_plus1,eta_0,eta_minus1,non_target_efficiency,directionality_plus1_over_pm1,eta_plus1_over_minus1,plus1_air_side_angle_deg,dominant_order_n,order_sum_T_mismatch,open_order_count
CONTROL0_NEG0378_P,P_XLIKE,445.0,0.7856390637721073,0.2126747030206799,0.9983137667927873,0.0016862332072127562,0.6290726467266827,0.04383240406677253,0.0036588658398835354,0.15656641704542462,0.9942173484847594,171.9310502914495,,1,0.0,7
CONTROL0_NEG0378_P,P_XLIKE,445.99999999999994,0.7864859153249993,0.2120032672861126,0.998489182611112,0.0015108173888880583,0.6254447368689665,0.04703429364555191,0.003877717863982564,0.16104117845603283,0.9938382655269656,161.2919657405428,,1,0.0,7
CONTROL0_NEG0378_P,P_XLIKE,446.99999999999994,0.7856783010576783,0.212147328188676,0.9978256292463543,0.0021743707536456824,0.6210829086115847,0.050370508372291366,0.003984463516565464,0.16459539244609367,0.9936255455103989,155.87616903239888,,1,1.1102230246251565e-16,7
CONTROL0_NEG0378_P,P_XLIKE,448.00000000000006,0.7860797759711573,0.2117054581996563,0.9977852341708136,0.0022147658291863936,0.6176136275352448,0.05352290289386841,0.00418579477186475,0.16846614843591246,0.9932682556115381,147.5499065760697,,1,0.0,7
CONTROL0_NEG0378_P,P_XLIKE,449.0,0.7850935455537688,0.21260016667635243,0.9976937122301212,0.0023062877698788176,0.6134930027681076,0.05696706896337352,0.004219707740344167,0.17160054278566117,0.993168818338106,145.38755774542577,,1,0.0,7
CONTROL0_NEG0378_P,P_XLIKE,450.0,0.783819730389412,0.21251490306855242,0.9963346334579644,0.0036653665420355863,0.6094015133035777,0.06002378255467571,0.004343414081073194,0.17441821708583427,0.9929230957564378,140.304723871274,,1,2.220446049250313e-16,7
CONTROL0_NEG0378_P,P_XLIKE,450.9999999999999,0.7824449342229058,0.21649864683793163,0.9989435810608375,0.001056418939162529,0.605470970510408,0.06410349098399198,0.004117912725005053,0.17697396371249785,0.993244770634351,147.03346353938693,,1,1.1102230246251565e-16,7
CONTROL0_NEG0378_P,P_XLIKE,451.99999999999994,0.7616698810821232,0.2303969245845927,0.9920668056667159,0.0079331943332841,0.5921103720143089,0.06806454504757821,0.003121864952256946,0.16955950906781425,0.9947552152615815,189.66559446661648,,1,0.0,7
CONTROL0_NEG0378_P,P_XLIKE,453.00000000000006,0.8018699837368316,0.18577822018571435,0.9876482039225459,0.012351796077454041,0.5957567856550672,0.05693276568532047,0.010811497238474532,0.20611319808176443,0.9821759601624735,55.104003868674766,,1,0.0,7
CONTROL0_NEG0378_P,P_XLIKE,453.9999999999999,0.8017553076337574,0.19434790949547562,0.996103217129233,0.0038967828707670293,0.5983218212329973,0.06853580190625391,0.007324889831466678,0.2034334864007601,0.9879056722382051,81.6833884193988,,1,0.0,7
CONTROL0_NEG0378_P,P_XLIKE,455.00000000000006,0.7982786175914144,0.19877077052708741,0.9970493881185019,0.0029506118814981996,0.5914150526616254,0.07356800231960013,0.006777012546565835,0.20686356492978897,0.9886708417902415,87.26781138413526,,1,0.0,7
