case_id,polarization,wavelength_nm,order_n,u_x,transmitted_fraction,eta_abs,power_source_norm
CONTROL0_NEG0378_P,P_XLIKE,445.0,-1,-0.7898921488095831,0.004657184206594994,0.0036588658398835354,0.004657184206594994
CONTROL0_NEG0378_P,P_XLIKE,445.0,0,-0.5341450223728014,0.0557920374482386,0.04383240406677253,0.0557920374482386
CONTROL0_NEG0378_P,P_XLIKE,445.0,1,-0.27839789593601977,0.8007145720406282,0.6290726467266827,0.8007145720406282
CONTROL0_NEG0378_P,P_XLIKE,445.0,2,-0.022650769499238162,0.06616951982514618,0.051985359605677746,0.06616951982514618
CONTROL0_NEG0378_P,P_XLIKE,445.0,3,0.2330963569375435,0.026949751188341687,0.0211727772925,0.026949751188341687
CONTROL0_NEG0378_P,P_XLIKE,445.0,4,0.4888434833743251,0.004030463060714676,0.0031664892255879405,0.004030463060714676
CONTROL0_NEG0378_P,P_XLIKE,445.0,5,0.7445906098111068,0.041686472230335676,0.03275052101500287,0.041686472230335676
CONTROL0_NEG0378_P,P_XLIKE,445.99999999999994,-1,-0.7916671873462336,0.004930435228938812,0.003877717863982564,0.004930435228938813
CONTROL0_NEG0378_P,P_XLIKE,445.99999999999994,0,-0.535345348265774,0.05980309720628111,0.04703429364555191,0.059803097206281124
CONTROL0_NEG0378_P,P_XLIKE,445.99999999999994,1,-0.27902350918531416,0.7952395900319641,0.6254447368689665,0.7952395900319643
CONTROL0_NEG0378_P,P_XLIKE,445.99999999999994,2,-0.022701670104854424,0.06452911806353606,0.05075124248531511,0.06452911806353608
CONTROL0_NEG0378_P,P_XLIKE,445.99999999999994,3,0.23362016897560534,0.02680295019031173,0.021080142813837688,0.026802950190311738
CONTROL0_NEG0378_P,P_XLIKE,445.99999999999994,4,0.4899420080560651,0.005532859834300812,0.004351516331144998,0.005532859834300813
CONTROL0_NEG0378_P,P_XLIKE,445.99999999999994,5,0.7462638471365248,0.043161949444667225,0.03394626531620045,0.04316194944466723
CONTROL0_NEG0378_P,P_XLIKE,446.99999999999994,-1,-0.7934422258828844,0.005071367646531141,0.003984463516565464,0.005071367646531142
CONTROL0_NEG0378_P,P_XLIKE,446.99999999999994,0,-0.5365456741587464,0.06411085593745265,0.050370508372291366,0.06411085593745267
CONTROL0_NEG0378_P,P_XLIKE,446.99999999999994,1,-0.2796491224346086,0.7905053604961271,0.6210829086115847,0.7905053604961273
CONTROL0_NEG0378_P,P_XLIKE,446.99999999999994,2,-0.02275257071047069,0.0623487493507509,0.048986059462968995,0.062348749350750916
CONTROL0_NEG0378_P,P_XLIKE,446.99999999999994,3,0.23414398101366724,0.026209667301727906,0.020592366876908564,0.026209667301727912
CONTROL0_NEG0378_P,P_XLIKE,446.99999999999994,4,0.4910405327378051,0.007013563506795206,0.00551040466037899,0.007013563506795208
CONTROL0_NEG0378_P,P_XLIKE,446.99999999999994,5,0.7479370844619431,0.04474043576061498,0.035151589556980174,0.04474043576061499
CONTROL0_NEG0378_P,P_XLIKE,448.00000000000006,-1,-0.7952172644195353,0.005324898184403022,0.00418579477186475,0.005324898184403022
CONTROL0_NEG0378_P,P_XLIKE,448.00000000000006,0,-0.5377460000517191,0.06808838559387166,0.05352290289386841,0.06808838559387166
