candidate_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_high_scale,top_low_scale,bottom_high_scale,bottom_low_scale,top_chirp,bottom_chirp,valid,score,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,angular_fwhm_bounded,normal_window_response_0_5,normal_window_response_0_10,offaxis_20_60_response,offaxis_30_40_response,corrected_normal_offaxis_ratio,offaxis_peak_30_40_to_normal_ratio,offaxis_peak_20_60_to_normal_ratio,strongest_peak_angle,second_peak_angle,second_to_first_peak_ratio,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,spectral_fwhm_bounded,near_normal_spectrum_0_5_peak,near_normal_spectrum_0_10_peak,top_R_proxy,bottom_R_proxy,top_outcoupling_proxy,extraction_proxy,model_lam0_nm,model_spec_fwhm_nm,model_angle_fwhm_deg,total_stack_thickness_nm,distance_to_R2_4B_OPT_06361,distance_to_R2_4B_OPT_06176,failure_mode,pass_level
R2_4D2_OPT_08802,10,9,235,74,87,0.7868,0.7605,0.8196,0.8275,0.1385,0.0146,True,-13.1969,12.0,6.92,True,6e-08,3.167e-07,2.091e-07,3.865e-07,1.514688,1.220397,0.660202,12.0,34.0,0.101407,447.0,2.76,True,0.0686866205,0.3626762182,0.910442,0.927409,0.089558,0.08533185,447.065,2.646,6.559,2701,1.375573,0.976088,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12341,5,11,180,19.0,42.0,0.8593,0.8368,0.8684,0.8414,-0.0916,0.0644,True,-14.050643,6.0,11.479,True,0.0830835078,0.1808812923,0.0222806634,0.0473731616,8.118308,0.261902,0.123178,6.0,33.5,0.078017,447.5,4.905,True,3.5692782109,7.7706836439,0.547786,0.952622,0.452214,0.43828798,447.47,4.748,11.025,2310.0,1.343927,1.329241,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12352,6,12,180,33.0,47.0,0.8193,0.8331,0.9291,0.804,-0.1406,0.077,True,-14.755441,6.5,10.803,True,0.0727113901,0.1731943965,0.0219815492,0.0441520042,7.879081,0.254927,0.126918,6.5,34.0,0.081434,447.75,4.645,True,2.7402766255,6.5271830986,0.600544,0.954947,0.399456,0.38775794,447.856,4.495,10.359,2570.0,1.258669,1.287433,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12887,10,8,265.0,0,27.0,0.8758,1.1919,0.7883,0.7566,-0.0688,-0.0634,True,-15.106419,6.5,10.868,True,0.0554647323,0.1350825207,0.0173450712,0.0411734625,7.787948,0.304802,0.128404,6.5,33.0,0.082241,448.0,4.5,True,2.4362419459,5.9333866675,0.612191,0.877961,0.387809,0.35704592,447.924,4.345,10.212,2876.0,1.120437,1.078146,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12371,9,12,252.0,3.0,74.0,1.0511,0.8033,0.7861,0.75,0.055,-0.0274,True,-15.946866,9.0,10.047,True,0.0034909853,0.0125485997,0.0031247658,0.00538749,4.015853,0.42933,0.249013,9.0,33.0,0.086722,448.0,3.513,True,1.1365383641,4.0853695752,0.670565,0.979939,0.329435,0.32513927,447.976,3.478,9.598,2935.0,1.30167,1.097097,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12216,9,4,335.0,49.0,40.0,0.84,0.7772,0.8536,1.0828,0.0898,-0.0021,True,-17.469013,6.0,6.315,True,0.069499642,0.1953893057,0.0306352783,0.0413881462,6.377918,0.211824,0.156791,6.0,37.0,0.098684,449.0,6.785,True,0.1761083796,0.4951060613,0.920268,0.199588,0.079732,0.03824998,449.091,6.749,6.016,2130.0,1.526219,1.409828,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12917,9,12,329.0,86.0,38.0,0.831,0.9946,0.9241,0.8623,-0.0758,-0.0662,True,-17.817777,7.5,10.222,True,0.0409538154,0.1116971697,0.015417418,0.0370082994,7.244869,0.331327,0.138029,7.5,33.0,0.085086,447.5,4.676,True,1.8487728222,5.0423309643,0.656908,0.91989,0.343092,0.32522633,447.622,4.587,9.652,3352.0,0.601246,0.956771,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_04463,7,5,233,76,31,0.8073,0.8131,1.1702,1.1602,0.1457,-0.0344,True,-19.291036,6.0,9.492,True,0.4887675684,1.1422029155,0.1315920714,0.1426200037,8.679876,0.124864,0.115209,6.0,37.5,0.08747,450.25,7.855,True,0.6793278192,1.5875239393,0.717855,2.5e-05,0.282145,0.0987555,450.306,7.818,8.739,2093,1.774206,1.501666,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy
R2_4D2_OPT_12335,6,12,180,20.0,43.0,0.8712,0.8409,0.8912,0.8845,-0.1199,0.0686,True,-19.448494,7.5,10.718,True,0.0554370372,0.1493739248,0.023592399,0.0430708168,6.331443,0.288342,0.157942,7.5,33.5,0.082436,447.75,4.828,True,2.1644666733,5.8321096899,0.610794,0.923368,0.389206,0.36981924,447.72,4.593,10.288,2643.0,1.291348,1.261784,peak_angle_gt7;spectral_peak_outside_450_456;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12110,9,9,231.0,89.0,85.0,0.7915,0.7843,0.8667,0.8417,0.1399,0.0126,True,-19.625605,14.0,7.834,True,9.843e-07,3.3201e-06,1.2168e-05,6.5671e-06,0.272856,1.977979,3.664935,14.0,34.0,0.099708,447.0,3.001,True,0.0958025923,0.3231323717,0.865858,0.912703,0.134142,0.12653061,446.978,2.959,7.304,2649.0,1.343775,1.005648,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
