candidate_id,old_proxy_peak_abs_angle_deg,old_proxy_normal_offaxis_ratio,corrected_normal_offaxis_ratio,status
R2_4B_OPT_06361,7.0,21.030296,,negative_sample_old_proxy_failed_fdtd
R2_4B_OPT_06176,7.0,19.279846,,negative_sample_old_proxy_failed_fdtd
R2_4D2_OPT_13003,,,6.755659,r2_4d2_corrected_proxy_candidate
R2_4D2_OPT_13010,,,7.388602,r2_4d2_corrected_proxy_candidate
R2_4D2_OPT_13013,,,8.136453,r2_4d2_corrected_proxy_candidate
R2_4D2_OPT_12232,,,8.782271,r2_4d2_corrected_proxy_candidate
R2_4D2_OPT_03742,,,7.526057,r2_4d2_corrected_proxy_candidate
