threshold,value,selection_basis
normal_window_response_0_5_min,3.3389999999999973e-07,population percentile or fixed conservative rule
normal_window_response_0_10_min,8.286999999999986e-07,population percentile or fixed conservative rule
offaxis_20_60_response_max,0.0,population percentile or fixed conservative rule
offaxis_30_40_response_max,0.0,population percentile or fixed conservative rule
corrected_normal_offaxis_ratio_min,1.0666361999999991,population percentile or fixed conservative rule
offaxis_peak_30_40_to_normal_ratio_max,0.0,population percentile or fixed conservative rule
second_to_first_peak_ratio_max,0.55,population percentile or fixed conservative rule
failed_family_distance_min,0.18,population percentile or fixed conservative rule
