candidate_id,score,failure_mode,pass_level,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,corrected_normal_offaxis_ratio,offaxis_20_60_response,offaxis_30_40_response,spectral_fwhm_nm_normal_window
R2_4D2_OPT_13305,-20.256673,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,23.819,7.224268,0.0395520792,0.0701118801,4.56
R2_4D2_OPT_12520,-20.577745,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,8.5,10.504,4.923938,0.0121876997,0.0211058414,4.705
R2_4D2_OPT_12062,-21.152539,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.5,6.602,5.919612,0.0083881392,0.0228720221,3.455
R2_4D2_OPT_11775,-21.474728,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.5,7.002,6.641191,0.0682545702,0.0881577422,6.9
R2_4D2_OPT_12257,-21.56753,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,24.558,6.53714,0.0573014261,0.0782916773,4.86
R2_4D2_OPT_13189,-22.123019,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,11.137,8.087747,0.0592161283,0.1374562127,4.95
R2_4D2_OPT_13210,-22.262628,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,11.276,7.828398,0.0766043402,0.1482280457,4.838
R2_4D2_OPT_12857,-22.750604,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,11.781,6.858546,0.0656740008,0.1140196516,5.467
R2_4D2_OPT_06399,-22.857837,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,10.912,8.402818,0.1121523379,0.2305969798,4.319
R2_4D2_OPT_01592,-23.060112,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.0,8.151,7.4851,0.0554188689,0.0900170795,6.861
R2_4D2_OPT_12063,-23.282561,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.5,9.014,7.061136,0.0237252344,0.0695251077,4.168
R2_4D2_OPT_01768,-23.702719,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,23.897,7.003776,0.0699192463,0.1122342004,5.2
R2_4D2_OPT_12256,-24.367801,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,24.833,5.757777,0.0860294721,0.0994841661,4.859
R2_4D2_OPT_13208,-24.418084,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,23.997,6.706422,0.0758577689,0.1166845838,5.385
R2_4D2_OPT_12488,-24.944722,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,7.014,6.879726,0.1101000066,0.1848960457,5.453
R2_4D2_OPT_11898,-25.161791,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,23.593,7.825996,0.0800252377,0.170059072,4.31
R2_4D2_OPT_01423,-25.419381,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,23.656,7.685562,0.1022046541,0.1761736114,5.286
R2_4D2_OPT_13304,-25.639879,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,11.549,7.954567,0.1636677785,0.319681486,4.431
R2_4D2_OPT_12129,-25.792505,peak_angle_gt7;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,8.0,6.415,5.714716,0.0196381373,0.0529598724,2.689
R2_4D2_OPT_12630,-25.827179,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.5,9.892,6.912024,0.0315287738,0.079260349,5.213
R2_4D2_OPT_13262,-26.407799,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,25.582,5.099533,0.0963826421,0.1022965382,5.158
R2_4D2_OPT_12409,-26.840373,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,24.529,6.622148,0.1203789715,0.1673407745,5.538
R2_4D2_OPT_12709,-26.994723,spectral_fwhm_gt8;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule,fail_corrected_proxy,6.5,10.429,8.468589,0.2602425435,0.3514666642,9.115
R2_4D2_OPT_12104,-27.094816,peak_angle_gt7;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,7.5,7.52,6.552393,0.035450555,0.0879826411,3.315
R2_4D2_OPT_12328,-27.222787,peak_angle_gt7;spectral_peak_outside_450_456;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,8.0,10.883,6.098798,0.0686537697,0.120722833,4.552
R2_4D2_OPT_13196,-27.473933,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,10.277,8.540354,0.1344974769,0.3539029402,4.574
R2_4D2_OPT_12312,-27.531887,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,9.84,8.680887,0.2808707395,0.4466043136,7.591
R2_4D2_OPT_12277,-27.645491,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,7.0,7.486,6.916387,0.1383338014,0.1989688885,6.697
R2_4D2_OPT_12010,-27.668684,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.5,9.335,7.439769,0.0713307657,0.1779004837,4.934
R2_4D2_OPT_09487,-27.723518,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,7.0,7.266,6.580474,0.1116610861,0.1740951269,5.718
R2_4D2_OPT_12514,-27.954407,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,9.0,8.794,5.089332,0.0175696054,0.0339806852,4.59
R2_4D2_OPT_12500,-28.10633,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.5,8.862,8.041727,0.1176435517,0.2661638312,4.836
R2_4D2_OPT_09406,-28.256491,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,8.776,8.371545,0.1756059971,0.3870804498,5.124
