candidate_id,stack,layer_index,material,thickness_nm
R2_4D2_OPT_13003,top,0,SiO2_termination,90
R2_4D2_OPT_13003,top,1,TiO2,43
R2_4D2_OPT_13003,top,2,SiO2,87
R2_4D2_OPT_13003,top,3,TiO2,44
R2_4D2_OPT_13003,top,4,SiO2,85
R2_4D2_OPT_13003,top,5,TiO2,45
R2_4D2_OPT_13003,top,6,SiO2,84
R2_4D2_OPT_13003,top,7,TiO2,45
R2_4D2_OPT_13003,top,8,SiO2,82
R2_4D2_OPT_13003,top,9,TiO2,46
R2_4D2_OPT_13003,top,10,SiO2,81
R2_4D2_OPT_13003,top,11,TiO2,47
R2_4D2_OPT_13003,top,12,SiO2,79
R2_4D2_OPT_13003,top,13,TiO2,48
R2_4D2_OPT_13003,top,14,SiO2,78
R2_4D2_OPT_13003,top,15,TiO2,49
R2_4D2_OPT_13003,top,16,SiO2,77
R2_4D2_OPT_13003,bottom,0,SiO2_termination,76
R2_4D2_OPT_13003,bottom,1,TiO2,51
R2_4D2_OPT_13003,bottom,2,SiO2,69
R2_4D2_OPT_13003,bottom,3,TiO2,50
R2_4D2_OPT_13003,bottom,4,SiO2,70
R2_4D2_OPT_13003,bottom,5,TiO2,49
R2_4D2_OPT_13003,bottom,6,SiO2,71
R2_4D2_OPT_13003,bottom,7,TiO2,49
R2_4D2_OPT_13003,bottom,8,SiO2,72
R2_4D2_OPT_13003,bottom,9,TiO2,48
R2_4D2_OPT_13003,bottom,10,SiO2,73
R2_4D2_OPT_13003,bottom,11,TiO2,47
R2_4D2_OPT_13003,bottom,12,SiO2,75
R2_4D2_OPT_13003,bottom,13,TiO2,46
R2_4D2_OPT_13003,bottom,14,SiO2,76
R2_4D2_OPT_13003,bottom,15,TiO2,46
R2_4D2_OPT_13003,bottom,16,SiO2,77
R2_4D2_OPT_13003,bottom,17,TiO2,45
R2_4D2_OPT_13003,bottom,18,SiO2,78
R2_4D2_OPT_13003,bottom,19,TiO2,44
R2_4D2_OPT_13003,bottom,20,SiO2,80
R2_4D2_OPT_13003,bottom,21,TiO2,43
R2_4D2_OPT_13003,bottom,22,SiO2,81
R2_4D2_OPT_13003,bottom,23,TiO2,42
R2_4D2_OPT_13003,bottom,24,SiO2,83
R2_4D2_OPT_13010,top,0,SiO2_termination,86
R2_4D2_OPT_13010,top,1,TiO2,47
R2_4D2_OPT_13010,top,2,SiO2,80
R2_4D2_OPT_13010,top,3,TiO2,48
R2_4D2_OPT_13010,top,4,SiO2,78
R2_4D2_OPT_13010,top,5,TiO2,49
R2_4D2_OPT_13010,top,6,SiO2,77
R2_4D2_OPT_13010,top,7,TiO2,50
R2_4D2_OPT_13010,top,8,SiO2,76
R2_4D2_OPT_13010,top,9,TiO2,50
R2_4D2_OPT_13010,top,10,SiO2,74
R2_4D2_OPT_13010,top,11,TiO2,51
R2_4D2_OPT_13010,top,12,SiO2,73
R2_4D2_OPT_13010,top,13,TiO2,52
R2_4D2_OPT_13010,top,14,SiO2,72
R2_4D2_OPT_13010,top,15,TiO2,53
R2_4D2_OPT_13010,top,16,SiO2,71
R2_4D2_OPT_13010,bottom,0,SiO2_termination,69
R2_4D2_OPT_13010,bottom,1,TiO2,54
R2_4D2_OPT_13010,bottom,2,SiO2,70
R2_4D2_OPT_13010,bottom,3,TiO2,53
R2_4D2_OPT_13010,bottom,4,SiO2,72
R2_4D2_OPT_13010,bottom,5,TiO2,52
R2_4D2_OPT_13010,bottom,6,SiO2,73
R2_4D2_OPT_13010,bottom,7,TiO2,51
