attempt,polarization,wavelength_nm,transmission_T,sourcepower_absolute,stored_monitor_power,manual_signed_flux,manual_flux_over_sourcepower,monitor_normal,normal_corrected_flux_over_sourcepower
BF08_attempt_001,y,448.0,0.9777629509978338,2.3715211463834216e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,449.0,0.986788002252905,2.371984852816185e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,450.0000000000001,1.0020088943567937,2.3724455005403145e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,450.99999999999994,0.9881239777808393,2.3729031163323987e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,452.0,0.9878564051044357,2.3733577266773914e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,453.00000000000006,0.24594003010929372,2.3738093577723926e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,453.99999999999994,0.6395086767012861,2.3742580355303973e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,455.00000000000006,0.8472312238214549,2.374703785583969e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,456.0,0.9180511793909678,2.375146633288862e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,457.0,0.9156915707878839,2.375586603727601e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,458.0,0.8941922464518378,2.376023721712988e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,459.0,0.78465235146727,2.376458011791573e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,460.00000000000006,1.0022813483844686,2.376889498247063e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,460.99999999999994,0.933788853585772,2.3773182051036883e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,461.99999999999994,0.93631305467334,2.377744156129507e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,463.0,0.9379990988689834,2.378167374839678e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,464.00000000000006,0.8978205984598219,2.3785878844996657e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_001,y,465.00000000000006,0.8870202107890854,2.379005708128412e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,435.00000000000006,-6948.538507181775,2.3652018815462696e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,436.00000000000006,-15939.744045885647,2.36570792783579e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,437.0,-1435.8649704744978,2.366210538944842e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,438.00000000000006,-487.77306500556944,2.366709745814554e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,438.99999999999994,-242.6204373690567,2.3672055790393985e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,440.00000000000006,-148.4323141962165,2.367698068871827e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,440.99999999999994,-97.01326408518317,2.368187245226837e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,442.0,-67.33496765763765,2.3686731376864663e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,443.0,-54.29583854027992,2.369155775504218e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,444.0,-37.24245913216451,2.3696351876094186e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,445.00000000000006,-34.33397362836772,2.3701114026115065e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,445.99999999999994,-24.180248826037705,2.370584448804258e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,447.00000000000006,-23.373861576404398,2.371054354169942e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,448.0,-18.809075158432485,2.3715211463834216e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,449.0,-16.506329267220238,2.371984852816185e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,450.0000000000001,-14.342592400376223,2.3724455005403145e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,450.99999999999994,-13.042941782418504,2.3729031163323987e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,452.0,-11.545507284690572,2.3733577266773914e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,453.00000000000006,-9.131651540875867,2.3738093577723926e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,453.99999999999994,-8.331945252549435,2.3742580355303973e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,455.00000000000006,-8.505382897939372,2.374703785583969e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,456.0,-7.901931387275507,2.375146633288862e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,457.0,-6.516203781656149,2.375586603727601e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,458.0,-5.330855340698238,2.376023721712988e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,459.0,-4.538126972692089,2.376458011791573e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,460.00000000000006,-4.077241136939546,2.376889498247063e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,460.99999999999994,-3.761610755420396,2.3773182051036883e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,461.99999999999994,-3.4804673233650276,2.377744156129507e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,463.0,-3.2209700431206376,2.378167374839678e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,464.00000000000006,-3.051457387508905,2.3785878844996657e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,x,465.00000000000006,-3.088539421536494,2.379005708128412e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,435.00000000000006,-6.9227083798707,2.3652018815462696e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,436.00000000000006,-16.142663332825247,2.36570792783579e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,437.0,-1.3400531520906511,2.366210538944842e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,438.00000000000006,-0.19320972887501023,2.366709745814554e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,438.99999999999994,0.2302626656429034,2.3672055790393985e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,440.00000000000006,0.47192435980852776,2.367698068871827e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,440.99999999999994,0.6368675518225545,2.368187245226837e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,442.0,0.5086511267816938,2.3686731376864663e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,443.0,0.8242895689835774,2.369155775504218e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,444.0,0.8662584648691656,2.3696351876094186e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,445.00000000000006,0.8989194981314005,2.3701114026115065e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,445.99999999999994,0.9261042625657613,2.370584448804258e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,447.00000000000006,0.9449940742704767,2.371054354169942e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,448.0,0.9615255783885338,2.3715211463834216e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,449.0,0.9712986751482655,2.371984852816185e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,450.0000000000001,0.9852298806354907,2.3724455005403145e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,450.99999999999994,0.9864785398341689,2.3729031163323987e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,452.0,0.954941284365843,2.3733577266773914e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,453.00000000000006,0.26157022014969183,2.3738093577723926e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,453.99999999999994,0.634896792585459,2.3742580355303973e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,455.00000000000006,0.8465102236493179,2.374703785583969e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,456.0,0.900999551227478,2.375146633288862e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,457.0,0.9239049712693644,2.375586603727601e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,458.0,0.9238107062185299,2.376023721712988e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,459.0,0.9954706259437461,2.376458011791573e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,460.00000000000006,0.9588274142543437,2.376889498247063e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,460.99999999999994,0.9487254876913767,2.3773182051036883e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,461.99999999999994,0.9385408794605586,2.377744156129507e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,463.0,0.9252443200425292,2.378167374839678e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,464.00000000000006,0.9066131401252326,2.3785878844996657e-16,,,,z-positive from 2D Z-normal monitor type,
BF08_attempt_002,y,465.00000000000006,0.8798385065549063,2.379005708128412e-16,,,,z-positive from 2D Z-normal monitor type,
BF07_attempt_001,x,435.00000000000006,0.7432053036844518,2.3652018815462696e-16,,,,z-positive from 2D Z-normal monitor type,
