attempt,polarization,monitor,index,frequency_hz,actual_wavelength_nm,assumed_wavelength_nm,assumed_minus_actual_nm,formal_actual_match
BF08_attempt_002,x,T,1,696382016260162.5,430.50000000000006,430.5,-5.684341886080802e-14,False
BF08_attempt_002,x,T,2,695574148491879.4,431.0,431.0,0.0,False
BF08_attempt_002,x,T,3,694768152954808.8,431.5,431.5,0.0,False
BF08_attempt_002,x,T,4,693964023148148.1,432.0,432.0,0.0,False
BF08_attempt_002,x,T,5,693161752601156.1,432.5,432.5,0.0,False
BF08_attempt_002,x,T,6,692361334872979.2,433.0,433.0,0.0,False
BF08_attempt_002,x,T,7,691562763552479.9,433.49999999999994,433.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,8,690766032258064.5,434.0,434.0,0.0,False
BF08_attempt_002,x,T,9,689971134637514.4,434.5,434.5,0.0,False
BF08_attempt_002,x,T,10,689178064367816.0,435.00000000000006,435.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,11,688386815154994.4,435.49999999999994,435.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,12,687597380733944.9,436.00000000000006,436.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,13,686809754868270.2,436.50000000000006,436.5,-5.684341886080802e-14,False
BF08_attempt_002,x,T,14,686023931350114.4,437.0,437.0,0.0,True
BF08_attempt_002,x,T,15,685239904000000.0,437.5,437.5,0.0,False
BF08_attempt_002,x,T,16,684457666666666.6,438.00000000000006,438.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,17,683677213226909.9,438.5,438.5,0.0,False
BF08_attempt_002,x,T,18,682898537585421.5,438.99999999999994,439.0,5.684341886080802e-14,True
BF08_attempt_002,x,T,19,682121633674630.2,439.5,439.5,0.0,False
BF08_attempt_002,x,T,20,681346495454545.4,440.00000000000006,440.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,21,680573116912599.4,440.49999999999994,440.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,22,679801492063492.1,440.99999999999994,441.0,5.684341886080802e-14,True
BF08_attempt_002,x,T,23,679031614949037.4,441.5,441.5,0.0,False
BF08_attempt_002,x,T,24,678263479638009.0,442.0,442.0,0.0,True
BF08_attempt_002,x,T,25,677497080225988.8,442.49999999999994,442.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,26,676732410835214.5,443.0,443.0,0.0,True
BF08_attempt_002,x,T,27,675969465614430.6,443.5,443.5,0.0,False
BF08_attempt_002,x,T,28,675208238738738.8,444.0,444.0,0.0,True
BF08_attempt_002,x,T,29,674448724409448.9,444.49999999999994,444.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,30,673690916853932.5,445.00000000000006,445.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,31,672934810325476.9,445.50000000000006,445.5,-5.684341886080802e-14,False
BF08_attempt_002,x,T,32,672180399103139.1,445.99999999999994,446.0,5.684341886080802e-14,True
BF08_attempt_002,x,T,33,671427677491601.4,446.5,446.5,0.0,False
BF08_attempt_002,x,T,34,670676639821029.0,447.00000000000006,447.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,35,669927280446927.4,447.5,447.5,0.0,False
BF08_attempt_002,x,T,36,669179593750000.0,448.0,448.0,0.0,True
BF08_attempt_002,x,T,37,668433574136008.9,448.5,448.5,0.0,False
BF08_attempt_002,x,T,38,667689216035634.8,449.0,449.0,0.0,True
BF08_attempt_002,x,T,39,666946513904338.1,449.5,449.5,0.0,False
BF08_attempt_002,x,T,40,666205462222222.1,450.0000000000001,450.0,-1.1368683772161603e-13,True
BF08_attempt_002,x,T,41,665466055493895.6,450.5,450.5,0.0,False
BF08_attempt_002,x,T,42,664728288248337.1,450.99999999999994,451.0,5.684341886080802e-14,True
BF08_attempt_002,x,T,43,663992155038759.8,451.49999999999994,451.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,44,663257650442477.9,452.0,452.0,0.0,True
BF08_attempt_002,x,T,45,662524769060773.5,452.5,452.5,0.0,False
BF08_attempt_002,x,T,46,661793505518763.8,453.00000000000006,453.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,47,661063854465270.1,453.5,453.5,0.0,False
BF08_attempt_002,x,T,48,660335810572687.2,453.99999999999994,454.0,5.684341886080802e-14,True
BF08_attempt_002,x,T,49,659609368536853.6,454.50000000000006,454.5,-5.684341886080802e-14,False
BF08_attempt_002,x,T,50,658884523076923.0,455.00000000000006,455.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,51,658161268935236.0,455.5,455.5,0.0,False
BF08_attempt_002,x,T,52,657439600877193.0,456.0,456.0,0.0,True
BF08_attempt_002,x,T,53,656719513691128.2,456.49999999999994,456.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,54,656001002188183.9,457.0,457.0,0.0,True
BF08_attempt_002,x,T,55,655284061202185.8,457.5,457.5,0.0,False
BF08_attempt_002,x,T,56,654568685589519.6,458.0,458.0,0.0,True
BF08_attempt_002,x,T,57,653854870229007.6,458.5,458.5,0.0,False
BF08_attempt_002,x,T,58,653142610021786.5,459.0,459.0,0.0,True
BF08_attempt_002,x,T,59,652431899891186.1,459.49999999999994,459.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,60,651722734782608.6,460.00000000000006,460.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,61,651015109663409.4,460.5,460.5,0.0,False
BF08_attempt_002,x,T,62,650309019522776.6,460.99999999999994,461.0,5.684341886080802e-14,True
BF08_attempt_002,x,T,63,649604459371614.4,461.49999999999994,461.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,64,648901424242424.4,461.99999999999994,462.0,5.684341886080802e-14,True
BF08_attempt_002,x,T,65,648199909189189.1,462.50000000000006,462.5,-5.684341886080802e-14,False
BF08_attempt_002,x,T,66,647499909287257.0,463.0,463.0,0.0,True
BF08_attempt_002,x,T,67,646801419633225.4,463.50000000000006,463.5,-5.684341886080802e-14,False
BF08_attempt_002,x,T,68,646104435344827.5,464.00000000000006,464.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,69,645408951560818.0,464.50000000000006,464.5,-5.684341886080802e-14,False
BF08_attempt_002,x,T,70,644714963440860.1,465.00000000000006,465.0,-5.684341886080802e-14,True
BF08_attempt_002,x,T,71,644022466165413.6,465.49999999999994,465.5,5.684341886080802e-14,False
BF08_attempt_002,x,T,72,643331454935622.4,465.99999999999994,466.0,5.684341886080802e-14,False
