candidate_uid,wavelength_nm,basis,target_order_n,target_order_m,txx_re,txx_im,tyx_re,tyx_im,txy_re,txy_im,tyy_re,tyy_im,eta_x_plus1,eta_y_plus1,theta_deg,alpha_star_from_alpha_re,alpha_star_from_alpha_im,alpha_star_from_alpha_eta_proxy,beta_star_from_alpha_re,beta_star_from_alpha_im,alpha_star_from_beta_re,alpha_star_from_beta_im,beta_star_from_beta_re,beta_star_from_beta_im,target_projector_error,alpha_basis_psi_deg,alpha_basis_chi_deg
K6_L1_A,450.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.0064592274352964175,-0.02992195386345439,0.005271983310829707,0.00022594351981878818,-0.001259852966117795,-0.013273929561742998,0.030948409933142698,0.050833600638133795,0.0009940236561730277,0.003725170998914408,10.000000005514977,0.03739222035870724,0.03343261521824968,0.002515917903685661,-0.011252793692242599,0.0030486414515601967,-0.0177846299691901,-0.010451231630001586,0.022912757922515334,-0.03289650439937518,0.894410688524648,112.5,22.5
K6_L1_A,450.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.019109056974855196,0.015217490466525612,-0.0013213992434246904,-0.002441503462015698,-0.0028146739272907634,0.0080506210233484,0.002766032263754553,-0.0629993850388153,0.000623030641366963,0.004051574938038617,10.011225523725704,-0.014733736622072106,-0.05096516892054764,0.0028145314379485445,0.013205334159962829,0.007127745444160713,0.011712059476096753,0.017619869929524808,-0.03312640594825057,0.00830875921659378,0.933688710814697,112.5,22.5
K6_L1_A,451.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.016352066380223965,0.010804346307058682,0.0006690803459495988,-0.006717156426438129,-0.0024004486400445654,0.009733329237268601,0.02660385847665645,-0.061516379266235925,0.0004416895080405952,0.004595669054048733,10.022451430195186,0.0020977616746979265,-0.054871166197779674,0.00301524548394819,0.009158036548895685,0.012725451214113703,0.006088507562901517,0.029175936877820427,-0.029500926345227926,-0.0015999344768029746,0.9609969473593721,112.5,22.5
K6_L1_A,451.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.00909381317380017,-0.01784374553737961,-1.692777885002159e-05,0.007431079195566324,0.005332212934180758,-0.010439804738738833,-0.03380627176620644,0.06574326851367425,0.00046887437929954916,0.005606765424131039,10.0336777253947,-0.005639308974186834,0.05240054945980921,0.0027776193893962555,-0.014760315753315897,-0.026376600647096533,-0.009411175040285118,-0.04424748458140168,0.015593512253569957,-0.008831885229132669,0.966332817181629,112.5,22.5
K6_L1_A,452.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.05546312713817593,-0.0013572621259298665,0.003929579022590355,0.005740192345460287,0.0012666182213295853,-0.008146100059536058,-0.011548760653637637,0.07966865361804666,0.0032229700740428577,0.00655056398483091,10.044904409795663,0.009651661881208312,0.044907221118974404,0.0021098130856976303,-0.038633418515599316,-0.036404135943828714,-0.04129637931686009,-0.05029042834882506,-0.01772621814396133,-0.014087987014973236,0.8257448741764738,112.5,22.5
K6_L1_A,452.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.028264909149391514,-0.11661822244724085,-0.006860002011350421,0.001788910158010419,0.007323533952928202,0.001265243152130432,-0.05783808351987063,-0.06293130793212295,0.01490179293752805,0.007362565471547895,10.056131483869633,-0.026876317401012845,-0.02416909566401378,0.0013064816222562359,0.07779844244483586,-0.02437912952266369,0.09198197840911448,-0.02490279652854368,0.03433545917506422,-0.059971864462252195,0.5829282723711143,112.5,22.5
K6_L1_A,453.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.1961411321635199,0.05979066031408909,0.0026023236816043157,0.004244370023100793,0.0016293040865367346,-0.007960004507825622,-0.0684875687345052,0.061336669553714945,0.043396362209789714,0.008520831256780683,10.06735894808831,-0.05046653693557806,0.011713952347821105,0.0026840880298770876,-0.07530976617002719,-0.08691578087405212,-0.07628278576509474,-0.09912015540497854,-0.13773902458855156,0.007993408390145104,0.41094846107464655,112.5,22.5
K6_L1_A,453.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.2336760616150478,0.0011972211856524986,0.001126805880869447,0.0007903974410630023,0.004724869985671298,0.0008629622226456386,-0.09884397302926033,-0.010466824926199096,0.05633294375832296,0.009903483328926627,10.078586802923537,-0.07446479506371423,-0.04315665491086416,0.007407502566976374,-0.03369267333355661,-0.11509719646744357,-0.03009460922875478,-0.11502463168586095,-0.1656677195377332,-0.03373982697915262,0.3918357495217813,112.5,22.5
K6_L1_A,454.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.19765421839791472,-0.07851724895294947,0.0006661422930443637,0.0018401311541623255,-0.0030672632539763475,-0.0012137209790201342,0.10469180194069362,0.008106691293892269,0.04666820777776951,0.01103731760254034,10.089815048847298,0.09668979514936148,0.0293517113001118,0.010210439442270597,0.0506014785219715,0.08660979908419314,0.04686807297495078,0.08355594695101068,0.16072630130782625,-0.031457725378881,0.44294569154726254,112.5,22.5
K6_L1_B,450.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.07645995226463384,-0.005228380873809544,-0.007260350888275927,0.011563122450713396,-0.0015245287513468008,0.004403605645973477,-0.0032084559260046486,-0.06843726514201807,0.006242491714990226,0.004716344554578724,10.000000005514977,-0.010973336002754032,-0.031924223165481935,0.0011395701277488314,0.04529014980824048,0.0412886123418035,0.051025971945169606,0.03412909553706358,0.03914888771009946,0.024061389242333062,0.6744827707070392,112.5,22.5
K6_L1_B,450.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.07164781078254225,-0.021196350994142774,0.01071583931184058,-0.00579136670235088,0.0007188414554373664,-0.00452224921173138,-0.0226493373055271,0.06996091166954994,0.005905033865351221,0.005429142511555478,10.011225523725704,0.00015264153366014062,0.03800796037415908,0.001444628351241445,-0.027350665400453292,-0.054184546862525315,-0.03734766325685651,-0.05291542937190582,-0.02640897101848083,-0.03374278596114238,0.7069218680346007,112.5,22.5
K6_L1_B,451.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.06849170223019585,-0.02479349687985192,0.012374347287962625,-0.0017667839505522511,0.004524411206449242,-0.005874211005492128,-0.041698850926169255,0.0694001982281229,0.005627798342025035,0.006611875467499073,10.022451430195186,-0.013821978582114817,0.04085194800740229,0.001859928747923941,-0.02276878491371568,-0.05854270519029392,-0.030618720995229068,-0.0626501322452338,-0.020818158701482445,-0.031156051896896006,0.74866086339471,112.5,22.5
K6_L1_B,451.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.06401087233633496,-0.009707549788397711,-0.012988119774780833,0.0001740318116777055,-0.00842031601241005,0.005597572990061468,0.04204334957579251,-0.07670730607292796,0.004491570124235037,0.0077570890791980335,10.0336777253947,0.02199112477800139,-0.045436837100605365,0.002548115734708575,0.03911235304314867,0.05009109702527002,0.043680156805519454,0.05551463820365378,0.022386458968131344,0.00602028579967058,0.808697469120981,112.5,22.5
K6_L1_B,452.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.05402557664495712,0.013612476653255825,-0.009414377271242549,0.005233932763947206,0.004400352262858082,0.013327733148808585,0.004524010040360419,-0.0944357994251042,0.0033174827846780683,0.009141759430792127,10.044904409795663,-0.017399968821472385,-0.059709836175532965,0.0038680234510971964,0.03529689294119653,0.039025157239399186,0.049111622475297156,0.04711895762426056,0.01405747351952789,0.02981691237202045,0.8653173743763921,112.5,22.5
K6_L1_B,452.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.034567394570471366,0.12264515131235437,0.0030539746223967796,-0.009148538908483697,-0.010720895775460195,0.00130797915351971,0.08246808123166338,0.06169719530850526,0.01684038174329626,0.010727845166218528,10.056131483869633,0.0438272764997258,0.01905642300608377,0.0022839774231702163,-0.08562956514106479,0.028904320089512006,-0.09940443553892175,0.03936083815151542,-0.04435063401751148,0.05660902302483145,0.6323276554408644,112.5,22.5
