geometry_id,model,rows,order_profile_mae,order_profile_rmse,eta_plus1_mae,eta_0_mae,eta_minus1_mae,R_mae,T_mae,negative_power_rate,energy_residual_mae,bookkeeping_max,ranking_spearman,worst_geometry_mae,worst_geometry,ps_delta_mae
K6X_D110_D125_D135_D150_D175_D190,M5_CNN,22,0.021423298196078664,0.05128530471864505,0.09059010019920875,0.01794589269340357,0.009716148484400942,0.0578394225769929,0.06922889759063586,0.0,0.023226217779500225,0.0,nan,0.021423298196078664,K6X_D110_D125_D135_D150_D175_D190,0.16100553580630586
K6X_D110_D125_D135_D150_D175_D190,M5_Direct,22,0.018646497847047167,0.04669715725333196,0.06640949680481702,0.02102374716881776,0.0063940128437946575,0.048454912674516695,0.0655298562147172,0.0,0.03254473722619458,0.0,nan,0.01864649784704717,K6X_D110_D125_D135_D150_D175_D190,0.11219296711927247
K6X_D110_D125_D135_D150_D175_D190,LF,22,0.03373226178707473,0.08705760021034034,0.1846813675863565,0.015514075137983396,0.005573384256800487,nan,0.13864144922170046,0.0,nan,0.0,nan,0.03373226178707474,K6X_D110_D125_D135_D150_D175_D190,0.1656411051628182
K6X_D120_D125_D180_D185_D190_D195,M5_CNN,22,0.06105973650397175,0.08310913945810339,0.08623766423959942,0.16253141086269246,0.09688024505915127,0.06763202999525597,0.21390240191662757,0.0,0.14892656190788717,0.0,nan,0.06105973650397174,K6X_D120_D125_D180_D185_D190_D195,0.1724753284791988
K6X_D120_D125_D180_D185_D190_D195,M5_Direct,22,0.09410467533771909,0.13804542196449687,0.2878798573789942,0.14635066257341076,0.11731568918650105,0.0665462526175559,0.08097236847524326,0.0,0.032278394670852736,0.0,nan,0.09410467533771909,K6X_D120_D125_D180_D185_D190_D195,0.13227201081504056
K6X_D120_D125_D180_D185_D190_D195,LF,22,0.027297120878768746,0.053868889055870846,0.10253674943661538,0.030786156203682268,0.006526795449097933,nan,0.17416303949407264,0.0,nan,0.0,nan,0.027297120878768746,K6X_D120_D125_D180_D185_D190_D195,0.17051380644909092
K6X_D120_D145_D200_D215_D220_D230,M5_CNN,22,0.05873672561980267,0.08581676101307627,0.06600485396625631,0.11116174153451991,0.010392021305633064,0.08055869926555247,0.1585416517716715,0.0,0.2137199685818511,0.0,nan,0.05873672561980267,K6X_D120_D145_D200_D215_D220_D230,0.10577613570864872
K6X_D120_D145_D200_D215_D220_D230,M5_Direct,22,0.06988882801751078,0.09932554284537651,0.06759874711781386,0.14453888294194092,0.01144882663085619,0.12363468956950814,0.19277714551952466,0.0,0.31688709904066586,0.0,nan,0.06988882801751077,K6X_D120_D145_D200_D215_D220_D230,0.09445758596905672
K6X_D120_D145_D200_D215_D220_D230,LF,22,0.07451680346832967,0.10830227297420277,0.07368519840959226,0.10702804790400688,0.009332550089504227,nan,0.3455385577146475,0.0,nan,0.0,nan,0.07451680346832969,K6X_D120_D145_D200_D215_D220_D230,0.1099271058985091
K6X_D140_D160_D165_D170_D180_D190,M5_CNN,22,0.045374774521836234,0.0755563646398474,0.12898502207899107,0.10874414673875941,0.008318303988838054,0.10787290696826668,0.08968045174326458,0.0,0.19657309534059927,0.0,nan,0.04537477452183623,K6X_D140_D160_D165_D170_D180_D190,0.21364299447069654
K6X_D140_D160_D165_D170_D180_D190,M5_Direct,22,0.10332798654913708,0.18356109013248353,0.3608754861635243,0.2206156981102591,0.013267362605182702,0.135702117697148,0.0626656420401518,0.0,0.13756233704208914,0.0,nan,0.10332798654913708,K6X_D140_D160_D165_D170_D180_D190,0.30614038646540664
K6X_D140_D160_D165_D170_D180_D190,LF,22,0.07859126194206577,0.10977604186248906,0.12114530250669762,0.14461160286240962,0.009026889028370587,nan,0.3033310769387344,0.0,nan,0.0,nan,0.07859126194206575,K6X_D140_D160_D165_D170_D180_D190,0.1874648720657273
