output,polarization,wavelength_nm,n,mean_bias,std,mae,p90_abs,max_abs
eta_m-3,p,445,13,-0.032028835354330265,0.047232704175647976,0.03404305583308562,0.09162023966474157,0.15617518688819945
eta_m-3,p,446,13,-0.0313908254931411,0.04787275855476798,0.0340527463734139,0.08597064432096724,0.1587238429483574
eta_m-3,p,447,13,-0.026127558727741702,0.03910899830519922,0.0292758193277402,0.08456139858342057,0.10376556384203686
eta_m-3,p,448,13,-0.023309866706945667,0.04393739102748447,0.027357207389353717,0.08276294926242725,0.1427663263100858
eta_m-3,p,449,13,-0.02193241977155261,0.04246160760058412,0.025981241586778153,0.09564644222208807,0.12304129860234661
eta_m-3,p,450,13,-0.020161454210844084,0.04404344827122416,0.026551166352126628,0.09445219956010661,0.1275209965358806
eta_m-3,p,451,13,-0.0141401626504113,0.03192241501001562,0.019674094409004503,0.07270480324409669,0.08573730892454262
eta_m-3,p,452,13,-0.0068274607967328685,0.020078611167365167,0.014015132922322914,0.03871771536926372,0.05118824868669131
eta_m-3,p,453,13,-0.003751298449688012,0.006212129923276173,0.005170350721642429,0.012700007673364962,0.018574574406205618
eta_m-3,p,454,13,-0.004490450009047504,0.016039386809923683,0.011013691221961719,0.026316995886622237,0.04463273174264523
eta_m-3,p,455,13,-0.011629383101913906,0.03605367817153357,0.020002678765707476,0.05232122376639347,0.11815191585048614
eta_m-3,p,all,143,-0.017799065024759003,0.03789863331265654,0.022467016809376114,0.08307380476206218,0.1587238429483574
eta_m-3,s,445,13,-0.02597687003355711,0.04127020394663121,0.028515359191150835,0.08260430589182799,0.12768835750479945
eta_m-3,s,446,13,-0.028628131324268488,0.04388876429504542,0.03225472107329835,0.08462220093560878,0.13707382563695739
eta_m-3,s,447,13,-0.027139832215968242,0.03831902657690791,0.030074550050734044,0.0898719753017717,0.09499980846089122
eta_m-3,s,448,13,-0.02624245259350429,0.04487580804283937,0.028337030496900454,0.09980256882838924,0.13415052794526577
eta_m-3,s,449,13,-0.023093423600435682,0.039998074000726365,0.024478004674640792,0.07890049651343449,0.1266106556553585
eta_m-3,s,450,13,-0.01929110114436024,0.04005222196194264,0.020476322739040063,0.055394002478594134,0.14472903260518058
eta_m-3,s,451,13,-0.016262228639565147,0.027935266668199614,0.01776844213814842,0.04797581228061484,0.09813590358819323
eta_m-3,s,452,13,-0.010885282171080563,0.015690301055096147,0.012813846939145106,0.025703407608440955,0.053232415053949655
eta_m-3,s,453,13,-0.005110288407832627,0.00851104549266182,0.00759395106460986,0.01617396961748482,0.02125899646725562
eta_m-3,s,454,13,-0.00565547212677058,0.016104860316476406,0.011373428448179079,0.019182566892721162,0.048958785442945234
eta_m-3,s,455,13,-0.01271719037664114,0.03642444067781309,0.019290365844804577,0.04609405364051992,0.12538416531197613
eta_m-3,s,all,143,-0.018272933875816737,0.0353626748937505,0.0211796384236956,0.07727545997043504,0.14472903260518058
eta_m-3,all,445,26,-0.02900285269394369,0.04445487160966011,0.031279207512118226,0.09102570220787976,0.15617518688819945
eta_m-3,all,446,26,-0.030009478408704795,0.045944754230077926,0.03315373372335613,0.08848816862626888,0.1587238429483574
eta_m-3,all,447,26,-0.02663369547185497,0.03871933557697842,0.029675184689237126,0.08927459401976404,0.10376556384203686
eta_m-3,all,448,26,-0.02477615965022498,0.04443327867595897,0.027847118943127094,0.09794205992684037,0.1427663263100858
eta_m-3,all,449,26,-0.022512921685994145,0.04125232119977557,0.025229623130709474,0.09456754011805257,0.1266106556553585
eta_m-3,all,450,26,-0.019726277677602162,0.04209741427296271,0.023513744545583342,0.08664729866750534,0.14472903260518058
eta_m-3,all,451,26,-0.015201195644988223,0.030013924151352293,0.01872126827357646,0.06841437840484679,0.09813590358819323
eta_m-3,all,452,26,-0.008856371483906715,0.018132417527219707,0.013414489930734009,0.03559044584593479,0.053232415053949655
eta_m-3,all,453,26,-0.0044307934287603195,0.007481707038336614,0.006382150893126145,0.016139393839579946,0.02125899646725562
eta_m-3,all,454,26,-0.005072961067909042,0.01608270955590137,0.0111935598350704,0.024232318111011696,0.048958785442945234
eta_m-3,all,455,26,-0.012173286739277523,0.036243614959889946,0.019646522305256025,0.05664353127867358,0.12538416531197613
eta_m-3,all,all,286,-0.018035999450287866,0.036653359044242405,0.021823327616535857,0.08065998221930751,0.1587238429483574
eta_m-2,p,445,13,-0.010105383635709566,0.03128203955060944,0.022361264292705386,0.051713729588626856,0.08728714483015089
eta_m-2,p,446,13,-0.008860151193536232,0.02617023192698284,0.019370348838104588,0.04702135464170823,0.06558021478035915
eta_m-2,p,447,13,-0.012587821232190209,0.02559827683675723,0.016279877830020086,0.028858080620266152,0.09132507447155994
eta_m-2,p,448,13,-0.011206278868123483,0.015600813693945436,0.014455217611826134,0.025924684500923438,0.04713287588868463
eta_m-2,p,449,13,-0.007765499124789072,0.017560306994928762,0.013656805524271788,0.03483305991021819,0.04086599867900165
eta_m-2,p,450,13,-0.005068916558906127,0.01981452897341569,0.016106047928209584,0.03171191386795887,0.03978446906668188
eta_m-2,p,451,13,-0.0055974734406911125,0.017982631613178954,0.01454095859274004,0.030892096947570172,0.033440563804813556
eta_m-2,p,452,13,-0.004875558394471028,0.01846643403298182,0.014201273203263079,0.03100603108965005,0.03440870188664816
eta_m-2,p,453,13,-0.007436113093494566,0.022424675522142126,0.016728910709388447,0.03939438740454555,0.05616826065518827
eta_m-2,p,454,13,-0.011560231202042252,0.021274686399041943,0.016141304844814405,0.033614784636966745,0.06610744783261971
eta_m-2,p,455,13,-0.023833631619024857,0.037012147280885484,0.028640172822032517,0.0570521268939024,0.12478060344535652
eta_m-2,p,all,143,-0.009899732578452593,0.024378689257064327,0.01749838019976146,0.03948107969794726,0.12478060344535652
eta_m-2,s,445,13,-0.01483420365807987,0.025949288164689065,0.018674333645426512,0.04332235048683027,0.08501054734345088
eta_m-2,s,446,13,-0.01377109171186431,0.02539257967313046,0.01985025661565387,0.055366044066775644,0.06606807406390014
eta_m-2,s,447,13,-0.017721548308261822,0.029461626275297432,0.02352550224172408,0.048655807807025074,0.09199025720664393
eta_m-2,s,448,13,-0.011552203013439703,0.01896260842120674,0.017730386880599955,0.0344868764227066,0.04166785584442346
eta_m-2,s,449,13,-0.007632189644905049,0.018461592225897976,0.015880417544072243,0.029996481286875754,0.03440987120955801
eta_m-2,s,450,13,-0.004675216362083627,0.01766739480439481,0.0140359836582216,0.030128878772424927,0.030794961514659772
eta_m-2,s,451,13,-0.004993484746080363,0.018034521710830243,0.014655138565667879,0.028255680628923186,0.03296548571322259
eta_m-2,s,452,13,-0.0037485729528777844,0.021125117238432637,0.01542938309220825,0.03924669129393123,0.04985862801013697
eta_m-2,s,453,13,0.0007154375359105863,0.028054834293551975,0.019915138737646085,0.0465782872255002,0.06806615911005827
eta_m-2,s,454,13,-0.0029147568175659664,0.02796260898061503,0.020878114210576997,0.03729617281913803,0.07334587797105971
eta_m-2,s,455,13,-0.015986055682284922,0.044162093555797775,0.028786636727733135,0.061535899440318405,0.1415730712432365
eta_m-2,s,all,143,-0.008828535032866621,0.02675300543650164,0.019032844719957327,0.04141090697060321,0.1415730712432365
eta_m-2,all,445,26,-0.012469793646894722,0.028836716388156526,0.02051779896906595,0.05080377061899678,0.08728714483015089
eta_m-2,all,446,26,-0.011315621452700273,0.0259009923550781,0.01961030272687923,0.055439738873313535,0.06606807406390014
eta_m-2,all,447,26,-0.015154684770226017,0.027716752845908493,0.01990269003587208,0.04394823754412207,0.09199025720664393
eta_m-2,all,448,26,-0.011379240940781592,0.01736412591820234,0.01609280224621304,0.03264560928294836,0.04713287588868463
eta_m-2,all,449,26,-0.007698844384847061,0.018016709674357777,0.014768611534172015,0.032276798395201145,0.04086599867900165
eta_m-2,all,450,26,-0.004872066460494878,0.01877271820402117,0.01507101579321559,0.03047191979339582,0.03978446906668188
eta_m-2,all,451,26,-0.005295479093385737,0.01801112731404283,0.014598048579203956,0.03086066132469435,0.033440563804813556
eta_m-2,all,452,26,-0.0043120656736744065,0.019848360289010956,0.014815328147735665,0.0329160904645558,0.04985862801013697
eta_m-2,all,453,26,-0.00336033777879199,0.02572123333302563,0.01832202472351727,0.04460588908574467,0.06806615911005827
eta_m-2,all,454,26,-0.007237494009804109,0.025217968752921698,0.018509709527695702,0.037133636786315295,0.07334587797105971
eta_m-2,all,455,26,-0.019909843650654888,0.04093276058131459,0.028713404774882823,0.06230365933462352,0.1415730712432365
eta_m-2,all,all,286,-0.009364133805659607,0.025598999217438412,0.01826561245985939,0.040083790271002076,0.1415730712432365
eta_m-1,p,445,13,-0.008922237370512634,0.02788572016095561,0.017315451480581303,0.04072438151389428,0.08694405892432873
eta_m-1,p,446,13,-0.007831100013335741,0.021993751708510506,0.0133203057302364,0.03827875386973773,0.06725444952653638
eta_m-1,p,447,13,-0.00045261042654632625,0.012537832659616983,0.008209443065473807,0.01218355311663457,0.0390127781302547
eta_m-1,p,448,13,0.0012705729515809575,0.004796762533825438,0.004324794316568614,0.007767274730332936,0.009141673736953695
eta_m-1,p,449,13,0.00028155040830812644,0.009520098068088961,0.0063935354424793835,0.01360555996850242,0.02749144125170802
eta_m-1,p,450,13,0.003134786779868014,0.013778938302585378,0.00972474653864358,0.022413435145459914,0.03601686124543335
eta_m-1,p,451,13,0.00517927421454362,0.018966077463892186,0.01157900209360879,0.0333165528117502,0.05512256654384265
eta_m-1,p,452,13,0.0014050980082590387,0.008287063660262526,0.006342653792901104,0.011062749270573402,0.02112213118891159
eta_m-1,p,453,13,-0.014856676877351958,0.03745147669423985,0.02007948593714167,0.05900601001747657,0.12499066385851049
eta_m-1,p,454,13,-0.020832782974275148,0.04797898910649511,0.025078236498036123,0.08285192446022055,0.15764368807398682
eta_m-1,p,455,13,-0.019699404616872328,0.04179737757235094,0.0251861369654559,0.09574542429249566,0.11661504467524134
eta_m-1,p,all,143,-0.005574866356030398,0.027772484150301657,0.013413981078284242,0.029413970013164283,0.15764368807398682
eta_m-1,s,445,13,-0.007220287520959787,0.027872693312403368,0.02036729106494944,0.05054639807577414,0.06514395962190267
eta_m-1,s,446,13,-0.0038140001337334363,0.022708582597011716,0.0158926632325655,0.04355288349254182,0.05638260142904972
eta_m-1,s,447,13,0.002303394580177518,0.02316352905508578,0.01700998425513103,0.043826474344083675,0.0509146903147547
eta_m-1,s,448,13,0.004697156759977111,0.01529343136828526,0.012362874214241933,0.027585875714671047,0.03830119608371586
eta_m-1,s,449,13,0.0035569204485973558,0.011816234426207555,0.009176769194555432,0.014230610049277937,0.034007616807092834
eta_m-1,s,450,13,-1.766542143237048e-05,0.009332857807803137,0.007411182253376252,0.011296502436399338,0.024143139933692687
eta_m-1,s,451,13,-0.0016455794777534385,0.010167083455489792,0.008345525093216134,0.018018431568555465,0.01999103811054265
eta_m-1,s,452,13,-0.004675014290810191,0.016316673471058484,0.012921285746102414,0.02550724103253174,0.04394016433846261
eta_m-1,s,453,13,-0.015840160033466496,0.043278717440609,0.02263545368802194,0.054261053666366445,0.1508550539215105
eta_m-1,s,454,13,-0.01884803094725899,0.04597410336343073,0.02488693103795915,0.06602721290724813,0.15831548816298682
eta_m-1,s,455,13,-0.013790476453370025,0.030312081499323264,0.019130015360964363,0.06671339535754237,0.08505978581562083
eta_m-1,s,all,143,-0.0050267038627302505,0.027327103479900014,0.015467270467371235,0.03886411428731832,0.15831548816298682
eta_m-1,all,445,26,-0.008071262445736211,0.02789219190049088,0.018841371272765372,0.04842506812463224,0.08694405892432873
eta_m-1,all,446,26,-0.005822550073534589,0.02244407921370648,0.014606484481400952,0.04690675046781087,0.06725444952653638
eta_m-1,all,447,26,0.0009253920768155956,0.01867543985941034,0.01260971366030242,0.03900881098423682,0.0509146903147547
eta_m-1,all,448,26,0.0029838648557790337,0.011462301516718714,0.008343834265405272,0.01380895164916705,0.03830119608371586
eta_m-1,all,449,26,0.0019192354284527408,0.010854024315698207,0.007785152318517407,0.014649806626423312,0.034007616807092834
eta_m-1,all,450,26,0.0015585606792178212,0.011872875663626485,0.008567964396009917,0.02021186793846074,0.03601686124543335
eta_m-1,all,451,26,0.0017668473683950911,0.015594405957231643,0.009962263593412464,0.019468260527072415,0.05512256654384265
eta_m-1,all,452,26,-0.001634958141275576,0.013292726207498483,0.009631969769501758,0.01931656211087447,0.04394016433846261
eta_m-1,all,453,26,-0.015348418455409225,0.040473102855121235,0.021357469812581804,0.06589164365591436,0.1508550539215105
eta_m-1,all,454,26,-0.019840406960767068,0.04699771907261544,0.024982583767997637,0.0886407744287257,0.15831548816298682
eta_m-1,all,455,26,-0.01674494053512118,0.03662854605883229,0.02215807616321013,0.08008156371193109,0.11661504467524134
eta_m-1,all,all,286,-0.005300785109380324,0.02755205710595355,0.01444062577282774,0.03696747849013235,0.15831548816298682
eta_m+0,p,445,13,-0.004542548970394886,0.08811204054521674,0.06082479786774123,0.15741264113468773,0.20678310904523345
eta_m+0,p,446,13,-0.009620207568210656,0.07963181769373336,0.055640315977322226,0.15838582340648624,0.16301653219332002
eta_m+0,p,447,13,-0.04338105483816057,0.08138436462698728,0.05934053980663028,0.1666632642325335,0.23813575491266942
eta_m+0,p,448,13,-0.08498939768012828,0.12318255986083214,0.09262573535798323,0.2106591857618584,0.4180139015625005
eta_m+0,p,449,13,-0.08662683243801425,0.14208145881995696,0.1057836751923774,0.23104959135813374,0.46565276124798927
eta_m+0,p,450,13,-0.09518581871805315,0.14959382120403247,0.1055241855830365,0.24540496223765373,0.4966057623816338
eta_m+0,p,451,13,-0.09166980058934171,0.14101748985874646,0.097104134842437,0.19836329745898243,0.5077387440420718
eta_m+0,p,452,13,-0.11907831355647971,0.19237838959255718,0.12233520289299724,0.4197967844221106,0.615009891654845
eta_m+0,p,453,13,-0.07407951776433606,0.12770119287538292,0.07749544985826631,0.27137107516024844,0.4072329127285681
eta_m+0,p,454,13,-0.06100423609697193,0.13176460254442418,0.0729622845479103,0.20331822857718407,0.4540855450614724
eta_m+0,p,455,13,-0.030509366949331228,0.11965367094226681,0.08083304875031921,0.17144088225079201,0.33333929689748926
eta_m+0,p,all,143,-0.06369882683358384,0.13390045859614533,0.08458812460700191,0.23074043733455468,0.615009891654845
eta_m+0,s,445,13,-0.02442637948709081,0.0812559640612048,0.05613978893688159,0.14315820511389962,0.18802467402169992
eta_m+0,s,446,13,0.001549915653193258,0.06460526586498853,0.04312098443249912,0.0985031015050302,0.1697029710988664
eta_m+0,s,447,13,-0.008726938143569719,0.048863982287666925,0.03655689492134213,0.08278288829571787,0.10168649116366946
eta_m+0,s,448,13,-0.03640518181714574,0.08282726227330249,0.05828375056115663,0.1198498473481873,0.25398592385150054
eta_m+0,s,449,13,-0.0336109420967354,0.08123111709161385,0.061238224799965976,0.15967323279945686,0.16457659782053646
eta_m+0,s,450,13,-0.020027697531376915,0.07999865288369118,0.0554959722014798,0.11146405626197313,0.21460651470986986
eta_m+0,s,451,13,-0.01274011818358705,0.06170679274675148,0.03992401292966176,0.10951433273898253,0.16359710571711306
eta_m+0,s,452,13,-0.02205582877812125,0.07449677523674386,0.04343882709832695,0.06429584519823765,0.25334592724184496
eta_m+0,s,453,13,-0.05871391049764447,0.17023706030733812,0.08431370367357119,0.1419449932542506,0.6150347256758999
eta_m+0,s,454,13,-0.04301901686052985,0.12835505793091717,0.07565562962329268,0.18928233211464848,0.40729437821498
eta_m+0,s,455,13,-0.006254851786759843,0.07225062598285069,0.04929467019323586,0.11636785541563936,0.16513613362800217
eta_m+0,s,all,143,-0.024039177229942525,0.09352516650663814,0.054860223579219436,0.14315820511389957,0.6150347256758999
eta_m+0,all,445,26,-0.014484464228742845,0.08533447938133235,0.05848229340231141,0.15561769048247595,0.20678310904523345
eta_m+0,all,446,26,-0.0040351459575086995,0.07272362956111485,0.04938065020491066,0.15478748185747554,0.1697029710988664
eta_m+0,all,447,26,-0.026053996490865136,0.06932372419557754,0.047948717363986204,0.10820027776183624,0.23813575491266942
eta_m+0,all,448,26,-0.060697289748637015,0.10773697472332415,0.07545474295956993,0.19588617682537024,0.4180139015625005
eta_m+0,all,449,26,-0.06011888726737485,0.11872442385351437,0.0835109499961717,0.18694557846623538,0.46565276124798927
eta_m+0,all,450,26,-0.057606758124715045,0.1257029581906983,0.08051007889225814,0.2245319070832366,0.4966057623816338
eta_m+0,all,451,26,-0.05220495938646438,0.11577695819870387,0.06851407388604938,0.1710580903294741,0.5077387440420718
eta_m+0,all,452,26,-0.07056707116730047,0.1537301134768056,0.0828870149956621,0.22266902361311694,0.615009891654845
