model,order,eta_plus1,ranking,worst,negative,energy,ps,paired_geometry_count,paired_geometry_improvement_count,promotion_pass
LF_global_output_bias,True,True,True,True,True,True,False,True,12,False
LF_wavelength_polarization_affine,False,True,True,False,True,True,False,False,7,False
LF_ridge_residual,True,True,True,False,True,True,False,True,8,False
LF_paired_shared_correction_polarization_contrast,True,True,True,True,True,True,False,False,7,False
corrected_shallow_residual_mlp,False,False,False,False,True,True,False,False,6,False
M5_direct_MLP_frozen,False,False,False,False,True,True,False,False,4,False
M5_ResMLP_frozen,False,False,False,False,True,True,False,False,4,False
M5_CircularCNN_frozen,False,False,False,False,True,False,False,False,6,False
LF_only_frozen,False,False,True,True,True,False,False,False,0,False
