model,variant,order_profile_mae,eta_plus1_mae,R_mae,T_mae,energy_residual_mae,bookkeeping_max,negative_power_rate,energy_violation_rate,projection_fraction
direct_mlp,raw,0.08476329245834313,0.2514108054438455,0.08178340311214263,0.1467585056461689,0.12878561450979908,0.0,0.0,0.1853146853146853,0.1853146853146853
direct_mlp,projected,0.08388569214236848,0.24526283627057704,0.08162752327225731,0.14378502726419953,0.12042034299471631,0.0,0.0,0.0,0.1853146853146853
resmlp,raw,0.0830888771065806,0.26339188894728893,0.09454592110817325,0.10104587275203164,0.08954523445338286,0.0,0.0,0.7027972027972028,0.7027972027972028
resmlp,projected,0.0821895203583897,0.2565529625649188,0.08664812688188435,0.09614142205870252,0.02600157972658214,0.0,0.0,0.0,0.7027972027972028
circular_cnn,raw,0.061685720557285266,0.13345820055421553,0.08062015047511892,0.22143334258847205,0.22068233270029608,0.0,0.0,0.2692307692307692,0.2692307692307692
circular_cnn,projected,0.06086408413059701,0.12794404833605474,0.07617718259992057,0.21895032934391653,0.1934861079879268,0.0,0.0,0.0,0.2692307692307692
LF_global_output_bias,raw,0.036919393042081784,0.08411656139460574,0.09732988003533985,0.09983188451306357,0.06390086848148029,0.0,0.0,1.0,1.0
LF_global_output_bias,projected,0.03381087416060819,0.07141942469988526,0.09396429301669827,0.09496975673440185,8.617815086251215e-17,0.0,0.0,0.0,1.0
LF_ridge_residual,raw,0.041626549552686055,0.08592762003952635,0.07336737072161792,0.08799009164547837,0.04917146447469826,0.0,0.0,0.6923076923076923,0.6923076923076923
LF_ridge_residual,projected,0.04100571377181692,0.07836793144163241,0.07054600662875822,0.07991731987195554,0.00901651316342882,0.0,0.0,0.0,0.6923076923076923
LF_paired_shared_correction_polarization_contrast,raw,0.04132423775323931,0.08953524752169821,0.0675033813203141,0.07738887202448476,0.048316788562351956,0.0,0.0,0.7972027972027972,0.7972027972027972
LF_paired_shared_correction_polarization_contrast,projected,0.04027819082736847,0.08015506252630457,0.06224931086823347,0.07010737632205837,0.006580370886886727,0.0,0.0,0.0,0.7972027972027972
