output_a,output_b,correlation
eta_m-3,eta_m-3,1.0
eta_m-3,eta_m-2,-0.11407682046326635
eta_m-3,eta_m-1,0.09731290033605765
eta_m-3,eta_m+0,-0.24368995347884087
eta_m-3,eta_m+1,-0.006309095464270912
eta_m-3,eta_m+2,0.05346803999138731
eta_m-3,eta_m+3,0.8216202191158647
eta_m-2,eta_m-3,-0.11407682046326635
eta_m-2,eta_m-2,0.9999999999999999
eta_m-2,eta_m-1,-0.03116829961119861
eta_m-2,eta_m+0,-0.03665937832507444
eta_m-2,eta_m+1,-0.23838374420506234
eta_m-2,eta_m+2,0.3505065661410583
eta_m-2,eta_m+3,-0.0422592579294967
eta_m-1,eta_m-3,0.09731290033605765
eta_m-1,eta_m-2,-0.031168299611198613
eta_m-1,eta_m-1,1.0
eta_m-1,eta_m+0,-0.053083141429674484
eta_m-1,eta_m+1,-0.1683459094251605
eta_m-1,eta_m+2,0.09150645098852776
eta_m-1,eta_m+3,-0.02688582433404953
eta_m+0,eta_m-3,-0.2436899534788409
eta_m+0,eta_m-2,-0.03665937832507443
eta_m+0,eta_m-1,-0.053083141429674484
eta_m+0,eta_m+0,1.0
eta_m+0,eta_m+1,-0.43634970715369176
eta_m+0,eta_m+2,0.16278644608492754
eta_m+0,eta_m+3,-0.0886676653415902
eta_m+1,eta_m-3,-0.006309095464270912
eta_m+1,eta_m-2,-0.23838374420506236
eta_m+1,eta_m-1,-0.1683459094251605
eta_m+1,eta_m+0,-0.43634970715369176
eta_m+1,eta_m+1,1.0
eta_m+1,eta_m+2,-0.4997878413737451
eta_m+1,eta_m+3,-0.23098181830491968
eta_m+2,eta_m-3,0.05346803999138731
eta_m+2,eta_m-2,0.3505065661410583
eta_m+2,eta_m-1,0.09150645098852776
eta_m+2,eta_m+0,0.16278644608492754
eta_m+2,eta_m+1,-0.4997878413737451
eta_m+2,eta_m+2,0.9999999999999998
eta_m+2,eta_m+3,0.07290139726918544
eta_m+3,eta_m-3,0.8216202191158648
eta_m+3,eta_m-2,-0.04225925792949671
eta_m+3,eta_m-1,-0.02688582433404953
eta_m+3,eta_m+0,-0.08866766534159021
eta_m+3,eta_m+1,-0.23098181830491968
eta_m+3,eta_m+2,0.07290139726918544
eta_m+3,eta_m+3,1.0
