geometry_id,mean_gap_nm,min_gap_nm,gap_std_nm,diameter_mean_nm,diameter_range_nm,eta_plus1_lf_mean,eta_plus1_residual_mean,eta_plus1_residual_mae,P_S_residual_contrast_mae
K6X_D100_D105_D115_D120_D125_D130,174.16666666666666,162.5,8.122328620674136,115.83333333333333,30.0,0.24069943753155795,0.030651608710942056,0.030651608710942056,0.001976870120999992
K6X_D100_D110_D115_D220_D225_D230,123.33333333333333,62.5,47.536535656505535,166.66666666666666,130.0,0.03217612693763592,0.0022214860622977186,0.024815235989050798,0.025559396291187274
K6X_D100_D115_D130_D145_D155_D185,151.66666666666666,120.0,19.8256287556172,138.33333333333334,85.0,0.9758305712179705,-0.13659494277401588,0.13659494277401588,0.13050199728518183
K6X_D100_D130_D135_D155_D160_D225,139.16666666666666,97.5,24.395468613840745,150.83333333333334,125.0,0.7703041542660106,-0.17330626524269246,0.17330626524269246,0.04893142853990909
K6X_D100_D140_D145_D155_D225_D230,124.16666666666667,62.5,34.840908267278124,165.83333333333334,130.0,0.45573934370821173,-0.11067264826816628,0.11846842618104457,0.15589924954463635
K6X_D100_D200_D205_D210_D215_D220,98.33333333333333,72.5,26.483747636784503,191.66666666666666,120.0,0.06869911233132536,-0.04018901117787444,0.04436394353620144,0.020798286677152725
K6X_D110_D125_D135_D150_D175_D190,142.5,107.5,21.16404183200049,147.5,80.0,0.9863670468330383,-0.1846813675863565,0.1846813675863565,0.1656411051628182
K6X_D120_D125_D180_D185_D190_D195,124.16666666666667,97.5,24.43813049769197,165.83333333333334,75.0,0.45883905345743353,-0.10253674943661538,0.10253674943661538,0.17051380644909092
K6X_D120_D145_D200_D215_D220_D230,101.66666666666667,65.0,31.90698286512774,188.33333333333334,110.0,0.2287492426958951,-0.04211319830124057,0.07368519840959226,0.1099271058985091
K6X_D125_D135_D150_D175_D190_D210,125.83333333333333,90.0,23.3482095435365,164.16666666666666,85.0,0.9832320484248075,-0.20635053389203473,0.20635053389203473,0.07375088045209091
K6X_D130_D145_D155_D180_D195_D230,117.5,77.5,24.62214450449026,172.5,100.0,0.9776941971345381,-0.13723750567935633,0.13723750567935633,0.12269839287254544
K6X_D140_D160_D165_D170_D180_D190,122.5,105.0,10.801234497346433,167.5,50.0,0.19763487035577948,-0.007767140152824931,0.12114530250669762,0.1874648720657273
K6X_D200_D205_D215_D220_D225_D230,74.16666666666667,62.5,8.122328620674137,215.83333333333334,30.0,0.018367477029228627,0.010556063091073329,0.026939250029962666,0.03205698468577791
