geometry_id,lf_eta_plus1_mean,lf_eta_plus1_residual_mean,lf_eta_plus1_residual_mae,true_PS_eta_plus1_contrast,LF_global_output_bias_eta_plus1_mae,LF_global_output_bias_order_mae,LF_wavelength_polarization_affine_eta_plus1_mae,LF_wavelength_polarization_affine_order_mae,LF_ridge_residual_eta_plus1_mae,LF_ridge_residual_order_mae,LF_paired_shared_correction_polarization_contrast_eta_plus1_mae,LF_paired_shared_correction_polarization_contrast_order_mae,corrected_shallow_residual_mlp_eta_plus1_mae,corrected_shallow_residual_mlp_order_mae,M5_direct_MLP_frozen_eta_plus1_mae,M5_direct_MLP_frozen_order_mae,M5_ResMLP_frozen_eta_plus1_mae,M5_ResMLP_frozen_order_mae,M5_CircularCNN_frozen_eta_plus1_mae,M5_CircularCNN_frozen_order_mae,LF_only_frozen_eta_plus1_mae,LF_only_frozen_order_mae
K6X_D100_D105_D115_D120_D125_D130,0.24069943753155795,0.030651608710942056,0.030651608710942056,0.001976870120999992,0.12470759315742588,0.027308574622169172,0.013796229902260744,0.025496145517962296,0.016646436439956804,0.026234915268076576,0.04591645711296224,0.030633828833294,0.12360857150229258,0.07113538961587457,0.5460379407568383,0.17694085019181427,0.47483754648764653,0.15970788439899186,0.054514979833909176,0.09491785289176187,0.030651608710942056,0.015052012145008207
K6X_D100_D110_D115_D220_D225_D230,0.03217612693763592,0.0022214860622977186,0.024815235989050798,0.025559396291187274,0.03439761299993363,0.024721516238498636,0.14867890558817276,0.09086103801944172,0.12646014098482547,0.08299922479973657,0.12432131368013356,0.08092403963623637,0.019613475321230325,0.028063439602911928,0.7684583825684286,0.22127079724729926,0.9121620609090513,0.24085948201677934,0.016923484019950762,0.11182176150393328,0.024815235989050798,0.03336736359715757
K6X_D100_D115_D130_D145_D155_D185,0.9758305712179705,-0.13659494277401588,0.13659494277401588,0.1305019972851818,0.07949832730580432,0.017926088021004292,0.06718148625923027,0.021365423937874963,0.06636682485132966,0.019987708353907088,0.05383145557476916,0.016269753780545352,0.07530873269581771,0.024675316520791014,0.15080061941236977,0.031063197830484102,0.14523173126108535,0.03536495320239454,0.07107482458626681,0.017778070374321456,0.13659494277401588,0.024895104720165234
K6X_D100_D130_D135_D155_D160_D225,0.7703041542660106,-0.17330626524269246,0.17330626524269246,0.04893142853990909,0.09624677029234487,0.03128677609625903,0.17817552827292338,0.05833655149250904,0.1582738302894028,0.04701768538865084,0.13184302141440973,0.04015967361151125,0.18681794463195248,0.06917518401613994,0.3703582283624884,0.0877303211860878,0.3626921435599763,0.08571013700995597,0.2827038373410488,0.0726371071294464,0.17330626524269246,0.04075903513976094
K6X_D100_D140_D145_D155_D225_D230,0.45573934370821173,-0.11067264826816628,0.11846842618104457,0.15589924954463638,0.07896464629871769,0.03852247748766947,0.09482477163400538,0.06252808801449543,0.09482477163400538,0.0464859287241738,0.09870670176312601,0.05189647416462198,0.1490382781687946,0.05852705149391782,0.38145726835090593,0.11769795836055177,0.398135684718639,0.11118980104898765,0.5380843634577821,0.13699308540115515,0.11846842618104457,0.049747275038546514
K6X_D100_D200_D205_D210_D215_D220,0.06869911233132536,-0.04018901117787444,0.04436394353620144,0.020798286677152725,0.025790183561505378,0.04783038868152604,0.06387184586451324,0.10103847702445315,0.10498344364850479,0.08314031231102717,0.09233028974613408,0.05904512624458391,0.0718186134325207,0.06058457099369874,0.032119050846641156,0.04851919046349801,0.019912474411013185,0.062536552000827,0.01960311293584637,0.06972500090102025,0.04436394353620144,0.058014558236379035
K6X_D110_D125_D135_D150_D175_D190,0.9863670468330383,-0.1846813675863565,0.1846813675863565,0.1656411051628182,0.11505395389826643,0.024960975316920975,0.0842886766678659,0.025620061195073675,0.08392525670829389,0.0235720501318366,0.08668211327198883,0.021930997675810266,0.07287527952107622,0.018446025030878648,0.06640949680481702,0.018646497847047167,0.06602747463012881,0.01880821461035156,0.09059010019920875,0.021423298196078664,0.1846813675863565,0.03373226178707473
K6X_D120_D125_D180_D185_D190_D195,0.45883905345743353,-0.10253674943661538,0.10253674943661538,0.1705138064490909,0.08525690322454546,0.021543955733847417,0.08196172465306625,0.04350430943736015,0.08196172465306627,0.03010301096901678,0.047360169099749404,0.027325359055289246,0.09255162333724148,0.033660709557887546,0.2878798573789942,0.09410467533771909,0.2573301433194535,0.08421906157790714,0.08623766423959942,0.06105973650397175,0.10253674943661538,0.027297120878768746
K6X_D120_D145_D200_D215_D220_D230,0.2287492426958951,-0.04211319830124057,0.07368519840959226,0.10992710589850908,0.09674797102727105,0.07398320679007905,0.07593597126847883,0.05979978602028498,0.07828305895153155,0.05387148186657699,0.07545830537528606,0.05331575518488194,0.13037931550305767,0.07026367864386356,0.06759874711781386,0.06988882801751078,0.056321925240337946,0.060054380340622875,0.06600485396625631,0.05873672561980267,0.07368519840959226,0.07451680346832967
K6X_D125_D135_D150_D175_D190_D210,0.9832320484248075,-0.20635053389203473,0.20635053389203473,0.07375088045209091,0.13204472799579905,0.027164489398775728,0.04429558192407567,0.01593748336814888,0.04527946685996693,0.01587269910705035,0.033973450428867874,0.013905924795267033,0.03773905929416281,0.014215769885050902,0.028700822491781564,0.013928200719039812,0.03446737984690422,0.015471439879940303,0.09822697314552392,0.02095044713211842,0.20635053389203473,0.036332746429062764
K6X_D130_D145_D155_D180_D195_D230,0.9776941971345381,-0.13723750567935633,0.13723750567935633,0.12269839287254546,0.07752677393376879,0.01724432774137215,0.09813600397755567,0.021705180238181705,0.0964311952774179,0.020965750964743193,0.12086018408289619,0.024700126638484386,0.1321567699064751,0.027158954457636317,0.1578713111610756,0.029234164325010387,0.13480799485672829,0.03702296383477068,0.2586689101732771,0.053082718535705294,0.13723750567935633,0.024847446200025276
K6X_D140_D160_D165_D170_D180_D190,0.19763487035577948,-0.007767140152824931,0.12114530250669762,0.1874648720657273,0.11835629431419024,0.07321363699586106,0.11510407844168045,0.04147602627645035,0.113132802044739,0.044842880307985146,0.1021293297262286,0.04876483096047198,0.1190920142484153,0.05398598748672579,0.3608754861635243,0.10332798654913708,0.5016766318868962,0.1233824047862567,0.12898502207899107,0.045374774521836234,0.12114530250669762,0.07859126194206577
K6X_D200_D205_D215_D220_D225_D230,0.018367477029228627,0.010556063091073329,0.026939250029962666,0.03205698468577791,0.028923540120301957,0.0542456964230802,0.05067888317362698,0.04540001789876048,0.050490108170864904,0.046051495992174715,0.150545426505546,0.06834320021112839,0.32779887012899545,0.109754765522708,0.04977325935431225,0.08957013388326125,0.06049136518689579,0.04582812767776208,0.023338481227141553,0.037413788533557146,0.026939250029962666,0.06066018137016598
