wavelength_nm,S0,S1,S2,S3,DoLP,DoCP,psi_deg,sourcepower_normalized_S0,sourcepower_normalized_S1,sourcepower_normalized_S2,sourcepower_normalized_S3
400.00000000000006,1.0401976770035755e-14,-4.461815373524252e-15,3.0863221501761775e-17,1.9573362170061892e-17,0.4289494405018422,0.001881696393174565,89.80184028432696,2.8174773210336377,-1.208526408341575,0.008359605924687392,0.005301636912840132
401.0000000000001,1.1132503548559077e-14,-4.990918569180468e-15,7.622577361905868e-17,-6.304538748630709e-18,0.44837179773379365,-0.0005663181440841965,89.56249781252845,3.045614396974925,-1.365408363188258,0.0208537381139937,-0.001724786692890949
402.0000000000001,1.1593907845352975e-14,-4.630339941076119e-15,7.442221488395128e-17,7.583311712190647e-17,0.3994285661399343,0.006540772803563521,89.53958977717362,3.2036026219384452,-1.2794451511569824,0.02056417955989317,0.020954036902999768
403.0000000000001,1.1762061362906782e-14,-4.319834819774739e-15,-9.86375421166109e-19,1.338701334707404e-16,0.3672685253973086,0.011381519730284489,90.00654135517026,3.2825262623388625,-1.2055685485194683,-0.0002752751515745488,0.03736013741998676
404.00000000000006,1.174752353009041e-14,-4.317667595240838e-15,-2.2695545864741813e-17,1.1350302131372943e-16,0.36754361313837436,0.00966186796927879,90.15058442862373,3.3111310363344355,-1.216968252292352,-0.006396916431519583,0.03199171090204457
405.00000000000017,1.1453432793761257e-14,-4.644309595990933e-15,-4.9069443036247944e-17,1.0710090639560869e-16,0.4055176202574323,0.00935098745713574,90.30266795562405,3.260320905572022,-1.3220437872570292,-0.013968050787620433,0.030487219894241416
406.00000000000006,1.1497227135828574e-14,-4.671269854020918e-15,1.1570742043001437e-16,1.6830879058168807e-16,0.40641996685764636,0.014639076761142766,89.29053643931363,3.305231092993311,-1.3429000038764192,0.033263652111694283,0.04838553168364488
407.0000000000001,1.1668856988287378e-14,-4.702502485265315e-15,2.093676827440719e-16,2.5934519492398215e-16,0.4033952066047163,0.022225415495647948,88.72536296287691,3.3877436365253306,-1.3652470748585526,0.06078436265199137,0.07529400991451282
408.00000000000006,1.1862079292043603e-14,-4.9326729012054915e-15,2.935728375628418e-16,2.068839150486468e-16,0.41657125988498134,0.017440779980910478,88.2970017699251,3.477811659709203,-1.4461973240096784,0.08607184392493386,0.0606557479720333
409.0,1.1917648828447987e-14,-4.7870975329146135e-15,3.371701671800546e-16,1.8017202393965053e-16,0.40267647452780136,0.015118084660253744,87.98556671621358,3.528486012969042,-1.4173271029171222,0.09982675576455868,0.05334395026658716
410.00000000000017,1.1860845538879542e-14,-4.345091764078923e-15,3.0151772272314334e-16,1.793223898901033e-16,0.3672200900851706,0.015118853820521413,88.01522680752626,3.5461382346959986,-1.2990891743219288,0.09014732731170964,0.053613545597730655
411.0,1.1721503684537964e-14,-3.894063426106466e-15,2.725381783332651e-16,1.9345428273555326e-16,0.3330280054435988,0.016504220613840024,87.998252207488,3.5387933294490392,-1.1756414575831977,0.08228093540406271,0.0584050258160124
412.0000000000001,1.180187462309557e-14,-3.815270459447825e-15,3.323241483642335e-16,1.3633816205725347e-16,0.3245006885166031,0.011552246266914899,87.51094517236781,3.597861530414147,-1.1631046128307678,0.10131070759618904,0.041563382433603545
413.0000000000001,1.196023934882739e-14,-3.88488087485133e-15,3.5740171454817034e-16,7.119608568220407e-17,0.32618798532961524,0.005952730844737175,87.37184609880956,3.6816683286582976,-1.1958659405050087,0.11001741141486268,0.021915980620096212
414.00000000000006,1.2225159439851346e-14,-3.7858913725784244e-15,2.6084356304174487e-16,8.114742872925073e-17,0.31041449096393137,0.006637739910755508,88.02930771974073,3.799797742694981,-1.1767226073729493,0.08107483480432956,0.025222069129485162
415.0000000000001,1.2665096425800299e-14,-3.7272926839438574e-15,1.256196778073119e-16,1.0558044497375482e-16,0.29446352530015196,0.008336331712301453,89.0348552291431,3.974710220436739,-1.1697430345063156,0.0394234517039725,0.033134502857835486
416.0,1.2392399712289284e-14,-3.824610576562536e-15,6.647678695592226e-17,9.307624479057946e-17,0.30867211750380663,0.007510752312022157,89.50211194601613,3.926750607028518,-1.21189537553984,0.021064343435727585,0.02949285120047385
417.00000000000006,1.2041925872675402e-14,-3.858465803954808e-15,-6.868292524983049e-17,3.383135986490419e-17,0.3204700887764612,0.0028094642188150045,90.50989517327871,3.852518681942115,-1.234421449736771,-0.021973416499417305,0.010823513389232715
418.00000000000006,1.2059234950137254e-14,-3.84126044794852e-15,-6.776707180128293e-17,1.4388617147436432e-18,0.31858224727722295,0.00011931616895209978,90.50535032874129,3.8951973650794964,-1.2407476624595382,-0.021889126516811578,0.0004647600269135991
419.0000000000001,1.1847819972854693e-14,-4.157205058667403e-15,8.633256109882125e-17,9.160356437021742e-17,0.35095919793722585,0.007731680982669915,89.40515557769095,3.863661962998787,-1.3556954017161091,0.028153688463364985,0.029872601722782832
420.00000000000017,1.1499345709617173e-14,-4.3515680021789066e-15,2.0591526174978292e-16,1.4588252688345866e-16,0.3788421811918804,0.01268615889697565,88.64539847391492,3.7859500185979673,-1.4326744646872625,0.06779384747074878,0.04802916351194173
421.00000000000006,1.0735664852863287e-14,-4.374041976697816e-15,2.4216570180506273e-16,1.76706778850557e-16,0.40805488741531615,0.01645978905567529,88.41554766697416,3.5683045405064338,-1.4538376579121506,0.08049068084269272,0.058733540023144244
422.00000000000006,9.813083900813279e-15,-4.035559678102053e-15,2.0566365182212305e-16,1.5409431491860853e-16,0.41177645318036277,0.0157029448108395,88.54128367577822,3.29275865473464,-1.3541231473285777,0.06900998466399567,0.05170600743071217
423.0,8.92941871826436e-15,-3.6545144514772764e-15,1.712547575854116e-16,8.873483511257307e-17,0.40971590246384065,0.009937358512606603,88.65850826368089,3.024748304305593,-1.2379290006365358,0.05801077919565015,0.03005800831028357
424.00000000000006,8.459815974059195e-15,-3.603784936655683e-15,1.9710067240000997e-16,7.556494226666437e-17,0.42662522511498785,0.008932220570562453,88.43472948798033,2.89287005762524,-1.2323295884141827,0.06739941332910614,0.025839753436684355
425.0,8.51242366881894e-15,-3.719801642878834e-15,2.7151398510011017e-16,1.356448429366766e-16,0.43814755165514535,0.015934926198932567,87.91264863058389,2.9384177235271776,-1.2840445331073627,0.09372436535625955,0.04682346956604101
426.00000000000006,8.87033383214634e-15,-3.7938302136568566e-15,3.4239371769902754e-16,2.3918312286647194e-16,0.42943698542067565,0.02696438796921775,87.42150940162452,3.090885698946816,-1.3219677831208445,0.11930778091009936,0.08334384115490873
427.00000000000017,9.285448030524012e-15,-3.819962305465729e-15,2.913466168075416e-16,2.9913346336001957e-16,0.4125871592531247,0.03221529670692028,87.81926169798285,3.2660208115964706,-1.3436159836501755,0.10247691988083357,0.10521582949655688
428.0,9.503677098371781e-15,-3.77941740384984e-15,3.2307543657235844e-16,3.078001086581923e-16,0.3991298249631374,0.03238747544473351,87.55703519815933,3.3742039709577547,-1.3418516938208902,0.11470533033873041,0.10928194825491659
429.0000000000001,9.491468656784655e-15,-3.9354395404072155e-15,3.912264208550317e-16,3.063107010331605e-16,0.41667290929408196,0.03227221330117386,87.16140776864333,3.401474117843745,-1.4103503075327848,0.14020449235786028,0.10977309826947551
430.00000000000006,9.379176753068901e-15,-4.000658592920698e-15,2.9445946061001845e-16,3.164958612287689e-16,0.4277007006423829,0.03374452465939618,87.89523191987689,3.3926817818393498,-1.4471378331920204,0.10651331921801904,0.1144844340487621
431.0000000000001,9.388028398998538e-15,-4.248260009898894e-15,2.6559458179388676e-16,3.3040361382451693e-16,0.4534023558068638,0.03519414298531122,88.21130664680199,3.427583625144945,-1.5510462715303317,0.09696899080333596,0.12063086819746258
432.0000000000001,9.4584341085853e-15,-4.631912237394591e-15,2.3638243811597096e-16,3.3616798942867194e-16,0.49034966750979336,0.035541611388246235,88.53926673338036,3.485449655029419,-1.7068678308283132,0.08710734545779425,0.12387849715235252
