diameter_nm,T_min,T_max,txx_amplitude_min,cross_pol_max,energy_residual_max,reconstruction_residual_max
100,0.9880930533180492,0.9918942972637813,0.9859643534427598,3.726607732561271e-45,0.00041934851608596384,0.03954576430944334
105,0.9853829847249647,0.9909086882750227,0.9846110237149441,2.4728570501553403e-18,0.00036609147574070966,0.039437851142717584
110,0.9806083753675937,0.9875073184697476,0.9822220499496862,1.8723422475496396e-18,0.00034717380265340825,0.03924798950139441
115,0.9744033177805541,0.9813784627579893,0.9791101314735071,6.7725281409057534e-18,0.0006739161099409106,0.03899840032066426
120,0.9703324643336085,0.9741442037053225,0.9770640256418447,1.141565613411562e-17,0.001139784225896813,0.03883300665709288
125,0.968227111496438,0.9703522586162237,0.9764533045398273,2.692928558062488e-18,0.002476447830662906,0.038798246290981275
130,0.9647657522628914,0.969037313382617,0.9743483066483937,6.824337284128573e-18,0.00403625625135158,0.03866723350377921
135,0.740563701389728,0.9575666247988123,0.8535814735665924,1.5864819608134946e-17,0.0026247598566084412,0.0367667117703081
140,0.0023087020082893832,0.9958074337864945,0.047693084040245755,7.979123477115955e-17,0.006298273375148766,0.03985704668165824
145,0.9923204509140618,0.9991136989680334,0.9880710934925969,5.782481790390941e-18,0.0005828356251022975,0.039715251463504075
150,0.9798742723327525,0.9938325660681854,0.9818564171900624,1.9320462425484722e-17,0.000827267909888723,0.039214599982044906
155,0.9550254935175246,0.9830451660093685,0.9693273127708049,3.4381589427718918e-18,0.00101596131068845,0.038311047038531054
160,0.27601373934058254,0.9688835011383033,0.5211152666144336,1.2986863973483814e-44,0.006551589848717065,0.03712551144176224
165,0.04470192863885763,0.9349395834336913,0.20981399557610694,1.788867439540381e-17,0.006542763069977919,0.03742232584034555
170,0.35826165904547724,0.9828053582889918,0.5942902210698634,1.2177496809505904e-17,0.002249303294361349,0.039335212523741836
175,0.9423889795206218,0.9944145343836329,0.9638598632941128,4.886800851052231e-18,0.0011695641546208072,0.0397918241518882
185,0.9873158783178767,0.9971381563592578,0.9855750536049752,4.2020170888542415e-18,0.0007169890046446713,0.039517493471968757
190,0.967938195649024,0.996357305463328,0.9758533401429503,1.6067033014536987e-17,0.0015806371786746334,0.03878778389067772
195,0.9099901049032143,0.9901477667925745,0.9461967305120972,3.510100235576428e-18,0.002219019381006798,0.037960962800296705
200,0.033118709732740344,0.9694373149375606,0.1805446946384709,1.764035889334396e-17,0.008219536701159602,0.03711001271680536
205,0.052460773152830605,0.9791237933956343,0.22741282276764183,6.765797829105969e-17,0.03637333671814813,0.03779651089192193
210,0.7140700789498222,0.9595581802099316,0.8381769009637225,1.0794881493373655e-17,0.005517769821473506,0.03673456532799979
215,0.011234345734098681,0.8836233224079514,0.10512878557480279,1.908605595540669e-17,0.005087031145900922,0.03384116526674208
220,0.004726015966442348,0.8152771970815087,0.06825097592650965,1.1096335860979329e-17,0.004643634706058664,0.03263907016458156
225,0.6641677521814167,0.8670465669438605,0.8091643419676767,1.5988614582925697e-17,0.002776918859766525,0.03468772683703358
230,0.8141019740863931,0.8581012784172664,0.895860394993197,1.3797026048090788e-44,0.001761609880431364,0.034252509401415
