candidate_id,refinement_family,H_nm,nearest_bin_mode,Tx_mean,ratio_median,matrix_error,phase_err_to_120_at_452,nearest_bin_stability_count,b2c_style_class,next_use,runtime_sec
LPML1B2D_B2D_0283_B01,phase_tuning_scout,650.000000,120,0.962714,51.763038,0.160828,5.587859,1,strong_B120_refined_seed,strong_B120_refined_seed,402.267508
LPML1B2D_B2D_0283_A01,reassigned_B120_cleanup,650.000000,120,0.934846,43.642480,0.152362,11.709756,1,strong_B120_refined_seed,strong_B120_refined_seed,414.869124
LPML1B2D_B2D_0283_A02,reassigned_B120_cleanup,650.000000,120,0.888478,39.440819,0.164258,12.893512,1,strong_B120_refined_seed,usable_B120_refined_seed,409.917763
LPML1B2D_B2D_0283_A05,reassigned_B120_cleanup,650.000000,120,0.908652,33.740962,0.177334,12.938249,1,strong_B120_refined_seed,usable_B120_refined_seed,405.741066
LPML1B2D_B2D_0283_A04,reassigned_B120_cleanup,650.000000,120,0.919513,36.222012,0.169585,12.997340,1,strong_B120_refined_seed,usable_B120_refined_seed,411.932575
LPML1B2D_B2D_0283_A03,reassigned_B120_cleanup,650.000000,120,0.911735,48.884536,0.148975,14.377977,1,strong_B120_refined_seed,usable_B120_refined_seed,405.953948
LPML1B2D_B2D_0283_C02,fabrication_friendly_H_check,600.000000,60,0.741935,1.846774,0.824186,33.959032,1,failed_or_negative,negative_sample,390.621554
LPML1B2D_B2D_0283_C05,fabrication_friendly_H_check,500.000000,0,0.268998,0.274381,1.934412,119.539197,1,failed_or_negative,negative_sample,371.360572
