group_id,candidate_id,parent_id,refinement_family,intended_reassigned_bin,height_nm,wavelength_nm,phase_bin_deg,txx_re,txx_im,txy_re,txy_im,tyx_re,tyx_im,tyy_re,tyy_im,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,conversion_to_leakage_ratio,selected_phase_deg,nearest_bin_deg,phase_error_deg,matrix_error,pass_level,result_csv,status,error_message
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,450.5,120,-0.667072,0.623205,0.043734,-0.095349,0.018124,0.043734,0.107321,-0.119902,0.833368,0.002241,0.011004,0.025894,22.585552,136.947201,120,16.947201,0.216715,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,451,120,-0.680577,0.640389,0.038645,-0.090949,0.028949,0.037669,0.082582,-0.126173,0.873283,0.002257,0.009765,0.022739,26.866433,136.742576,120,16.742576,0.199513,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,451.5,120,-0.672211,0.660697,0.028914,-0.074184,0.025925,0.040548,0.057696,-0.126100,0.888389,0.002316,0.006339,0.019230,34.744373,135.494926,120,15.494926,0.177169,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,452,120,-0.644256,0.693459,0.013542,-0.066327,0.011536,0.036387,0.040748,-0.128348,0.895951,0.001457,0.004583,0.018134,39.440819,132.893512,120,12.893512,0.164258,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,452.5,120,-0.629771,0.724882,0.003703,-0.065141,0.003790,0.025559,0.026348,-0.123836,0.922065,0.000668,0.004257,0.016030,45.451743,130.983834,120,10.983834,0.150750,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,453,120,-0.617657,0.745804,0.000418,-0.053196,0.004860,0.027824,0.008816,-0.105386,0.937723,0.000798,0.002830,0.011184,66.913611,129.630752,120,9.630752,0.125680,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,453.5,120,-0.574920,0.770955,-0.008041,-0.038122,-0.007606,0.045302,-0.008398,-0.092531,0.924906,0.002110,0.001518,0.008632,91.119673,126.712791,120,6.712791,0.115135,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,454,120,-0.529725,0.806933,-0.020061,-0.034702,-0.034668,0.050615,-0.017897,-0.094654,0.931749,0.003764,0.001607,0.009280,85.588153,123.283598,120,3.283598,0.125393,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,450,120,-0.686988,0.601465,0.052888,-0.107585,0.017037,0.063406,0.079275,-0.061293,0.833712,0.004311,0.014372,0.010041,34.150172,138.797542,120,18.797542,0.185615,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,450.5,120,-0.698898,0.615811,0.036901,-0.093408,0.010195,0.057813,0.024785,-0.097190,0.867683,0.003446,0.010087,0.010060,43.067524,138.616165,120,18.616165,0.164897,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
