candidate_id,near_normal_failure_flag,broad_fwhm_failure_flag,thirty_forty_lobe_failure_flag,fortyfive_fiftyfive_lobe_failure_flag,broad_40_60_failure_flag,source_position_instability_flag,center_only_false_positive_flag,stable_faroffaxis_channel_flag,proxy_false_positive_flag,spectral_proxy_success_but_angular_failure_flag,route_risk_label,recommended_proxy_guard_update
D5_BASE_13461,true,false,false,false,false,false,true,false,false,false,normal_offaxis_high_risk,peak_abs_guard;normal_offaxis_lower_bound
E1_0236,true,true,true,false,false,false,false,true,true,false,severe_faroffaxis_high_risk,peak_abs_guard;angular_fwhm_guard;normal_offaxis_lower_bound;30_40_window_penalty
F0_0781,true,true,true,true,true,false,false,false,true,true,broad_offaxis_high_risk,peak_abs_guard;angular_fwhm_guard;normal_offaxis_lower_bound;30_40_window_penalty;45_55_window_penalty;40_60_broad_window_penalty
F0_0204,true,true,true,true,true,true,true,true,true,true,severe_faroffaxis_high_risk,peak_abs_guard;angular_fwhm_guard;normal_offaxis_lower_bound;30_40_window_penalty;45_55_window_penalty;40_60_broad_window_penalty;source_position_stability_penalty
