candidate_id,route_or_family,source_of_candidate,proxy_source_stage,fdtd_validation_stage,proxy_spectral_fwhm_nm,proxy_angular_fwhm_deg,proxy_peak_abs_angle_deg,proxy_normal_offaxis,proxy_30_40_penalty,proxy_45_55_penalty,proxy_40_60_penalty,measured_tri_point_peak_abs_angle_deg,measured_tri_point_fwhm_deg,measured_normal_offaxis,measured_eta5,measured_eta10,measured_eta20,measured_eta30,measured_30_40_fraction,measured_45_55_fraction,measured_40_60_fraction,source_position_peak_std_deg,bilateral_asymmetry_metric,center_vs_bilateral_mismatch_metric,failure_type_primary,failure_type_secondary,stopped_status,do_not_rerun_reason
D5_BASE_13461,D5_PRIMARY variable DBR stack,D-series,not_available,R2-4D7,missing,missing,missing,missing,missing,missing,missing,14.041304042576005,8.234008464681507,0.18235750919538307,0.1484053478843742,0.2654473151795561,0.5769653296309408,0.6578371753948261,missing,missing,missing,missing,missing,missing,center-only false positive + source-position instability + 30-40 deg lobe,near_normal_failure;normal_offaxis_le_1;center_vs_xline_mismatch,stopped; no D5 revival,D7/D8 show center-only false positive and x-line instability; old D5 route stopped
E1_0236,E0C_MQW_lateral_extent_robust_cavity,E1,E1,R2-4E2,missing,missing,missing,2.583981,0.277206,missing,missing,51.52608115842448,107.97806225750904,0.07644500084836449,0.030137558012296266,0.061284290450049614,0.14271012560243232,0.25276172681470466,0.383124061357909,missing,missing,1.1405039996434043,0.0,2.419374336354693,stable 49-52 deg far-offaxis / leaky-guided-like channel,near_normal_failure;broad_fwhm;normal_offaxis_le_1;30_40_lobe,stopped; no E1_0236 retry,E2/E3 show stable 49-52 deg far-offaxis channel; no retry
F0_0781,top_MDC_angular_filter,F0,F0,R2-4F1,7.2,16.125,2.445112,2.706048,0.172439,0.2475,0.200774,25.894686241556442,54.99770720078101,0.2822512476909402,0.07694743622287421,0.16873762382089885,0.35683110923428585,0.5810153203576438,0.2659996390697256,0.39834378540516163,0.32355596827101396,0.12022102831932796,1.4210854715202004e-14,0.2550273130974503,stable_off_normal_around_26deg_plus_broad_40_60_channel,near_normal_failure;broad_fwhm;normal_offaxis_le_1;30_40_lobe;45_55_lobe;40_60_broad_lobe,stopped; no F0_0781 continuation,F1 shows off-normal around 26 deg and broad 40-60 channel; no 5/9-point continuation
F0_0204,high_top_DBR_RCLED,F0,F0,R2-4F2,6.26,18.405,1.853007,2.41815,0.178939,0.2609,0.241029,65.49913049329244,138.4457847281323,0.15662592241965104,0.05799949103208945,0.11133132260845328,0.2267730028500233,0.3183789023844579,0.37224929094741166,0.33011133081099886,0.7432619818691985,9.312326300539363,2.842170943040401e-14,19.754427227199656,severe_far_offaxis_46_67deg_plus_broad_fwhm_source_position_mismatch,near_normal_failure;broad_fwhm;normal_offaxis_le_1;30_40_lobe;45_55_lobe;40_60_broad_lobe;source_position_instability;center_vs_xline_mismatch,stopped; full F0 shortlist failed,F2 shows severe 46-67 deg faroffaxis and broad FWHM; F0 shortlist fully failed
