candidate_id,wavelength_nm,harmonic_order,target_order_m,target_order_n,Jxx_real,Jxx_imag,Jxy_real,Jxy_imag,Jyx_real,Jyx_imag,Jyy_real,Jyy_imag,T0_x,T0_y,R0_x,R0_y,non_target_propagating_orders,energy_balance_error_max,S0,S1,S2,S3,DoLP,x_fidelity,useful_power,leakage_power,leakage_fraction,rank_contrast,rank_one_error,total_power,orientation_deg,state_flip_438_458
H1C1B_V2_015,435.0,121,0,0,-0.4445329383024577,0.7007831640508224,0.001285960874402449,0.003945453128981043,-0.0012859608744037643,-0.0039454531289853335,0.5967659702439018,-0.8023342346545286,0.688723796548662,0.9998870676355769,0.31127620345133006,0.00011293236442667008,0,7.993605777301127e-15,0.8443054320921196,-0.1555816355434576,-0.004591409589001703,-0.0007312189957548593,0.18435197028975187,0.4078641273467002,0.344361898274331,0.4999435338177886,0.5921358726532998,1.20500795035099,0.8298700433542566,0.8443054320921195,-89.15481007631921,True
H1C1B_V2_015,436.0,121,0,0,-0.356390470583018,0.7627791316327228,0.002313359822366242,0.004463125790408768,-0.0023133598223615036,-0.004463125790411509,0.5430673226915436,-0.8396061631465759,0.7088714423022445,0.9998858972945645,0.2911285576977692,0.00011410270543081848,0,1.3766765505351941e-14,0.8543786697984045,-0.14550722749615996,-0.0050708776144294514,-0.001010890841096334,0.17041104256825357,0.4148461726399998,0.35443572115112226,0.4999429486472822,0.5851538273600002,1.1877897171801568,0.8418998628595856,0.8543786697984045,-89.00203461971267,True
H1C1B_V2_015,437.0,121,0,0,-0.26686766484098495,0.8035621343358716,0.003495297657830942,0.004960723354852388,-0.0034952976578343773,-0.004960723354858881,0.48632124740481303,-0.8736897884763981,0.7169672801580219,0.9998790280472267,0.2830327198419857,0.00012097195277927838,0,7.549516567451064e-15,0.8584231541026245,-0.14145587394460246,-0.005687763344593229,-0.0013337655375924755,0.16491887014430345,0.41760714207873556,0.358483640079011,0.49993951402361353,0.5823928579212645,1.1811002801518486,0.8466681591773347,0.8584231541026244,-88.84872444119772,True
H1C1B_V2_015,438.0,121,0,0,-0.1758397181141092,0.828883025054864,0.004558115771696125,0.0051807115647379415,-0.0045581157717212665,-0.005180711564753139,0.42570202060021634,-0.9047316502299666,0.7180142918822573,0.9998091854626509,0.2819857081177299,0.0001908145373593181,0,1.2878587085651816e-14,0.8589117386724541,-0.1408974467901971,-0.0062394607104884325,-0.0016401913347304162,0.16420259031074544,0.4179790888596015,0.3590071459411285,0.49990459273132554,0.5820209111403984,1.1802356428682454,0.8472884258687263,0.8589117386724541,-88.73219366308629,True
H1C1B_V2_015,439.0,121,0,0,-0.0860375834329747,0.8380997555823204,0.007085363099695691,0.006126917346040574,-0.007085363099697779,-0.006126917346039659,0.3608026217990502,-0.9323142881455825,0.7099014075565513,0.9994762052638927,0.29009859244343933,0.0005237947361078818,0,9.325873406851315e-15,0.8546888064102217,-0.14478739885367065,-0.007681155412577937,-0.0023510068521277556,0.1696418651261456,0.4152981776713608,0.35495070377827553,0.4997381026319462,0.5847018223286392,1.1868715006744097,0.8425511939850062,0.854688806410222,-88.48161645852949,True
H1C1B_V2_015,440.0,121,0,0,0.005992646959409785,0.8342584956364449,0.009870792752721496,0.006686068164366399,-0.009870792752721817,-0.0066860681643631055,0.2887542179132009,-0.9565372947562201,0.69616528541623,0.9984847306792778,0.30383471458376765,0.0015152693207248515,0,2.6645352591003757e-15,0.8473250080477539,-0.15115972263152389,-0.00918230185770419,-0.003177686313934242,0.17872523178584018,0.410801804976937,0.348082642708115,0.49924236533963884,0.5891981950230629,1.1980631211803128,0.8346805625857308,0.8473250080477539,-88.26189991667125,True
H1C1B_V2_015,441.0,121,0,0,0.09982439041880044,0.8142272871496644,0.014208880183703622,0.007190301748951191,-0.014208880183687985,-0.00719030174895063,0.2053419369091506,-0.9763025118519744,0.6731845767769027,0.9955854984173921,0.32681542322309354,0.004414501582599734,0,8.215650382226158e-15,0.8343850375971472,-0.1612004608202442,-0.011375163369948928,-0.0044971454256618176,0.19367714091546137,0.4034016350026677,0.3365922883884515,0.4977927492086957,0.5965983649973323,1.216810043575856,0.8218209615210659,0.8343850375971473,-87.98179768635264,True
H1C1B_V2_015,442.0,121,0,0,0.1965827829751038,0.7723226096613933,0.02180053951879002,0.007173746372427847,-0.021800539518787423,-0.00717374637243276,0.09947191649738579,-0.9879451095365188,0.6356537301167481,0.9864569277891135,0.3643462698832648,0.013543072210894286,0,1.2878587085651816e-14,0.8110553289529306,-0.17540159883618267,-0.01474478344745258,-0.006824508156051928,0.2170261964258324,0.3918682902542386,0.317826865058374,0.4932284638945567,0.6081317097457615,1.2469546658351391,0.8019537737807468,0.8110553289529308,-87.59742135039325,True
H1C1B_V2_015,443.0,121,0,0,0.29673908282275296,0.6936661127089513,0.03789506027989116,0.0038232006814031827,-0.03789506027987474,-0.003823200681401081,-0.06245464384075619,-0.9717405632747103,0.5706774116523019,0.9496309573077939,0.4293225883476909,0.050369042692256144,0,5.0182080713057076e-14,0.7601541844800477,-0.18947677282774472,-0.019978851862500244,-0.011433364493255944,0.2506427938687574,0.37536951272763924,0.2853387058261515,0.4748154786538962,0.6246304872723607,1.2925018350204511,0.773693292268461,0.7601541844800479,-86.99042353646128,True
H1C1B_V2_015,444.0,121,0,0,0.3907318062183993,0.5321908562663268,0.07864462228437405,-0.03369312403587488,-0.07864462228432045,0.03369312403584024,-0.3832257149973195,-0.7268422669937582,0.4432186551057168,0.6824818329453811,0.5567813448942349,0.31751816705469194,0,7.30526750203353e-14,0.562850244025549,-0.1196315889198214,-0.018446837732881128,-0.015055383011285027,0.21505801806570185,0.3937269813865524,0.22160932755286378,0.3412409164726852,0.6062730186134476,1.2463343618616445,0.8023529083369764,0.562850244025549,-85.61709946430375,True
