candidate_id,wavelength_nm,requested_harmonic_order,actual_harmonic_order,DoLP,useful_power,x_fidelity,Jxx_real,Jxx_imag,Jxy_real,Jxy_imag,Jyx_real,Jyx_imag,Jyy_real,Jyy_imag,delta_max_complex_jones,delta_DoLP,delta_useful_power,delta_x_fidelity
H1C1B_V2_015,440.0,49,49,0.14764762543179116,0.3666196433570578,0.4263080096460097,-0.09628219079433065,0.8508147753694422,0.00654322611878963,0.0063585104359275,-0.006543226118788818,-0.006358510435927228,0.43780025334517725,-0.8916186408214932,,,,
H1C1B_V2_015,450.0,49,49,0.0423498133910076,0.428165879090848,0.480739319316777,0.4190147134513265,0.8246154111752111,-0.026784059831012334,-0.007103934424325299,0.026784059831019454,0.0071039344243253545,0.2952735208023619,-0.9148742093077562,,,,
H1C1B_V2_015,458.0,49,49,0.8602970153252907,0.03756090236858936,0.06991526237283367,-0.17690838994469796,0.20915439137917524,-0.0045846916332717,0.007658163865313647,0.004584691633271819,-0.0076581638653044105,-0.35279302470424295,-0.9353100740703376,,,,
H1C1B_V2_015,440.0,121,121,0.17872523178584018,0.348082642708115,0.410801804976937,0.005992646959409785,0.8342584956364449,0.009870792752721496,0.006686068164366399,-0.009870792752721817,-0.0066860681643631055,0.2887542179132009,-0.9565372947562201,0.16257045336310894,0.03107760635404902,0.018537000648942814,0.015506204669072654
H1C1B_V2_015,450.0,121,121,0.07270596240276894,0.42613123430883637,0.46387521160659845,0.49728973722723935,0.7776835513608366,-0.013178109084106588,0.00013133887655065145,0.013178109084090828,-0.00013133887655299788,-0.08729941654074322,-0.988538992931175,0.38960050402125584,0.03035614901176134,0.002034644782011652,0.016864107710178544
H1C1B_V2_015,458.0,121,121,0.4117283832688339,0.3831068230797443,0.7058338185048187,0.17366356123993643,0.8578936189571351,0.003790048955980535,-0.007667316250988446,-0.0037900489559337114,0.007667316250967837,-0.5649735422781126,-0.007878393936581407,0.9513937635667145,0.4485686320564568,0.345545920711155,0.6359185561319851
H1C1B_V2_015,440.0,225,225,0.1895685962946266,0.33068836608723606,0.4056356365596958,0.06408441298555508,0.810218190205137,0.027185785677286706,0.00879417446894335,-0.027185785677424815,-0.00879417446893826,0.10804522769921428,-0.9780608784102657,0.18198627365126033,0.010843364508786424,0.017394276620878946,0.0051661684172412126
H1C1B_V2_015,450.0,225,225,0.20559319409185514,0.3243853127607847,0.3972930718063174,0.608623356059121,0.5274433186643976,-0.012243527139745289,0.001370262882406196,0.012243527139640841,-0.0013702628823197725,-0.13296404914211066,-0.9830440478728437,0.2738893001600658,0.1328872316890862,0.10174592154805168,0.06658213980028105
H1C1B_V2_015,458.0,225,225,0.3242294595510863,0.4366626262035638,0.6620215598441609,0.36361215978285066,0.8608119388304162,-0.010190819238712541,-0.0032253426859901644,0.010190819238719721,0.003225342685971846,0.13182705531709552,-0.6544933860725887,0.9506008735868529,0.08749892371774759,0.05355580312381947,0.043812258660657855
H1C1B_V2_009,440.0,49,49,0.5141933271569066,0.14088269422331418,0.24293736032282134,-0.530155828547639,-0.025461236641014795,-0.005824074463231049,-0.004241637531867598,0.005824074463228682,0.0042416375318597085,0.720516318123847,-0.5990544709995964,,,,
