candidate_id,wavelength_nm,input_polarization,order_m,order_n,target_order,reflected_power,transmitted_power,propagating_estimate,energy_balance_error
H1C1B_V2_015,435.0,x,0,-4,False,1.279264483200144e-20,-1.3343495337295602e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,0,False,-1.236799172088767e-22,2.3585203372295708e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,0,False,-1.239126280580447e-22,5.596993030578145e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,1,-4,False,-4.235164736271502e-22,3.3881317890172014e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,1,4,False,-4.235164736271502e-22,8.470329472543003e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,-1,False,-4.235164736271502e-22,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-1,4,False,-3.3881317890172014e-21,-3.3881317890172014e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-1,-4,False,-1.0587911840678754e-22,-1.5881867761018131e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,-1,False,-0.0,-1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,1,False,9.26442286059391e-22,1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,1,False,1.2705494208814505e-21,-6.352747104407253e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-3,3,False,3.3881317890172014e-21,1.3552527156068805e-20,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,3,3,False,1.3552527156068805e-20,1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-3,-3,False,6.776263578034403e-21,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,3,-3,False,-6.776263578034403e-21,6.776263578034403e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,-2,False,-0.0,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-2,4,False,-4.235164736271502e-22,1.3552527156068805e-20,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-2,-4,False,8.470329472543003e-22,-6.776263578034403e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,2,4,False,1.6940658945086007e-21,7.623296525288703e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,2,-4,False,-2.541098841762901e-21,3.3881317890172014e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,2,False,3.3881317890172014e-21,-1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,-2,False,-0.0,-1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,2,False,-1.2705494208814505e-21,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,0,-5,False,-4.7916226337857016e-21,9.905097886505608e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,0,False,-5.691994457975337e-23,-7.276918554197264e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,0,5,False,1.4860625207867174e-21,2.178326571656084e-20,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,0,False,9.417693964903027e-23,8.358020795881922e-23,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,3,4,False,-2.117582368135751e-21,1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,3,False,-8.470329472543003e-22,1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,-3,False,-8.470329472543003e-22,-1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,3,-4,False,-2.117582368135751e-21,5.082197683525802e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,3,False,-1.2705494208814505e-21,1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-3,-4,False,-4.235164736271502e-22,-1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,-3,False,-0.0,-4.235164736271502e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-3,4,False,1.6940658945086007e-21,-1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,1,False,-4.235164736271502e-22,8.470329472543003e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,-1,False,-8.470329472543003e-22,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-1,5,False,-2.117582368135751e-21,8.470329472543003e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-1,-5,False,6.776263578034403e-21,3.176373552203626e-20,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,1,-5,False,4.0234064994579266e-21,2.286988957586611e-20,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,-1,False,-3.1763735522036263e-22,-8.470329472543003e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,1,5,False,4.658681209898652e-21,8.470329472543003e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,1,False,-1.0587911840678754e-22,2.117582368135751e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,-2,False,-0.0,8.470329472543003e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,2,-5,False,-2.541098841762901e-21,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,2,5,False,-2.329340604949326e-21,-1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,-2,False,-1.6940658945086007e-21,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-2,5,False,-3.1763735522036263e-22,-6.776263578034403e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-2,-5,False,1.6940658945086007e-21,4.235164736271502e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,2,False,1.6940658945086007e-21,1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,2,False,-8.470329472543003e-22,4.235164736271502e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,-4,False,-0.0,8.470329472543003e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,-4,False,4.235164736271502e-22,1.3234889800848443e-23,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,4,False,-9.529120656610879e-22,-4.235164736271502e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,4,False,-2.117582368135751e-22,-4.235164736271502e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,-3,False,-8.470329472543003e-22,8.470329472543003e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,3,5,False,2.117582368135751e-22,-8.470329472543003e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,-3,False,-0.0,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-3,-5,False,2.541098841762901e-21,-1.2705494208814505e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,3,False,-0.0,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,3,False,-4.235164736271502e-22,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,3,-5,False,2.117582368135751e-22,-2.541098841762901e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-3,5,False,-1.1249656330721176e-22,-1.6940658945086007e-21,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,-5,False,-2.6469779601696886e-23,5.293955920339377e-23,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,-4,False,-0.0,4.235164736271502e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-4,5,False,-7.940933880509066e-23,2.117582368135751e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,5,False,-2.6469779601696886e-23,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,-4,False,-0.0,-2.117582368135751e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,4,False,-3.1763735522036263e-22,4.235164736271502e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,4,-5,False,6.617444900424222e-24,2.117582368135751e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,4,False,2.117582368135751e-22,-1.0587911840678754e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,-5,-5,False,3.1763735522036263e-22,0.0,False,-7.993605777301127e-15
