theta_deg,I_proxy
0.0,1.6539414704
0.25,1.658099564
0.5,1.6593314358
0.75,1.657630559
1.0,1.6530059487
1.25,1.6454820821
1.5,1.6350986836
1.75,1.621910375
2.0,1.6059861983
2.25,1.5874090135
2.5,1.566274782
2.75,1.5426917421
3.0,1.5167794871
3.25,1.4886679584
3.5,1.4584963633
3.75,1.4264120322
4.0,1.3925692274
4.25,1.3571279176
4.5,1.3202525317
4.75,1.2821107057
5.0,1.2428720367
5.25,1.2027068563
5.5,1.1617850374
5.75,1.1202748453
6.0,1.0783418445
6.25,1.0361478722
6.5,0.9938500863
6.75,0.9516000974
7.0,0.9095431908
7.25,0.8678176442
7.5,0.8265541463
7.75,0.7858753183
8.0,0.7458953412
8.25,0.7067196896
8.5,0.6684449707
8.75,0.6311588683
9.0,0.5949401873
9.25,0.5598589973
9.5,0.5259768686
9.75,0.493347197
10.0,0.4620156082
10.25,0.4320204384
10.5,0.4033932796
10.75,0.376159583
11.0,0.3503393101
11.25,0.3259476224
11.5,0.3029955978
11.75,0.2814909634
12.0,0.2614388327
12.25,0.2428424342
12.5,0.2257038199
12.75,0.2100245388
13.0,0.1958062636
13.25,0.1830513564
13.5,0.1717633595
13.75,0.1619473984
14.0,0.1536104846
14.25,0.1467617048
14.5,0.1414122869
14.75,0.1375755325
15.0,0.1352666076
15.25,0.1345021868
15.5,0.1352999466
15.75,0.1376779087
16.0,0.1416536357
16.25,0.1472432853
16.5,0.1544605356
16.75,0.1633153935
17.0,0.1738129068
17.25,0.1859518028
17.5,0.1997230799
17.75,0.2151085828
18.0,0.2320795966
18.25,0.2505954947
18.5,0.2706024813
18.75,0.2920324665
19.0,0.3148021147
19.25,0.3388121062
19.5,0.3639466467
19.75,0.3900732602
20.0,0.4170428927
20.25,0.4446903497
20.5,0.4728350855
20.75,0.5012823492
21.0,0.5298246912
21.25,0.558243817
21.5,0.5863127724
21.75,0.6137984301
22.0,0.6404642406
22.25,0.666073202
22.5,0.6903909936
22.75,0.713189214
23.0,0.7342486581
23.25,0.7533625629
23.5,0.7703397536
23.75,0.7850076174
24.0,0.7972148386
24.25,0.80683383
24.5,0.8137628043
24.75,0.8179274339
25.0,0.8192820599
25.25,0.8178104204
25.5,0.8135258783
25.75,0.8064711444
26.0,0.7967174998
26.25,0.7843635371
26.5,0.769533449
26.75,0.7523749053
27.0,0.7330565671
27.25,0.7117652963
27.5,0.6887031235
27.75,0.6640840426
28.0,0.638130702
28.25,0.6110710629
28.5,0.5831350942
28.75,0.5545515683
29.0,0.5255450199
29.25,0.4963329206
29.5,0.4671231158
29.75,0.438111563
30.0,0.4094803978
30.25,0.3813963502
30.5,0.3540095187
30.75,0.3274525046
31.0,0.3018398982
31.25,0.2772681039
31.5,0.2538154791
31.75,0.2315427624
32.0,0.2104937578
32.25,0.19069624
32.5,0.1721630427
32.75,0.1548932935
33.0,0.1388737552
33.25,0.1240802388
33.5,0.110479051
33.75,0.0980284462
34.0,0.0866800534
34.25,0.0763802519
34.5,0.0670714762
34.75,0.0586934321
35.0,0.0511842102
