theta_deg,I_proxy
0.0,0.1539032186
0.25,0.1547656922
0.5,0.1554464736
0.75,0.1559431283
1.0,0.156253876
1.25,0.1563776007
1.5,0.1563138581
1.75,0.1560628779
2.0,0.1556255625
2.25,0.1550034816
2.5,0.1541988631
2.75,0.1532145799
3.0,0.1520541326
3.25,0.1507216292
3.5,0.1492217611
3.75,0.1475597758
4.0,0.1457414466
4.25,0.1437730395
4.5,0.1416612783
4.75,0.1394133064
5.0,0.1370366477
5.25,0.1345391659
5.5,0.1319290225
5.75,0.1292146335
6.0,0.1264046273
6.25,0.1235078008
6.5,0.1205330768
6.75,0.1174894624
7.0,0.1143860075
7.25,0.111231766
7.5,0.1080357581
7.75,0.1048069345
8.0,0.1015541443
8.25,0.0982861044
8.5,0.095011373
8.75,0.0917383257
9.0,0.0884751358
9.25,0.085229758
9.5,0.0820099161
9.75,0.0788230948
10.0,0.0756765352
10.25,0.0725772349
10.5,0.0695319519
10.75,0.0665472115
11.0,0.0636293178
11.25,0.0607843682
11.5,0.05801827
11.75,0.0553367602
12.0,0.0527454267
12.25,0.0502497303
12.5,0.0478550271
12.75,0.0455665905
13.0,0.0433896311
13.25,0.0413293144
13.5,0.0393907746
13.75,0.0375791233
14.0,0.0358994531
14.25,0.0343568328
14.5,0.0329562958
14.75,0.0317028187
15.0,0.0306012897
15.25,0.0296564673
15.5,0.0288729271
15.75,0.0282549978
16.0,0.0278066856
16.25,0.0275315885
16.5,0.0274327993
16.75,0.0275128014
17.0,0.0277733557
17.25,0.028215383
17.5,0.0288388427
17.75,0.0296426117
18.0,0.0306243649
18.25,0.0317804623
18.5,0.033105845
18.75,0.0345939438
19.0,0.0362366047
19.25,0.0380240338
19.5,0.0399447657
19.75,0.0419856585
20.0,0.044131917
20.25,0.0463671476
20.5,0.0486734449
20.75,0.0510315125
21.0,0.0534208158
21.25,0.0558197675
21.5,0.0582059438
21.75,0.0605563276
22.0,0.0628475762
22.25,0.0650563091
22.5,0.0671594103
22.75,0.0691343393
23.0,0.0709594458
23.25,0.0726142801
23.5,0.0740798939
23.75,0.0753391241
24.0,0.0763768529
24.25,0.07718024
24.5,0.0777389187
24.75,0.0780451539
25.0,0.0780939569
25.25,0.0778831535
25.5,0.077413406
25.75,0.0766881863
26.0,0.0757137012
26.25,0.0744987733
26.5,0.0730546774
26.75,0.0713949393
27.0,0.0695350993
27.25,0.067492447
27.5,0.0652857337
27.75,0.0629348679
28.0,0.0604606008
28.25,0.0578842099
28.5,0.0552271842
28.75,0.0525109208
29.0,0.0497564359
29.25,0.046984096
29.5,0.0442133753
29.75,0.0414626398
30.0,0.0387489641
30.25,0.0360879799
30.5,0.03349376
30.75,0.0309787344
31.0,0.0285536418
31.25,0.0262275114
31.5,0.0240076757
31.75,0.0218998101
32.0,0.0199079965
32.25,0.0180348086
32.5,0.0162814139
32.75,0.0146476899
33.0,0.0131323502
33.25,0.0117330778
33.5,0.0104466613
33.75,0.0092691314
34.0,0.0081958962
34.25,0.0072218699
34.5,0.0063415965
34.75,0.0055493642
35.0,0.0048393103
