wavelength_nm,theta_deg,I_proxy
448.0,0.0,0.0285941726
448.0,0.25,0.0286429069
448.0,0.5,0.0286573374
448.0,0.75,0.0286374122
448.0,1.0,0.0285832029
448.0,1.25,0.0284949044
448.0,1.5,0.0283728333
448.0,1.75,0.0282174265
448.0,2.0,0.028029238
448.0,2.25,0.0278089362
448.0,2.5,0.0275572999
448.0,2.75,0.0272752131
448.0,3.0,0.0269636608
448.0,3.25,0.0266237226
448.0,3.5,0.0262565665
448.0,3.75,0.025863443
448.0,4.0,0.025445677
448.0,4.25,0.0250046616
448.0,4.5,0.0245418493
448.0,4.75,0.0240587453
448.0,5.0,0.0235568987
448.0,5.25,0.0230378948
448.0,5.5,0.022503347
448.0,5.75,0.0219548889
448.0,6.0,0.0213941663
448.0,6.25,0.0208228295
448.0,6.5,0.0202425259
448.0,6.75,0.0196548931
448.0,7.0,0.0190615517
448.0,7.25,0.0184640992
448.0,7.5,0.0178641044
448.0,7.75,0.0172631017
448.0,8.0,0.0166625866
448.0,8.25,0.0160640113
448.0,8.5,0.0154687819
448.0,8.75,0.0148782547
448.0,9.0,0.0142937349
448.0,9.25,0.0137164751
448.0,9.5,0.0131476745
448.0,9.75,0.0125884793
448.0,10.0,0.0120399836
448.0,10.25,0.0115032308
448.0,10.5,0.0109792162
448.0,10.75,0.01046889
448.0,11.0,0.0099731608
448.0,11.25,0.0094928995
448.0,11.5,0.0090289443
448.0,11.75,0.0085821051
448.0,12.0,0.0081531692
448.0,12.25,0.007742906
448.0,12.5,0.0073520724
448.0,12.75,0.006981418
448.0,13.0,0.0066316891
448.0,13.25,0.006303633
448.0,13.5,0.0059980013
448.0,13.75,0.0057155518
448.0,14.0,0.0054570497
448.0,14.25,0.0052232668
448.0,14.5,0.0050149802
448.0,14.75,0.004832968
448.0,15.0,0.0046780035
448.0,15.25,0.0045508483
448.0,15.5,0.0044522414
448.0,15.75,0.0043828883
448.0,16.0,0.0043434462
448.0,16.25,0.0043345082
448.0,16.5,0.0043565853
448.0,16.75,0.0044100869
448.0,17.0,0.004495299
448.0,17.25,0.0046123633
448.0,17.5,0.0047612533
448.0,17.75,0.0049417524
448.0,18.0,0.0051534309
448.0,18.25,0.0053956251
448.0,18.5,0.0056674178
448.0,18.75,0.0059676203
448.0,19.0,0.0062947589
448.0,19.25,0.0066470641
448.0,19.5,0.0070224639
448.0,19.75,0.0074185829
448.0,20.0,0.0078327456
448.0,20.25,0.0082619862
448.0,20.5,0.0087030642
448.0,20.75,0.0091524856
448.0,21.0,0.009606531
448.0,21.25,0.0100612891
448.0,21.5,0.0105126957
448.0,21.75,0.0109565783
448.0,22.0,0.0113887048
448.0,22.25,0.0118048358
448.0,22.5,0.01220078
448.0,22.75,0.0125724508
448.0,23.0,0.012915924
448.0,23.25,0.0132274942
448.0,23.5,0.0135037303
448.0,23.75,0.013741527
448.0,24.0,0.0139381524
448.0,24.25,0.0140912907
448.0,24.5,0.0141990779
448.0,24.75,0.0142601308
448.0,25.0,0.014273568
448.0,25.25,0.0142390224
448.0,25.5,0.0141566451
448.0,25.75,0.0140271005
448.0,26.0,0.0138515531
448.0,26.25,0.0136316448
448.0,26.5,0.0133694658
448.0,26.75,0.0130675173
448.0,27.0,0.0127286682
448.0,27.25,0.0123561068
448.0,27.5,0.011953288
448.0,27.75,0.0115238774
448.0,28.0,0.011071694
448.0,28.25,0.0106006519
448.0,28.5,0.0101147031
448.0,28.75,0.0096177817
448.0,29.0,0.0091137507
