theta_deg,I_proxy
0.0,0.1043473754
0.25,0.1048717539
0.5,0.1052724477
0.75,0.1055480219
1.0,0.1056974878
1.25,0.1057203084
1.5,0.1056164019
1.75,0.1053861422
2.0,0.1050303564
2.25,0.1045503204
2.5,0.1039477508
2.75,0.1032247951
3.0,0.1023840189
3.25,0.1014283908
3.5,0.1003612652
3.75,0.0991863627
4.0,0.0979077489
4.25,0.0965298113
4.5,0.0950572342
4.75,0.0934949732
5.0,0.0918482275
5.25,0.0901224124
5.5,0.0883231301
5.75,0.0864561405
6.0,0.0845273327
6.25,0.0825426948
6.5,0.0805082858
6.75,0.0784302073
7.0,0.0763145757
7.25,0.0741674964
7.5,0.0719950389
7.75,0.069803213
8.0,0.0675979476
8.25,0.0653850712
8.5,0.0631702939
8.75,0.0609591927
9.0,0.058757199
9.25,0.0565695878
9.5,0.0544014712
9.75,0.052257793
10.0,0.0501433271
10.25,0.0480626783
10.5,0.0460202856
10.75,0.0440204283
11.0,0.0420672343
11.25,0.0401646908
11.5,0.0383166565
11.75,0.0365268757
12.0,0.0347989932
12.25,0.0331365704
12.5,0.0315431005
12.75,0.0300220242
13.0,0.0285767439
13.25,0.0272106359
13.5,0.0259270602
13.75,0.0247293671
14.0,0.0236208992
14.25,0.0226049893
14.5,0.0216849521
14.75,0.0208640701
15.0,0.0201455725
15.25,0.019532607
15.5,0.0190282042
15.75,0.0186352339
16.0,0.0183563542
16.25,0.0181939533
16.5,0.0181500838
16.75,0.018226392
17.0,0.0184240414
17.25,0.0187436326
17.5,0.0191851216
17.75,0.0197477368
18.0,0.0204298991
18.25,0.021229144
18.5,0.0221420519
18.75,0.0231641856
19.0,0.0242900397
19.25,0.0255130031
19.5,0.0268253374
19.75,0.0282181728
20.0,0.0296815241
20.25,0.0312043271
20.5,0.0327744971
20.75,0.0343790102
21.0,0.0360040065
21.25,0.0376349152
21.5,0.0392566005
21.75,0.0408535258
22.0,0.0424099348
22.25,0.0439100457
22.5,0.0453382554
22.75,0.0466793494
23.0,0.0479187152
23.25,0.0490425512
23.5,0.0500380706
23.75,0.0508936925
24.0,0.0515992187
24.25,0.0521459895
24.5,0.0525270172
24.75,0.0527370922
25.0,0.0527728609
25.25,0.0526328718
25.5,0.0523175901
25.75,0.0518293795
26.0,0.0511724524
26.25,0.0503527882
26.5,0.0493780238
26.75,0.0482573168
27.0,0.0470011863
27.25,0.0456213329
27.5,0.044130445
27.75,0.0425419925
28.0,0.0408700143
28.25,0.0391289044
28.5,0.0373331993
28.75,0.0354973727
29.0,0.0336356401
29.25,0.0317617774
29.5,0.0298889565
29.75,0.0280295997
30.0,0.0261952557
30.25,0.0243964974
30.5,0.022642843
30.75,0.0209427001
31.0,0.0193033322
31.25,0.0177308468
31.5,0.0162302041
31.75,0.0148052435
32.0,0.0134587269
32.25,0.0121923964
32.5,0.011007043
32.75,0.0099025855
33.0,0.0088781556
33.25,0.007932188
33.5,0.0070625127
33.75,0.0062664472
34.0,0.0055408876
34.25,0.0048823965
34.5,0.0042872857
34.75,0.0037516942
35.0,0.0032716588
