theta_deg,I_proxy
0.0,1.2953169564
0.25,1.2966347269
0.5,1.2970247619
0.75,1.2964862258
1.0,1.2950202778
1.25,1.2926300679
1.5,1.2893207258
1.75,1.2850993434
2.0,1.2799749494
2.25,1.2739584788
2.5,1.2670627344
2.75,1.2593023429
3.0,1.250693705
3.25,1.2412549399
3.5,1.2310058243
3.75,1.2199677273
4.0,1.2081635402
4.25,1.1956176037
4.5,1.1823556309
4.75,1.1684046284
5.0,1.1537928162
5.25,1.1385495458
5.5,1.122705219
5.75,1.1062912073
6.0,1.0893397738
6.25,1.0718839973
6.5,1.053957702
6.75,1.0355953916
7.0,1.0168321914
7.25,0.9977037981
7.5,0.9782464396
7.75,0.9584968469
8.0,0.9384922385
8.25,0.9182703193
8.5,0.897869296
8.75,0.8773279103
9.0,0.8566854904
9.25,0.8359820232
9.5,0.8152582475
9.75,0.794555768
10.0,0.773917192
10.25,0.7533862864
10.5,0.7330081555
10.75,0.712829437
11.0,0.6928985134
11.25,0.6732657363
11.5,0.6539836581
11.75,0.6351072653
12.0,0.6166942071
12.25,0.5988050113
12.5,0.5815032775
12.75,0.5648558374
13.0,0.5489328717
13.25,0.5338079695
13.5,0.519558118
13.75,0.5062636095
14.0,0.4940078499
14.25,0.4828770577
14.5,0.4729598388
14.75,0.4643466257
15.0,0.4571289727
15.25,0.4513986971
15.5,0.447246864
15.75,0.4447626119
16.0,0.4440318226
16.25,0.4451356425
16.5,0.4481488682
16.75,0.4531382129
17.0,0.4601604778
17.25,0.4692606561
17.5,0.480470004
17.75,0.4938041181
18.0,0.5092610611
18.25,0.5268195844
18.5,0.5464374966
18.75,0.5680502295
19.0,0.5915696534
19.25,0.6168831916
19.5,0.6438532825
19.75,0.6723172319
20.0,0.7020874928
20.25,0.732952402
20.5,0.7646773937
20.75,0.7970067009
21.0,0.8296655408
21.25,0.8623627731
21.5,0.8947940024
21.75,0.9266450866
22.0,0.9575959992
22.25,0.9873249832
22.5,1.0155129222
22.75,1.0418478464
23.0,1.0660294858
23.25,1.0877737753
23.5,1.1068172158
23.75,1.1229209979
24.0,1.1358747928
24.25,1.1455001267
24.5,1.1516532586
24.75,1.1542274957
25.0,1.1531548895
25.25,1.1484072745
25.5,1.1399966235
25.75,1.1279747116
26.0,1.112432097
26.25,1.0934964438
26.5,1.0713302271
26.75,1.0461278754
27.0,1.0181124168
27.25,0.9875317096
27.5,0.9546543412
27.75,0.9197652894
28.0,0.883161441
28.25,0.8451470639
28.5,0.8060293267
28.75,0.7661139537
29.0,0.7257010995
29.25,0.6850815151
29.5,0.6445330697
29.75,0.6043176789
30.0,0.5646786793
30.25,0.5258386752
30.5,0.4879978717
30.75,0.4513328965
31.0,0.4159960985
31.25,0.382115305
31.5,0.3497940063
31.75,0.3191119321
32.0,0.2901259744
32.25,0.2628714114
32.5,0.2373633796
32.75,0.2135985439
33.0,0.1915569137
33.25,0.1712037546
33.5,0.1524915485
33.75,0.1353619589
34.0,0.1197477622
34.25,0.1055747107
34.5,0.092763298
34.75,0.0812304049
35.0,0.0708908066
