wavelength_nm,theta_deg,I_proxy
448.0,0.0,0.6882661165
448.0,0.25,0.6916628585
448.0,0.5,0.6944093863
448.0,0.75,0.6964978368
448.0,1.0,0.6979222176
448.0,1.25,0.6986784351
448.0,1.5,0.6987643146
448.0,1.75,0.6981796105
448.0,2.0,0.696926008
448.0,2.25,0.6950071149
448.0,2.5,0.6924284446
448.0,2.75,0.6891973904
448.0,3.0,0.6853231901
448.0,3.25,0.6808168828
448.0,3.5,0.6756912574
448.0,3.75,0.6699607927
448.0,4.0,0.6636415906
448.0,4.25,0.6567513022
448.0,4.5,0.6493090473
448.0,4.75,0.6413353288
448.0,5.0,0.6328519409
448.0,5.25,0.6238818738
448.0,5.5,0.6144492142
448.0,5.75,0.6045790431
448.0,6.0,0.5942973315
448.0,6.25,0.5836308343
448.0,6.5,0.5726069847
448.0,6.75,0.5612537881
448.0,7.0,0.5495997183
448.0,7.25,0.5376736149
448.0,7.5,0.5255045852
448.0,7.75,0.513121909
448.0,8.0,0.5005549488
448.0,8.25,0.4878330667
448.0,8.5,0.4749855466
448.0,8.75,0.4620415247
448.0,9.0,0.4490299284
448.0,9.25,0.4359794236
448.0,9.5,0.4229183715
448.0,9.75,0.4098747953
448.0,10.0,0.3968763571
448.0,10.25,0.3839503447
448.0,10.5,0.3711236684
448.0,10.75,0.3584228685
448.0,11.0,0.3458741304
448.0,11.25,0.3335033093
448.0,11.5,0.3213359621
448.0,11.75,0.309397384
448.0,12.0,0.2977126503
448.0,12.25,0.2863066593
448.0,12.5,0.2752041752
448.0,12.75,0.2644298671
448.0,13.0,0.2540083424
448.0,13.25,0.2439641697
448.0,13.5,0.2343218895
448.0,13.75,0.2251060071
448.0,14.0,0.2163409662
448.0,14.25,0.2080510973
448.0,14.5,0.2002605393
448.0,14.75,0.19299313
448.0,15.0,0.1862722634
448.0,15.25,0.1801207106
448.0,15.5,0.1745604045
448.0,15.75,0.1696121858
448.0,16.0,0.1652955123
448.0,16.25,0.1616281321
448.0,16.5,0.1586257231
448.0,16.75,0.1563015046
448.0,17.0,0.1546658245
448.0,17.25,0.1537257299
448.0,17.5,0.1534845292
448.0,17.75,0.1539413552
448.0,18.0,0.155090739
448.0,18.25,0.1569222074
448.0,18.5,0.1594199148
448.0,18.75,0.162562323
448.0,19.0,0.1663219412
448.0,19.25,0.1706651385
448.0,19.5,0.1755520405
448.0,19.75,0.1809365219
448.0,20.0,0.1867663017
448.0,20.25,0.1929831506
448.0,20.5,0.1995232149
448.0,20.75,0.2063174584
448.0,21.0,0.213292223
448.0,21.25,0.2203699045
448.0,21.5,0.2274697364
448.0,21.75,0.2345086723
448.0,22.0,0.2414023547
448.0,22.25,0.2480661537
448.0,22.5,0.2544162584
448.0,22.75,0.2603708001
448.0,23.0,0.2658509851
448.0,23.25,0.2707822152
448.0,23.5,0.2750951706
448.0,23.75,0.2787268327
448.0,24.0,0.2816214236
448.0,24.25,0.2837312419
448.0,24.5,0.2850173734
448.0,24.75,0.2854502626
448.0,25.0,0.2850101302
448.0,25.25,0.2836872259
448.0,25.5,0.2814819131
448.0,25.75,0.2784045803
448.0,26.0,0.2744753837
448.0,26.25,0.2697238265
448.0,26.5,0.2641881846
448.0,26.75,0.2579147928
448.0,27.0,0.250957208
448.0,27.25,0.2433752695
448.0,27.5,0.2352340765
448.0,27.75,0.2266029077
448.0,28.0,0.2175541045
448.0,28.25,0.2081619437
448.0,28.5,0.1985015212
448.0,28.75,0.1886476699
448.0,29.0,0.1786739321
448.0,29.25,0.1686516039
448.0,29.5,0.158648868
448.0,29.75,0.1487300279
448.0,30.0,0.1389548516
448.0,30.25,0.1293780338
448.0,30.5,0.1200487781
448.0,30.75,0.1110105002
448.0,31.0,0.1023006501
448.0,31.25,0.0939506475
448.0,31.5,0.0859859238
448.0,31.75,0.0784260607
448.0,32.0,0.0712850157
448.0,32.25,0.0645714215
448.0,32.5,0.0582889477
448.0,32.75,0.0524367117
