wavelength_nm,I_proxy
448.0,1.1216831829
448.05,1.1472262506
448.1,1.1723468558
448.15,1.1969922819
448.2,1.2211099139
448.25,1.2446474229
448.3,1.2675529525
448.35,1.2897753073
448.4,1.3112641417
448.45,1.3319701488
448.5,1.3518452476
448.55,1.3708427685
448.6,1.3889176348
448.65,1.4060265409
448.7,1.4221281247
448.75,1.437183134
448.8,1.4511545852
448.85,1.4640079157
448.9,1.475711125
448.95,1.4862349083
449.0,1.4955527785
449.05,1.5036411771
449.1,1.5104795734
449.15,1.5160505516
449.2,1.5203398845
449.25,1.5233365942
449.3,1.5250329988
449.35,1.5254247449
449.4,1.524510827
449.45,1.5222935911
449.5,1.5187787247
449.55,1.5139752332
449.6,1.5078954004
449.65,1.5005547371
449.7,1.4919719146
449.75,1.4821686858
449.8,1.4711697932
449.85,1.459002865
449.9,1.4456982996
449.95,1.4312891388
450.0,1.4158109312
450.05,1.3993015863
450.1,1.38180122
450.15,1.3633519922
450.2,1.3439979377
450.25,1.3237847921
450.3,1.3027598115
450.35,1.2809715897
450.4,1.2584698717
450.45,1.2353053656
450.5,1.211529554
450.55,1.1871945048
450.6,1.1623526834
450.65,1.1370567676
450.7,1.111359464
450.75,1.0853133294
450.8,1.0589705964
450.85,1.0323830041
450.9,1.0056016351
450.95,0.9786767596
451.0,0.9516576868
451.05,0.9245926236
451.1,0.8975285429
451.15,0.8705110597
451.2,0.8435843174
451.25,0.8167908833
451.3,0.7901716537
451.35,0.7637657693
451.4,0.7376105406
451.45,0.7117413838
451.5,0.686191766
451.55,0.6609931615
451.6,0.6361750174
451.65,0.6117647289
451.7,0.5877876246
451.75,0.5642669607
451.8,0.541223924
451.85,0.518677644
451.9,0.4966452122
451.95,0.4751417104
452.0,0.4541802451
452.05,0.433771989
452.1,0.4139262294
452.15,0.3946504214
452.2,0.3759502468
452.25,0.357829678
452.3,0.3402910453
452.35,0.3233351087
452.4,0.3069611317
452.45,0.291166959
452.5,0.2759490948
452.55,0.261302784
452.6,0.2472220935
452.65,0.2336999949
452.7,0.220728446
452.75,0.2082984742
452.8,0.1964002569
452.85,0.1850232028
452.9,0.1741560304
452.95,0.163786846
453.0,0.1539032186
453.05,0.1444922537
453.1,0.1355406636
453.15,0.1270348357
453.2,0.1189608977
453.25,0.1113047799
453.3,0.1040522744
453.35,0.0971890909
453.4,0.0907009096
453.45,0.08457343
453.5,0.0787924177
453.55,0.0733437462
453.6,0.0682134368
453.65,0.0633876941
453.7,0.0588529389
453.75,0.0545958381
453.8,0.0506033302
453.85,0.0468626497
453.9,0.0433613468
453.95,0.0400873054
454.0,0.0370287581
454.05,0.0341742985
454.1,0.0315128912
454.15,0.0290338796
454.2,0.0267269913
454.25,0.0245823419
454.3,0.0225904362
454.35,0.0207421685
454.4,0.0190288209
454.45,0.0174420602
454.5,0.0159739331
454.55,0.0146168612
454.6,0.0133636337
454.65,0.0122074003
454.7,0.0111416622
454.75,0.0101602634
454.8,0.0092573808
454.85,0.0084275137
454.9,0.0076654736
454.95,0.0069663725
455.0,0.0063256123
455.05,0.0057388732
455.1,0.0052021021
455.15,0.0047115011
455.2,0.004263516
455.25,0.0038548251
455.3,0.0034823277
455.35,0.0031431331
455.4,0.0028345498
455.45,0.0025540747
455.5,0.0022993828
455.55,0.0020683172
455.6,0.0018588792
455.65,0.0016692193
455.7,0.0014976275
455.75,0.001342525
455.8,0.0012024558
455.85,0.0010760788
455.9,0.0009621598
455.95,0.0008595646
456.0,0.0007672519
456.05,0.0006842671
456.1,0.0006097355
456.15,0.0005428571
456.2,0.0004829005
456.25,0.0004291984
456.3,0.0003811419
456.35,0.0003381765
456.4,0.0002997977
456.45,0.000265547
456.5,0.000235008
456.55,0.0002078032
456.6,0.0001835903
456.65,0.0001620599
456.7,0.000142932
456.75,0.0001259539
456.8,0.0001108976
456.85,9.75575e-05
456.9,8.57487e-05
456.95,7.53047e-05
457.0,6.60762e-05
457.05,5.79291e-05
457.1,5.0743e-05
457.15,4.44103e-05
457.2,3.88347e-05
457.25,3.393e-05
457.3,2.96194e-05
457.35,2.58343e-05
457.4,2.25136e-05
457.45,1.96029e-05
457.5,1.7054e-05
457.55,1.48238e-05
457.6,1.28742e-05
457.65,1.11715e-05
457.7,9.6856e-06
457.75,8.3902e-06
457.8,7.2618e-06
457.85,6.2798e-06
457.9,5.426e-06
457.95,4.6842e-06
458.0,4.0404e-06
