wavelength_nm,I_proxy
448.0,0.0309316808
448.05,0.0333996676
448.1,0.0360358635
448.15,0.0388491826
448.2,0.0418487993
448.25,0.0450441381
448.3,0.0484448622
448.35,0.0520608593
448.4,0.0559022261
448.45,0.0599792508
448.5,0.0643023929
448.55,0.0688822614
448.6,0.0737295905
448.65,0.0788552132
448.7,0.0842700328
448.75,0.0899849913
448.8,0.0960110366
448.85,0.1023590867
448.9,0.1090399916
448.95,0.1160644933
449.0,0.1234431838
449.05,0.1311864598
449.1,0.1393044769
449.15,0.147807101
449.2,0.1567038577
449.25,0.1660038806
449.3,0.1757158576
449.35,0.1858479763
449.4,0.1964078672
449.45,0.2074025477
449.5,0.218838363
449.55,0.2307209291
449.6,0.2430550729
449.65,0.2558447747
449.7,0.2690931092
449.75,0.2828021883
449.8,0.2969731039
449.85,0.3116058729
449.9,0.3266993829
449.95,0.3422513403
450.0,0.3582582208
450.05,0.3747152218
450.1,0.3916162188
450.15,0.4089537245
450.2,0.4267188515
450.25,0.4449012796
450.3,0.4634892265
450.35,0.4824694248
450.4,0.5018271021
450.45,0.5215459681
450.5,0.5416082061
450.55,0.5619944711
450.6,0.5826838938
450.65,0.6036540909
450.7,0.6248811819
450.75,0.6463398125
450.8,0.6680031851
450.85,0.689843096
450.9,0.7118299795
450.95,0.7339329588
451.0,0.7561199047
451.05,0.7783575
451.1,0.8006113113
451.15,0.8228458677
451.2,0.8450247455
451.25,0.8671106593
451.3,0.889065559
451.35,0.9108507328
451.4,0.9324269148
451.45,0.9537543982
451.5,0.9747931529
451.55,0.9955029467
451.6,1.0158434705
451.65,1.0357744663
451.7,1.0552558575
451.75,1.0742478817
451.8,1.0927112241
451.85,1.1106071519
451.9,1.1278976486
451.95,1.1445455476
452.0,1.1605146653
452.05,1.1757699306
452.1,1.1902775139
452.15,1.204004951
452.2,1.2169212645
452.25,1.2289970796
452.3,1.2402047359
452.35,1.2505183922
452.4,1.2599141264
452.45,1.2683700275
452.5,1.2758662808
452.55,1.2823852454
452.6,1.2879115231
452.65,1.2924320193
452.7,1.2959359945
452.75,1.2984151068
452.8,1.2998634452
452.85,1.3002775529
452.9,1.2996564409
452.95,1.2980015924
453.0,1.2953169564
453.05,1.2916089324
453.1,1.2868863447
453.15,1.2811604075
453.2,1.2744446807
453.25,1.2667550159
453.3,1.2581094947
453.35,1.2485283576
453.4,1.2380339247
453.45,1.2266505097
453.5,1.2144043257
453.55,1.2013233846
453.6,1.1874373908
453.65,1.1727776285
453.7,1.1573768447
453.75,1.1412691277
453.8,1.124489781
453.85,1.1070751957
453.9,1.0890627188
453.95,1.0704905208
454.0,1.0513974618
454.05,1.0318229567
454.1,1.0118068415
454.15,0.9913892396
454.2,0.9706104295
454.25,0.9495107152
454.3,0.9281302982
454.35,0.9065091538
454.4,0.8846869097
454.45,0.8627027298
454.5,0.8405952022
454.55,0.8184022321
454.6,0.79616094
454.65,0.7739075663
454.7,0.7516773809
454.75,0.7295046
454.8,0.7074223086
454.85,0.6854623907
454.9,0.6636554651
454.95,0.642030829
455.0,0.6206164082
455.05,0.5994387144
455.1,0.5785228094
455.15,0.5578922758
455.2,0.5375691953
455.25,0.517574133
455.3,0.4979261283
455.35,0.4786426923
455.4,0.4597398109
455.45,0.4412319542
455.5,0.4231320909
455.55,0.4054517088
455.6,0.3882008392
455.65,0.3713880865
455.7,0.3550206626
455.75,0.3391044241
455.8,0.3236439143
455.85,0.3086424076
455.9,0.2941019571
455.95,0.2800234453
456.0,0.266406636
456.05,0.2532502286
456.1,0.2405519142
456.15,0.2283084323
456.2,0.2165156286
456.25,0.2051685137
456.3,0.1942613211
456.35,0.1837875665
456.4,0.1737401052
456.45,0.1641111908
456.5,0.1548925312
456.55,0.1460753451
456.6,0.137650416
456.65,0.1296081464
456.7,0.1219386084
456.75,0.1146315943
456.8,0.1076766647
456.85,0.1010631942
456.9,0.0947804158
456.95,0.0888174628
457.0,0.0831634082
457.05,0.0778073026
457.1,0.072738209
457.15,0.0679452359
457.2,0.0634175679
457.25,0.0591444935
457.3,0.055115432
457.35,0.0513199563
457.4,0.0477478151
457.45,0.0443889521
457.5,0.0412335233
457.55,0.0382719123
457.6,0.0354947435
457.65,0.0328928941
457.7,0.0304575029
457.75,0.028179979
457.8,0.0260520078
457.85,0.0240655559
457.9,0.0222128744
457.95,0.0204865009
458.0,0.0188792604
