theta_deg,I_proxy
0.0,0.9561666449
0.25,0.9608855339
0.5,0.9647011195
0.75,0.967602478
1.0,0.9695812844
1.25,0.9706318518
1.5,0.970751159
1.75,0.9699388649
2.0,0.9681973104
2.25,0.9655315078
2.5,0.9619491166
2.75,0.9574604077
3.0,0.9520782146
3.25,0.9458178734
3.5,0.9386971509
3.75,0.9307361616
4.0,0.9219572748
4.25,0.9123850123
4.5,0.9020459361
4.75,0.8909685294
5.0,0.8791830697
5.25,0.8667214959
5.5,0.8536172703
5.75,0.8399052364
6.0,0.8256214739
6.25,0.8108031521
6.5,0.795488382
6.75,0.7797160701
7.0,0.7635257731
7.25,0.7469575563
7.5,0.7300518566
7.75,0.7128493505
8.0,0.69539083
8.25,0.6777170858
8.5,0.6598688001
8.75,0.6418864504
9.0,0.6238102238
9.25,0.6056799438
9.5,0.5875350111
9.75,0.5694143566
10.0,0.5513564096
10.25,0.5333990794
10.5,0.5155797509
10.75,0.4979352948
11.0,0.480502089
11.25,0.4633160528
11.5,0.4464126904
11.75,0.4298271432
12.0,0.4135942467
12.25,0.3977485907
12.5,0.3823245785
12.75,0.3673564815
13.0,0.3528784851
13.25,0.3389247212
13.5,0.3255292823
13.75,0.3127262122
14.0,0.300549469
14.25,0.2890328536
14.5,0.2782099008
14.75,0.268113727
15.0,0.2587768319
15.25,0.2502308503
15.5,0.242506252
15.75,0.2356319899
16.0,0.2296350956
16.25,0.2245402252
16.5,0.2203691593
16.75,0.2171402626
17.0,0.2148679108
17.25,0.213561894
17.5,0.2132268084
17.75,0.2138614492
18.0,0.2154582189
18.25,0.2180025675
18.5,0.2214724819
18.75,0.2258380403
19.0,0.2310610514
19.25,0.2370947936
19.5,0.2438838722
19.75,0.2513642078
20.0,0.2594631696
20.25,0.2680998632
20.5,0.2771855805
20.75,0.2866244135
21.0,0.2963140337
21.25,0.3061466302
21.5,0.3160099989
21.75,0.3257887684
22.0,0.335365746
22.25,0.3446233604
22.5,0.3534451783
22.75,0.3617174642
23.0,0.369330755
23.25,0.3761814159
23.5,0.382173145
23.75,0.3872183942
24.0,0.3912396751
24.25,0.3941707185
24.5,0.3959574634
24.75,0.3965588504
25.0,0.3959474009
25.25,0.3941095697
25.5,0.3910458615
25.75,0.3867707084
26.0,0.3813121123
26.25,0.3747110602
26.5,0.3670207265
26.75,0.3583054812
27.0,0.3486397279
27.25,0.3381065976
27.5,0.3267965287
27.75,0.3148057659
28.0,0.3022348089
28.25,0.2891868458
28.5,0.2757662029
28.75,0.2620768411
29.0,0.2482209281
29.25,0.2342975113
29.5,0.2204013132
29.75,0.2066216662
30.0,0.1930416027
30.25,0.1797371068
30.5,0.166776534
30.75,0.1542201991
31.0,0.1421201292
31.25,0.1305199737
31.5,0.1194550629
31.75,0.1089526006
32.0,0.0990319771
32.25,0.0897051852
32.5,0.0809773229
32.75,0.072847164
33.0,0.065307779
33.25,0.0583471894
33.5,0.0519490391
33.75,0.046093268
34.0,0.0407567731
34.25,0.0359140478
34.5,0.0315377869
34.75,0.0275994508
35.0,0.0240697824
