wavelength_nm,I_proxy
448.0,0.0488905738
448.05,0.0527784337
448.1,0.05692794
448.15,0.0613524693
448.2,0.0660657293
448.25,0.0710817363
448.3,0.076414791
448.35,0.0820794504
448.4,0.0880904964
448.45,0.0944629018
448.5,0.1012117924
448.55,0.1083524055
448.6,0.1159000454
448.65,0.1238700358
448.7,0.1322776673
448.75,0.1411381433
448.8,0.1504665212
448.85,0.1602776508
448.9,0.1705861094
448.95,0.181406134
449.0,0.1927515502
449.05,0.2046356988
449.1,0.2170713594
449.15,0.230070672
449.2,0.2436450563
449.25,0.2578051296
449.3,0.2725606228
449.35,0.2879202953
449.4,0.3038918501
449.45,0.3204818472
449.5,0.3376956177
449.55,0.3555371791
449.6,0.3740091505
449.65,0.3931126696
449.7,0.4128473126
449.75,0.4332110151
449.8,0.4541999974
449.85,0.4758086925
449.9,0.4980296787
449.95,0.5208536168
450.0,0.5442691921
450.05,0.568263063
450.1,0.5928198149
450.15,0.6179219218
450.2,0.6435497145
450.25,0.6696813571
450.3,0.6962928312
450.35,0.7233579294
450.4,0.7508482571
450.45,0.7787332444
450.5,0.8069801672
450.55,0.8355541783
450.6,0.864418349
450.65,0.8935337203
450.7,0.9228593657
450.75,0.9523524628
450.8,0.9819683773
450.85,1.0116607555
450.9,1.0413816284
450.95,1.071081525
451.0,1.1007095957
451.05,1.1302137452
451.1,1.1595407737
451.15,1.1886365279
451.2,1.2174460585
451.25,1.2459137862
451.3,1.2739836741
451.35,1.3015994057
451.4,1.3287045693
451.45,1.3552428453
451.5,1.3811581984
451.55,1.4063950721
451.6,1.4308985848
451.65,1.4546147267
451.7,1.477490557
451.75,1.4994743996
451.8,1.5205160365
451.85,1.5405668985
451.9,1.5595802514
451.95,1.577511377
452.0,1.5943177482
452.05,1.6099591966
452.1,1.6243980729
452.15,1.637599397
452.2,1.6495309999
452.25,1.6601636536
452.3,1.669471191
452.35,1.6774306128
452.4,1.6840221822
452.45,1.6892295066
452.5,1.6930396056
452.55,1.6954429644
452.6,1.6964335741
452.65,1.6960089562
452.7,1.6941701733
452.75,1.6909218242
452.8,1.6862720254
452.85,1.6802323765
452.9,1.6728179129
452.95,1.6640470425
453.0,1.6539414704
453.05,1.6425261087
453.1,1.6298289747
453.15,1.6158810761
453.2,1.6007162847
453.25,1.5843712
453.3,1.5668850014
453.35,1.5482992921
453.4,1.5286579345
453.45,1.5080068778
453.5,1.4863939795
453.55,1.4638688205
453.6,1.4404825168
453.65,1.4162875267
453.7,1.391337456
453.75,1.3656868613
453.8,1.3393910526
453.85,1.3125058973
453.9,1.2850876244
453.95,1.2571926315
454.0,1.2288772956
454.05,1.2001977871
454.1,1.1712098894
454.15,1.141968824
454.2,1.1125290821
454.25,1.0829442633
454.3,1.0532669223
454.35,1.0235484233
454.4,0.9938388042
454.45,0.9641866489
454.5,0.9346389702
454.55,0.905241102
454.6,0.876036602
454.65,0.8470671643
454.7,0.8183725429
454.75,0.7899904855
454.8,0.7619566774
454.85,0.7343046963
454.9,0.7070659768
454.95,0.6802697855
455.0,0.6539432056
455.05,0.6281111307
455.1,0.6027962682
455.15,0.5780191518
455.2,0.5537981613
455.25,0.5301495516
455.3,0.5070874885
455.35,0.4846240914
455.4,0.4627694833
455.45,0.4415318454
455.5,0.4209174789
455.55,0.40093087
455.6,0.3815747603
455.65,0.3628502207
455.7,0.3447567285
455.75,0.3272922473
455.8,0.3104533089
455.85,0.2942350975
455.9,0.2786315343
455.95,0.2636353633
456.0,0.2492382373
456.05,0.2354308037
456.1,0.2222027897
456.15,0.2095430866
456.2,0.1974398327
456.25,0.1858804947
456.3,0.1748519471
456.35,0.1643405491
456.4,0.1543322197
456.45,0.1448125094
456.5,0.1357666692
456.55,0.1271797175
456.6,0.1190365019
456.65,0.11132176
456.7,0.1040201749
456.75,0.0971164286
456.8,0.0905952514
456.85,0.0844414678
456.9,0.0786400391
456.95,0.0731761027
457.0,0.0680350077
457.05,0.0632023474
457.1,0.0586639885
457.15,0.0544060972
457.2,0.050415162
457.25,0.0466780139
457.3,0.0431818434
457.35,0.0399142153
457.4,0.0368630802
457.45,0.0340167841
457.5,0.0313640758
457.55,0.0288941114
457.6,0.0265964578
457.65,0.0244610933
457.7,0.0224784073
457.75,0.0206391979
457.8,0.0189346684
457.85,0.0173564219
457.9,0.0158964556
457.95,0.0145471532
458.0,0.0133012768
