theta_deg,I_proxy
0.0,1.5800902519
0.25,1.5827832698
0.5,1.5835806859
0.75,1.582479635
1.0,1.5794840772
1.25,1.5746047751
1.5,1.5678592293
1.75,1.559271574
2.0,1.548872434
2.25,1.536698743
2.5,1.5227935263
2.75,1.5072056478
3.0,1.4899895259
3.25,1.4712048183
3.5,1.4509160804
3.75,1.429192398
4.0,1.4061069997
4.25,1.3817368506
4.5,1.3561622311
4.75,1.3294663043
5.0,1.3017346759
5.25,1.2730549499
5.5,1.2435162832
5.75,1.2132089443
6.0,1.1822238778
6.25,1.1506522801
6.5,1.1185851879
6.75,1.0861130851
7.0,1.0533255293
7.25,1.0203108027
7.5,0.9871555884
7.75,0.9539446779
8.0,0.9207607088
8.25,0.887683938
8.5,0.8547920507
8.75,0.8221600076
9.0,0.7898599313
9.25,0.757961034
9.5,0.7265295857
9.75,0.6956289234
10.0,0.6653195026
10.25,0.6356589868
10.5,0.6067023772
10.75,0.5785021773
11.0,0.5511085913
11.25,0.5245697513
11.5,0.4989319692
11.75,0.4742400078
12.0,0.4505373644
12.25,0.4278665596
12.5,0.4062694229
12.75,0.3857873662
13.0,0.3664616355
13.25,0.3483335297
13.5,0.3314445763
13.75,0.3158366517
14.0,0.3015520361
14.25,0.2886333906
14.5,0.277123647
14.75,0.2670658
15.0,0.2585025944
15.25,0.2514760991
15.5,0.246027166
15.75,0.2421947698
16.0,0.240015231
16.25,0.2395213256
16.5,0.2407412914
16.75,0.2436977405
17.0,0.2484064956
17.25,0.2548753687
17.5,0.2631029075
17.75,0.2730771349
18.0,0.2847743136
18.25,0.2981577687
18.5,0.3131768035
18.75,0.3297657448
19.0,0.3478431549
19.25,0.3673112456
19.5,0.3880555289
19.75,0.4099447343
20.0,0.4328310205
20.25,0.4565505016
20.5,0.4809241038
20.75,0.5057587585
21.0,0.5308489327
21.25,0.5559784868
21.5,0.5809228417
21.75,0.6054514275
22.0,0.6293303792
22.25,0.6523254342
22.5,0.6742049809
22.75,0.6947432008
23.0,0.7137232415
23.25,0.7309403551
23.5,0.7462049344
23.75,0.759345381
24.0,0.7702107386
24.25,0.7786730337
24.5,0.7846292651
24.75,0.7880029987
25.0,0.7887455265
25.25,0.7868365628
25.5,0.7822844596
25.75,0.7751259365
26.0,0.7654253302
26.25,0.7532733814
26.5,0.7387855878
26.75,0.7221001623
27.0,0.703375643
27.25,0.6827882112
27.5,0.6605287779
27.75,0.6367999043
28.0,0.6118126231
28.25,0.5857832289
28.5,0.5589301026
28.75,0.5314706347
29.0,0.5036183028
29.25,0.475579957
29.5,0.4475533575
29.75,0.419724999
30.0,0.3922682521
30.25,0.365341838
30.5,0.3390886469
30.75,0.3136349026
31.0,0.2890896632
31.25,0.2655446468
31.5,0.2430743589
31.75,0.221736496
32.0,0.2015725955
32.25,0.1826088971
32.5,0.16485738
32.75,0.1483169409
33.0,0.132974674
33.25,0.1188072196
33.5,0.105782147
33.75,0.0938593412
34.0,0.0829923658
34.25,0.0731297778
34.5,0.0642163742
34.75,0.056194354
35.0,0.0490043829
