wavelength_nm,theta_deg,I_proxy
448.0,0.0,1.271147839
448.0,0.25,1.2775357587
448.0,0.5,1.2824169646
448.0,0.75,1.2857739784
448.0,1.0,1.2875947546
448.0,1.25,1.2878727525
448.0,1.5,1.2866069755
448.0,1.75,1.2838019775
448.0,2.0,1.279467836
448.0,2.25,1.273620092
448.0,2.5,1.2662796579
448.0,2.75,1.2574726941
448.0,3.0,1.2472304541
448.0,3.25,1.2355891014
448.0,3.5,1.2225894986
448.0,3.75,1.2082769703
448.0,4.0,1.1927010432
448.0,4.25,1.1759151638
448.0,4.5,1.1579763975
448.0,4.75,1.1389451117
448.0,5.0,1.118884644
448.0,5.25,1.0978609611
448.0,5.5,1.075942308
448.0,5.75,1.0531988544
448.0,6.0,1.0297023367
448.0,6.25,1.005525704
448.0,6.5,0.980742766
448.0,6.75,0.9554278497
448.0,7.0,0.9296554663
448.0,7.25,0.9034999915
448.0,7.5,0.8770353612
448.0,7.75,0.8503347878
448.0,8.0,0.8234704969
448.0,8.25,0.7965134882
448.0,8.5,0.7695333232
448.0,8.75,0.742597941
448.0,9.0,0.7157735037
448.0,9.25,0.6891242739
448.0,9.5,0.6627125242
448.0,9.75,0.6365984806
448.0,10.0,0.6108402983
448.0,10.25,0.5854940717
448.0,10.5,0.5606138764
448.0,10.75,0.5362518423
448.0,11.0,0.5124582556
448.0,11.25,0.4892816871
448.0,11.5,0.4667691437
448.0,11.75,0.4449662379
448.0,12.0,0.4239173712
448.0,12.25,0.4036659256
448.0,12.5,0.3842544564
448.0,12.75,0.3657248783
448.0,13.0,0.3481186383
448.0,13.25,0.3314768663
448.0,13.5,0.3158404939
448.0,13.75,0.3012503328
448.0,14.0,0.2877471034
448.0,14.25,0.2753714047
448.0,14.5,0.2641636162
448.0,14.75,0.2541637249
448.0,15.0,0.2454110687
448.0,15.25,0.2379439931
448.0,15.5,0.2317994155
448.0,15.75,0.227012296
448.0,16.0,0.2236150158
448.0,16.25,0.2216366659
448.0,16.5,0.2211022529
448.0,16.75,0.2220318309
448.0,17.0,0.224439573
448.0,17.25,0.2283327969
448.0,17.5,0.2337109651
448.0,17.75,0.2405646805
448.0,18.0,0.248874703
448.0,18.25,0.2586110134
448.0,18.5,0.2697319531
448.0,18.75,0.2821834696
448.0,19.0,0.2958984963
448.0,19.25,0.3107964974
448.0,19.5,0.326783204
448.0,19.75,0.3437505664
448.0,20.0,0.3615769452
448.0,20.25,0.3801275573
448.0,20.5,0.3992551898
448.0,20.75,0.4188011861
448.0,21.0,0.4385967059
448.0,21.25,0.4584642498
448.0,21.5,0.4782194346
448.0,21.75,0.4976729965
448.0,22.0,0.5166329942
448.0,22.25,0.5349071748
448.0,22.5,0.5523054615
448.0,22.75,0.568642517
448.0,23.0,0.5837403296
448.0,23.25,0.597430772
448.0,23.5,0.6095580751
448.0,23.75,0.619981164
448.0,24.0,0.6285758037
448.0,24.25,0.6352365038
448.0,24.5,0.6398781395
448.0,24.75,0.6424372496
448.0,25.0,0.6428729795
448.0,25.25,0.6411676478
448.0,25.5,0.6373269218
448.0,25.75,0.6313795967
448.0,26.0,0.6233769852
448.0,26.25,0.6133919293
448.0,26.5,0.6015174602
448.0,26.75,0.587865136
448.0,27.0,0.5725630963
448.0,27.25,0.5557538801
448.0,27.5,0.5375920539
448.0,27.75,0.5182417056
448.0,28.0,0.4978738578
448.0,28.25,0.4766638551
448.0,28.5,0.4547887805
448.0,28.75,0.4324249502
448.0,29.0,0.4097455357
448.0,29.25,0.386918354
448.0,29.5,0.3641038629
448.0,29.75,0.3414533904
448.0,30.0,0.3191076206
448.0,30.25,0.2971953517
448.0,30.5,0.2758325337
448.0,30.75,0.2551215867
448.0,31.0,0.2351509935
448.0,31.25,0.2159951561
448.0,31.5,0.1977144977
448.0,31.75,0.1803557896
448.0,32.0,0.1639526781
448.0,32.25,0.1485263838
448.0,32.5,0.1340865437
448.0,32.75,0.120632168
448.0,33.0,0.1081526798
448.0,33.25,0.0966290109
448.0,33.5,0.0860347252
448.0,33.75,0.0763371457
448.0,34.0,0.0674984618
448.0,34.25,0.0594767979
448.0,34.5,0.0522272261
448.0,34.75,0.0457027111
448.0,35.0,0.0398549747
448.05,0.0,1.2934332183
448.05,0.25,1.299933129
448.05,0.5,1.3048999107
448.05,0.75,1.3083157787
448.05,1.0,1.3101684762
448.05,1.25,1.3104513479
448.05,1.5,1.3091633797
448.05,1.75,1.3063092053
448.05,2.0,1.3018990789
448.05,2.25,1.295948814
448.05,2.5,1.2884796897
448.05,2.75,1.2795183249
448.05,3.0,1.269096521
448.05,3.25,1.2572510756
448.05,3.5,1.2440235677
448.05,3.75,1.2294601165
448.05,4.0,1.213611117
448.05,4.25,1.1965309526
448.05,4.5,1.1782776893
448.05,4.75,1.1589127527
448.05,5.0,1.138500591
448.05,5.25,1.1171083272
448.05,5.5,1.094805403
448.05,5.75,1.071663218
448.05,6.0,1.0477547665
448.05,6.25,1.0231542764
448.05,6.5,0.9979368514
448.05,6.75,0.9721781216
448.05,7.0,0.9459539047
448.05,7.25,0.9193398799
448.05,7.5,0.8924112798
448.05,7.75,0.8652426
448.05,8.0,0.8379073325
448.05,8.25,0.8104777216
448.05,8.5,0.7830245486
448.05,8.75,0.7556169434
448.05,9.0,0.7283222281
448.05,9.25,0.7012057921
448.05,9.5,0.6743309997
448.05,9.75,0.6477591325
448.05,10.0,0.6215493655
448.05,10.25,0.5957587766
448.05,10.5,0.5704423892
448.05,10.75,0.5456532473
448.05,11.0,0.5214425186
448.05,11.25,0.4978596256
448.05,11.5,0.4749523991
448.05,11.75,0.4527672513
448.05,12.0,0.4313493622
448.05,12.25,0.4107428745
448.05,12.5,0.3909910893
448.05,12.75,0.3721366562
448.05,13.0,0.3542217489
448.05,13.25,0.3372882185
448.05,13.5,0.3213777139
448.05,13.75,0.3065317625
448.05,14.0,0.2927917985
448.05,14.25,0.2801991328
448.05,14.5,0.2687948528
448.05,14.75,0.2586196464
448.05,15.0,0.2497135413
448.05,15.25,0.2421155552
448.05,15.5,0.2358632527
448.05,15.75,0.2309922069
448.05,16.0,0.2275353666
448.05,16.25,0.2255223329
448.05,16.5,0.2249785507
448.05,16.75,0.2259244258
448.05,17.0,0.2283743797
448.05,17.25,0.2323358584
448.05,17.5,0.237808315
448.05,17.75,0.2447821876
448.05,18.0,0.2532378989
448.05,18.25,0.2631449034
448.05,18.5,0.2744608121
448.05,18.75,0.2871306248
448.05,19.0,0.3010860992
448.05,19.25,0.3162452876
448.05,19.5,0.3325122683
448.05,19.75,0.3497770973
448.05,20.0,0.3679160027
448.05,20.25,0.3867918386
448.05,20.5,0.406254811
448.05,20.75,0.4261434818
448.05,21.0,0.4462860506
448.05,21.25,0.4665019063
448.05,21.5,0.486603433
448.05,21.75,0.5063980489
448.05,22.0,0.5256904475
448.05,22.25,0.5442850055
448.05,22.5,0.5619883138
448.05,22.75,0.5786117855
448.05,23.0,0.5939742884
448.05,23.25,0.6079047475
448.05,23.5,0.6202446628
448.05,23.75,0.6308504862
448.05,24.0,0.6395958045
448.05,24.25,0.6463732779
448.05,24.5,0.6510962894
448.05,24.75,0.6537002651
448.05,25.0,0.6541436341
448.05,25.25,0.652408405
448.05,25.5,0.6485003445
448.05,25.75,0.6424487528
448.05,26.0,0.6343058419
448.05,26.25,0.624145731
448.05,26.5,0.6120630823
448.05,26.75,0.5981714096
448.05,27.0,0.5826010993
448.05,27.25,0.565497189
448.05,27.5,0.5470169551
448.05,27.75,0.5273273624
448.05,28.0,0.5066024316
448.05,28.25,0.4850205816
448.05,28.5,0.4627619998
448.05,28.75,0.4400060936
448.05,29.0,0.4169290704
448.05,29.25,0.3937016895
448.05,29.5,0.3704872216
448.05,29.75,0.3474396479
448.05,30.0,0.3247021188
448.05,30.25,0.3024056906
448.05,30.5,0.2806683463
448.05,30.75,0.2595943012
448.05,31.0,0.2392735896
448.05,31.25,0.2197819179
448.05,31.5,0.2011807684
448.05,31.75,0.1835177327
448.05,32.0,0.1668270469
448.05,32.25,0.1511303034
448.05,32.5,0.1364373084
448.05,32.75,0.1227470547
448.05,33.0,0.1100487799
448.05,33.25,0.0983230815
448.05,33.5,0.08754306
448.05,33.75,0.0776754655
448.05,34.0,0.0686818244
448.05,34.25,0.0605195271
448.05,34.5,0.0531428581
448.05,34.75,0.0465039572
448.05,35.0,0.0405537
448.1,0.0,1.3149829969
448.1,0.25,1.3215912021
448.1,0.5,1.3266407349
448.1,0.75,1.3301135144
448.1,1.0,1.3319970795
448.1,1.25,1.332284664
448.1,1.5,1.3309752371
448.1,1.75,1.3280735096
448.1,2.0,1.3235899065
448.1,2.25,1.3175405047
448.1,2.5,1.309946938
448.1,2.75,1.3008362686
448.1,3.0,1.290240828
448.1,3.25,1.2781980267
448.1,3.5,1.2647501364
448.1,3.75,1.2499440448
448.1,4.0,1.2338309865
448.1,4.25,1.2164662509
448.1,4.5,1.1979088716
448.1,4.75,1.1782212975
448.1,5.0,1.1574690506
448.1,5.25,1.1357203721
448.1,5.5,1.1130458608
448.1,5.75,1.0895181058
448.1,6.0,1.0652113177
448.1,6.25,1.040200961
448.1,6.5,1.0145633906
448.1,6.75,0.9883754969
448.1,7.0,0.9617143605
448.1,7.25,0.9346569218
448.1,7.5,0.9072796666
448.1,7.75,0.8796583319
448.1,8.0,0.8518676338
448.1,8.25,0.8239810206
448.1,8.5,0.7960704526
448.1,8.75,0.7682062117
448.1,9.0,0.7404567416
448.1,9.25,0.7128885209
448.1,9.5,0.6855659699
448.1,9.75,0.6585513912
448.1,10.0,0.6319049456
448.1,10.25,0.6056846618
448.1,10.5,0.5799464803
448.1,10.75,0.5547443287
448.1,11.0,0.5301302272
448.1,11.25,0.5061544216
448.1,11.5,0.4828655398
448.1,11.75,0.4603107672
448.1,12.0,0.4385360365
448.1,12.25,0.4175862259
448.1,12.5,0.3975053579
448.1,12.75,0.3783367927
448.1,13.0,0.3601234067
448.1,13.25,0.3429077482
448.1,13.5,0.3267321601
448.1,13.75,0.3116388616
448.1,14.0,0.2976699773
448.1,14.25,0.2848675062
448.1,14.5,0.2732732205
448.1,14.75,0.2629284859
448.1,15.0,0.2538739969
448.1,15.25,0.2461494214
448.1,15.5,0.2397929499
448.1,15.75,0.234840748
448.1,16.0,0.2313263136
448.1,16.25,0.2292797409
448.1,16.5,0.2287268988
448.1,16.75,0.229688533
448.1,17.0,0.2321793054
448.1,17.25,0.236206786
448.1,17.5,0.2417704187
448.1,17.75,0.2488604824
448.1,18.0,0.2574570736
448.1,18.25,0.2675291378
448.1,18.5,0.2790335799
448.1,18.75,0.2919144832
448.1,19.0,0.3061024685
448.1,19.25,0.3215142229
448.1,19.5,0.3380522263
448.1,19.75,0.3556047031
448.1,20.0,0.3740458193
448.1,20.25,0.3932361439
448.1,20.5,0.4130233871
448.1,20.75,0.4332434213
448.1,21.0,0.4537215838
448.1,21.25,0.4742742541
448.1,21.5,0.4947106905
448.1,21.75,0.5148351028
448.1,22.0,0.5344489304
448.1,22.25,0.5533532907
448.1,22.5,0.5713515523
448.1,22.75,0.5882519862
448.1,23.0,0.6038704424
448.1,23.25,0.6180329957
448.1,23.5,0.6305785053
448.1,23.75,0.6413610314
448.1,24.0,0.6502520547
448.1,24.25,0.657142447
448.1,24.5,0.6619441482
448.1,24.75,0.6645915085
448.1,25.0,0.6650422644
448.1,25.25,0.6632781248
448.1,25.5,0.6593049525
448.1,25.75,0.6531525357
448.1,26.0,0.6448739564
448.1,26.25,0.6345445688
448.1,26.5,0.6222606122
448.1,26.75,0.6081374916
448.1,27.0,0.5923077656
448.1,27.25,0.5749188886
448.1,27.5,0.5561307571
448.1,27.75,0.5361131178
448.1,28.0,0.5150428907
448.1,28.25,0.4931014674
448.1,28.5,0.4704720373
448.1,28.75,0.4473369969
448.1,29.0,0.4238754894
448.1,29.25,0.4002611191
448.1,29.5,0.3766598771
448.1,29.75,0.3532283097
448.1,30.0,0.3301119526
448.1,30.25,0.3074440456
448.1,30.5,0.2853445372
448.1,30.75,0.2639193793
448.1,31.0,0.2432601061
448.1,31.25,0.2234436853
448.1,31.5,0.2045326238
448.1,31.75,0.1865753057
448.1,32.0,0.1696065378
448.1,32.25,0.1536482723
448.1,32.5,0.1387104786
448.1,32.75,0.1247921327
448.1,33.0,0.111882293
448.1,33.25,0.0999612338
448.1,33.5,0.0890016073
448.1,33.75,0.0789696097
448.1,34.0,0.0698261264
448.1,34.25,0.0615278377
448.1,34.5,0.0540282666
448.1,34.75,0.0472787556
448.1,35.0,0.0412293617
448.15,0.0,1.3357477279
448.15,0.25,1.3424602825
448.15,0.5,1.3475895518
448.15,0.75,1.3511171695
448.15,1.0,1.3530304778
448.15,1.25,1.3533226036
448.15,1.5,1.3519924996
448.15,1.75,1.3490449513
448.15,2.0,1.3444905482
448.15,2.25,1.3383456211
448.15,2.5,1.3306321453
448.15,2.75,1.3213776105
448.15,3.0,1.3106148586
448.15,3.25,1.2983818909
448.15,3.5,1.2847216467
448.15,3.75,1.269681754
448.15,4.0,1.2533142564
448.15,4.25,1.2356753165
448.15,4.5,1.2168248999
448.15,4.75,1.1968264418
448.15,5.0,1.1757464987
448.15,5.25,1.1536543896
448.15,5.5,1.130621828
448.15,5.75,1.1067225492
448.15,6.0,1.0820319357
448.15,6.25,1.0566266435
448.15,6.5,1.0305842335
448.15,6.75,1.00398281
448.15,7.0,0.976900671
448.15,7.25,0.9494159717
448.15,7.5,0.9216064057
448.15,7.75,0.8935489059
448.15,8.0,0.8653193684
448.15,8.25,0.8369924012
448.15,8.5,0.808641101
448.15,8.75,0.7803368593
448.15,9.0,0.7521492008
448.15,9.25,0.7241456539
448.15,9.5,0.6963916559
448.15,9.75,0.6689504934
448.15,10.0,0.6418832771
448.15,10.25,0.6152489521
448.15,10.5,0.5891043423
448.15,10.75,0.5635042266
448.15,11.0,0.5385014469
448.15,11.25,0.5141470424
448.15,11.5,0.4904904088
448.15,11.75,0.4675794766
448.15,12.0,0.4454609039
448.15,12.25,0.4241802774
448.15,12.5,0.403782315
448.15,12.75,0.3843110614
448.15,13.0,0.3658100701
448.15,13.25,0.3483225613
448.15,13.5,0.3318915465
448.15,13.75,0.3165599116
448.15,14.0,0.3023704464
448.15,14.25,0.2893658132
448.15,14.5,0.2775884436
448.15,14.75,0.2670803565
448.15,15.0,0.2578828893
448.15,15.25,0.250036336
448.15,15.5,0.2435794902
448.15,15.75,0.2385490887
448.15,16.0,0.2349791583
448.15,16.25,0.2329002685
448.15,16.5,0.2323386965
448.15,16.75,0.2333155157
448.15,17.0,0.2358456196
448.15,17.25,0.2399366976
448.15,17.5,0.245588185
448.15,17.75,0.252790207
448.15,18.0,0.2615225458
448.15,18.25,0.2717536567
448.15,18.5,0.283439764
448.15,18.75,0.296524068
448.15,19.0,0.3109360941
448.15,19.25,0.3265912135
448.15,19.5,0.3433903665
448.15,19.75,0.3612200123
448.15,20.0,0.3799523298
448.15,20.25,0.3994456864
448.15,20.5,0.4195453875
448.15,20.75,0.4400847137
448.15,21.0,0.4608862442
448.15,21.25,0.4817634591
448.15,21.5,0.5025226048
448.15,21.75,0.5229647991
448.15,22.0,0.5428883463
448.15,22.25,0.5620912229
448.15,22.5,0.5803736928
448.15,22.75,0.5975409993
448.15,23.0,0.6134060846
448.15,23.25,0.627792277
448.15,23.5,0.6405358911
448.15,23.75,0.6514886828
448.15,24.0,0.6605201031
448.15,24.25,0.6675193007
448.15,24.5,0.672396825
448.15,24.75,0.6750859894
448.15,25.0,0.6755438631
