candidate_id,role,family,cavity_validity_class,top_pair_count,bottom_pair_count,cavity_span_nm,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0_interpolated,spectral_fwhm_bounded_in_window,angular_peak_angle_deg_at_453,peak_abs_angle_deg_at_453,angular_FWHM_deg_at_453_interpolated,angular_fwhm_bounded_in_window,angular_lobe_pattern,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,normal_offaxis_ratio_at_453,absolute_peak_proxy_at_453,absolute_normal_proxy_at_453,eta5,eta10,eta20,eta30,top_mirror_extraction_risk,spectral_window_warning,weak_output_warning,highres_pass_level,failure_reason
R2_1_00227,best_true_or_weak_two_mirror,R2A_Taguchi2026_scaled_control,true_two_mirror_cavity,6,6,290,none,449.35,3.35,False,1.25,1.25,9.75,False,single_dominant_lobe_proxy,0.1509663,0.06346282,2.378815,0.1563776,0.1509663,0.323305,0.539388,0.70378,0.964628,low,spectral FWHM touches scan window,,Level A_highres,passes highres proxy constraints
R2_1_00223,best_Taguchi_style,R2A_Taguchi2026_scaled_control,true_two_mirror_cavity,6,6,280,none,449.05,3.05,False,1.25,1.25,9.5,False,single_dominant_lobe_proxy,0.10178149,0.04286286,2.374585,0.10572031,0.10178149,0.324845,0.539507,0.701786,0.964363,low,spectral FWHM touches scan window,,Level A_highres,passes highres proxy constraints
R2_1_04067,best_all_dielectric_highR_mediumR,R2D_all_dielectric_highR_mediumR_scan,true_two_mirror_cavity,8,4,290,none,452.95,4.1233,True,0.5,0.5,8.75,False,single_dominant_lobe_proxy,1.49248732,0.63888807,2.33607,1.58358069,1.49248732,0.332619,0.538531,0.689336,0.962731,medium,,,Level A_highres,passes highres proxy constraints
R2_1_02264,best_Khaidarov_style,R2B_Khaidarov_hybrid_scaled_control,true_two_mirror_cavity,12,4,290,TiO2_50nm,452.6,4.0761,True,0.5,0.5,7.25,False,single_dominant_lobe_proxy,1.52248334,0.65839061,2.312432,1.65933144,1.52248334,0.363166,0.548574,0.656464,0.958347,high,,,Level A_highres,passes highres proxy constraints
R2_1_00359,top_filter_control,R2A_Taguchi2026_scaled_control,top_filter_only,8,0,320,none,450.8,5.0301,True,1.5,1.5,10.75,False,single_dominant_lobe_proxy,0.94558412,0.32763497,2.88609,0.97075116,0.94558412,0.323795,0.557591,0.757047,0.971857,medium,,,Control,"top_filter_only control, not true RCLED cavity"
R2_1_02653,C2_fallback_control,R2C_C2_medium_bottomR_upgrade,true_two_mirror_cavity,6,8,210,TiO2_25nm,452.85,4.1725,True,0.5,0.5,29.25,False,multiple_comparable_lobes,1.25138514,0.94587849,1.322987,1.29702476,1.25138514,0.237167,0.41115,0.610701,0.954361,low,,,Fail_highres,angular too broad
