rank,geometry_id,role,mdc_weighted_DoLP,mdc_weighted_useful_lp_power,mdc_fwhm_DoLP_worst,mdc_fwhm_psi_span_deg,mdc_weighted_psi_deg,mdc_weighted_circular_contamination,formal_DoLP_mean,formal_DoLP_worst,final_pass,promising
1,LPBROAD_G006,SOBOL_SPACE_FILLING,0.12436098704876432,0.041419751694747806,0.05279306399260731,145.80006435717002,176.7281391959629,0.24246198905632618,0.2208825081128328,0.05279306399260731,False,False
2,LPBROAD_G005,SOBOL_SPACE_FILLING,0.05477910720506165,0.020465391666819214,0.018395460911869048,132.52381194173012,30.189329936425636,0.15641387557239547,0.1818220966657266,0.018395460911869048,False,False
3,LPBROAD_G002,LINEAR_ALIGNED_ANCHOR,0.06450963964308183,0.0217702297023831,0.012744662009252557,269.9999946796583,179.99999844491163,2.7929622510916507e-09,0.28789696140601306,0.012744662009252557,False,False
4,LPBROAD_G003,SOBOL_SPACE_FILLING,0.062337952867641676,0.023333402784052774,0.007947989075981335,145.80489836955326,8.807068386666359,0.2004144737641577,0.18170647380295002,0.0024913972310797493,False,False
5,LPBROAD_G004,SOBOL_SPACE_FILLING,0.17196122021205817,0.061263487377231564,0.0021890698673431176,167.72355972453025,100.14715145041417,0.038065334058420434,0.28051629618942503,0.0021890698673431176,False,False
6,LPBROAD_G001,CP_LIKE_ANCHOR,0.031787280843869496,0.01262214429267449,0.0013766295527979332,195.03088527647833,78.26814167147238,0.18041765031557846,0.19618300120768128,0.0013766295527979332,False,False
